difficulty,average_bpm,note_count,tick_count,note_density,tempo_deviation,unique_note_count,total_duration,overlapping_notes,cluster
3.5,145.2088620757851,3656,155036,0.0235816197528316,97297.9852655902,65,155036,283,2
4.5,100.0,3926,28352,0.1384734762979683,0.0,57,28352,227,2
4.5,171.02871566390996,2674,151680,0.0176292194092827,11112.029407455788,73,452520,1347,0
4.5,135.82648434033914,3570,22816,0.156469144460028,7352.818211203474,63,43392,1541,2
5.0,145.99206451452991,2916,24952,0.1168643796088489,21411.56094464654,60,48828,511,2
4.0,150.0,3768,245760,0.01533203125,0.0,65,245760,239,2
4.5,125.17622997352244,4408,38879,0.113377401682142,6904.817785322133,67,76321,1021,2
4.0,111.48051152494754,3262,81600,0.0399754901960784,66148.96700221895,53,244800,2048,2
3.0,104.40719643420157,1896,40102,0.0472794374345419,22517.37943662654,47,70332,280,2
4.5,175.06533474405518,4606,47410,0.097152499472685,10667.813117508096,71,93546,776,2
3.5,88.81232464154954,2468,24799,0.0995201419412073,95859.71090737006,64,48199,205,2
4.5,112.43279166108934,4462,29255,0.1525209365920355,108307.50028923656,63,57857,1826,2
4.5,70.60670560652433,3968,20987,0.1890694239290989,71457.36716556863,57,41630,396,2
4.0,141.42815629824804,4176,160320,0.0260479041916167,63823.407621003134,64,480674,860,0
3.5,130.22420041698282,6092,268187,0.0227154932938583,156115.5476552938,60,797147,3068,0
4.0,102.27712180938182,4868,66423,0.0732878671544495,3714.2852153114136,59,83992,387,2
3.0,177.12837752677436,1574,23249,0.0677018366381349,9451.31598611868,44,46289,294,2
3.0,185.5920802306888,3360,48976,0.0686050310356092,42606.56345374177,55,97576,559,2
2.5,156.14391121056426,1416,20879,0.0678193400067053,18367.1673954504,35,41399,283,2
2.0,154.0284535406867,1546,23401,0.0660655527541558,14060.007442256236,32,44279,231,2
2.5,139.1098794042489,2458,151200,0.0162566137566137,29733.06958717202,33,450720,1379,0
2.0,137.0792123022471,2414,174240,0.0138544536271809,28127.10630280901,39,521760,1563,0
3.5,131.78265991315553,2048,297208,0.0068907970175769,30350.933979949383,66,515960,470,0
2.5,52.32366089804221,2596,10506,0.2470968970112316,536304.1288876588,59,41880,1346,2
3.5,76.6841132793091,4860,25408,0.1912783375314861,520716.3796221717,61,101632,2135,2
3.5,85.23411949503968,2912,19680,0.1479674796747967,363802.5469473188,61,78528,1381,2
3.5,56.260337892837285,2302,10008,0.2300159872102318,471248.4724233996,59,40032,975,2
2.5,141.25193354830884,2188,22176,0.0986652236652236,197758.9451751873,54,66432,1129,2
3.5,80.69757084521285,3266,178800,0.0182662192393736,421373.39361420873,58,531600,1772,0
3.5,46.95879552685705,3662,113760,0.0321905766526019,222156.5904448116,65,339667,2077,2
3.0,56.75338199214867,2562,14264,0.1796130117779024,650156.4949583315,58,56864,1193,2
3.5,65.1465180406526,7562,216000,0.0350092592592592,215640.1645836229,69,643200,4881,0
4.0,130.955358440833,9330,362880,0.0257109788359788,81060.86851930944,68,1084800,6302,0
4.5,125.53069656247592,7360,253440,0.029040404040404,59475.41139055759,73,759520,4800,0
4.5,143.90743413651754,7228,236160,0.0306063685636856,31585.67359111861,72,706747,4890,0
3.0,110.19298277050969,9946,98520,0.1009541209906618,55344.08528782945,61,418500,6477,2
3.0,188.0574937757476,6286,408000,0.015406862745098,26289.705583204875,70,1224000,3850,5
3.0,125.3857792563341,5224,83760,0.0623686723973256,41825.11828355488,49,330480,2810,2
3.0,138.1422213215197,11432,117480,0.0973101804562478,34775.59025726205,62,352440,7789,2
3.0,119.35042652230412,12510,134640,0.0929144385026738,17977.794042224687,67,671040,8164,0
3.0,70.4813351872893,6170,54240,0.1137536873156342,66904.3027711152,67,270000,3982,2
3.0,131.53798554988336,5990,73620,0.0813637598478674,11817.594107643834,52,367320,3914,2
2.5,116.42126163306256,7894,99600,0.0792570281124497,39398.21605736589,64,496980,4000,0
2.5,56.72474385278824,4210,30240,0.1392195767195767,123501.4969838973,61,150060,2412,2
3.0,179.34695348275713,5680,107040,0.0530642750373692,7558.491663782421,49,523920,3418,0
