tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,port,note,velocity
0,control_change,0,0,0,,,,,,,121,0,0,,,,
0,time_signature,0,1,0,6,8,24,8,,,,,,,,,
0,set_tempo,0,1,0,,,,,,500000,,,,,,,
0,program_change,0,0,0,,,,,,,,,0,0,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,note_on,0,0,1,,,,,,,,,0,,,50,80
0,note_on,0,0,0,,,,,,,,,0,,,78,80
0,midi_port,0,1,1,,,,,,,,,,,0,,
0,midi_port,0,1,0,,,,,,,,,,,0,,
0,key_signature,0,1,1,,,,,D,,,,,,,,
0,key_signature,0,1,0,,,,,D,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,control_change,0,0,0,,,,,,,101,0,0,,,,
0,control_change,0,0,0,,,,,,,93,0,0,,,,
0,control_change,0,0,0,,,,,,,91,0,0,,,,
0,control_change,0,0,0,,,,,,,10,64,0,,,,
0,control_change,0,0,0,,,,,,,7,99,0,,,,
0,control_change,0,0,0,,,,,,,101,127,0,,,,
0,control_change,0,0,0,,,,,,,100,127,0,,,,
0,control_change,0,0,0,,,,,,,100,0,0,,,,
0,control_change,0,0,0,,,,,,,6,12,0,,,,
170,note_on,170,0,0,,,,,,,,,0,,,78,0
180,note_on,10,0,0,,,,,,,,,0,,,79,80
227,note_on,227,0,1,,,,,,,,,0,,,50,0
236,note_on,56,0,0,,,,,,,,,0,,,79,0
240,note_on,4,0,0,,,,,,,,,0,,,81,80
240,note_on,13,0,1,,,,,,,,,0,,,62,80
467,note_on,227,0,0,,,,,,,,,0,,,81,0
467,note_on,227,0,1,,,,,,,,,0,,,62,0
480,note_on,13,0,0,,,,,,,,,0,,,74,80
480,note_on,13,0,1,,,,,,,,,0,,,61,80
707,note_on,227,0,1,,,,,,,,,0,,,61,0
707,note_on,227,0,0,,,,,,,,,0,,,74,0
720,note_on,13,0,0,,,,,,,,,0,,,74,80
720,note_on,13,0,1,,,,,,,,,0,,,59,80
833,note_on,113,0,0,,,,,,,,,0,,,74,0
840,note_on,7,0,0,,,,,,,,,0,,,73,80
947,note_on,227,0,1,,,,,,,,,0,,,59,0
953,note_on,113,0,0,,,,,,,,,0,,,73,0
960,note_on,13,0,1,,,,,,,,,0,,,57,80
960,note_on,7,0,0,,,,,,,,,0,,,74,80
1187,note_on,227,0,1,,,,,,,,,0,,,57,0
1200,note_on,13,0,1,,,,,,,,,0,,,55,80
1415,note_on,455,0,0,,,,,,,,,0,,,74,0
1427,note_on,227,0,1,,,,,,,,,0,,,55,0
1440,note_on,25,0,0,,,,,,,,,0,,,74,80
1440,note_on,13,0,1,,,,,,,,,0,,,54,80
1667,note_on,227,0,0,,,,,,,,,0,,,74,0
1667,note_on,227,0,1,,,,,,,,,0,,,54,0
1680,note_on,13,0,0,,,,,,,,,0,,,79,80
1680,note_on,13,0,1,,,,,,,,,0,,,52,80
1907,note_on,227,0,0,,,,,,,,,0,,,79,0
1907,note_on,227,0,1,,,,,,,,,0,,,52,0
1920,note_on,13,0,1,,,,,,,,,0,,,50,80
1920,note_on,13,0,0,,,,,,,,,0,,,78,80
2147,note_on,227,0,0,,,,,,,,,0,,,78,0
2147,note_on,227,0,1,,,,,,,,,0,,,50,0
2160,note_on,13,0,0,,,,,,,,,0,,,76,80
2160,note_on,13,0,1,,,,,,,,,0,,,57,80
2273,note_on,113,0,0,,,,,,,,,0,,,76,0
2280,note_on,7,0,0,,,,,,,,,0,,,74,80
2393,note_on,113,0,0,,,,,,,,,0,,,74,0
2400,note_on,7,0,0,,,,,,,,,0,,,73,80
2513,note_on,113,0,0,,,,,,,,,0,,,73,0
2520,note_on,7,0,0,,,,,,,,,0,,,74,80
2615,note_on,455,0,1,,,,,,,,,0,,,57,0
2633,note_on,113,0,0,,,,,,,,,0,,,74,0
2640,note_on,7,0,0,,,,,,,,,0,,,76,80
2867,note_on,227,0,0,,,,,,,,,0,,,76,0
2880,note_on,265,0,1,,,,,,,,,0,,,50,80
2880,note_on,13,0,0,,,,,,,,,0,,,78,80
2993,note_on,113,0,0,,,,,,,,,0,,,78,0
3000,note_on,7,0,0,,,,,,,,,0,,,79,80
3107,note_on,227,0,1,,,,,,,,,0,,,50,0
3113,note_on,113,0,0,,,,,,,,,0,,,79,0
3120,note_on,7,0,0,,,,,,,,,0,,,81,80
3120,note_on,13,0,1,,,,,,,,,0,,,62,80
3347,note_on,227,0,1,,,,,,,,,0,,,62,0
3347,note_on,227,0,0,,,,,,,,,0,,,81,0
3360,note_on,13,0,0,,,,,,,,,0,,,74,80
3360,note_on,13,0,1,,,,,,,,,0,,,61,80
3587,note_on,227,0,0,,,,,,,,,0,,,74,0
3587,note_on,227,0,1,,,,,,,,,0,,,61,0
3600,note_on,13,0,0,,,,,,,,,0,,,74,80
3600,note_on,13,0,1,,,,,,,,,0,,,59,80
3713,note_on,113,0,0,,,,,,,,,0,,,74,0
3720,note_on,7,0,0,,,,,,,,,0,,,73,80
3827,note_on,227,0,1,,,,,,,,,0,,,59,0
3833,note_on,113,0,0,,,,,,,,,0,,,73,0
3840,note_on,13,0,1,,,,,,,,,0,,,57,80
3840,note_on,7,0,0,,,,,,,,,0,,,74,80
4067,note_on,227,0,1,,,,,,,,,0,,,57,0
4080,note_on,13,0,1,,,,,,,,,0,,,55,80
4295,note_on,455,0,0,,,,,,,,,0,,,74,0
4307,note_on,227,0,1,,,,,,,,,0,,,55,0
4320,note_on,13,0,1,,,,,,,,,0,,,54,80
4320,note_on,25,0,0,,,,,,,,,0,,,74,80
