tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,port,note,velocity
0,control_change,0,0,0,,,,,,,121,0,0,,,,
0,time_signature,0,1,0,3,8,24,8,,,,,,,,,
0,set_tempo,0,1,0,,,,,,500000,,,,,,,
0,program_change,0,0,0,,,,,,,,,0,0,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,note_on,0,0,1,,,,,,,,,0,,,51,80
0,note_on,0,0,0,,,,,,,,,0,,,67,80
0,midi_port,0,1,1,,,,,,,,,,,0,,
0,midi_port,0,1,0,,,,,,,,,,,0,,
0,key_signature,0,1,1,,,,,Eb,,,,,,,,
0,key_signature,0,1,0,,,,,Eb,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,control_change,0,0,0,,,,,,,101,0,0,,,,
0,control_change,0,0,0,,,,,,,93,0,0,,,,
0,control_change,0,0,0,,,,,,,91,0,0,,,,
0,control_change,0,0,0,,,,,,,10,64,0,,,,
0,control_change,0,0,0,,,,,,,7,99,0,,,,
0,control_change,0,0,0,,,,,,,101,127,0,,,,
0,control_change,0,0,0,,,,,,,6,12,0,,,,
0,control_change,0,0,0,,,,,,,100,0,0,,,,
0,control_change,0,0,0,,,,,,,100,127,0,,,,
227,note_on,227,0,1,,,,,,,,,0,,,51,0
227,note_on,227,0,0,,,,,,,,,0,,,67,0
240,note_on,13,0,0,,,,,,,,,0,,,68,80
240,note_on,13,0,1,,,,,,,,,0,,,46,80
353,note_on,113,0,0,,,,,,,,,0,,,68,0
360,note_on,7,0,0,,,,,,,,,0,,,67,80
467,note_on,227,0,1,,,,,,,,,0,,,46,0
473,note_on,113,0,0,,,,,,,,,0,,,67,0
480,note_on,13,0,1,,,,,,,,,0,,,48,80
480,note_on,7,0,0,,,,,,,,,0,,,65,80
593,note_on,113,0,0,,,,,,,,,0,,,65,0
600,note_on,7,0,0,,,,,,,,,0,,,63,80
707,note_on,227,0,1,,,,,,,,,0,,,48,0
713,note_on,113,0,0,,,,,,,,,0,,,63,0
720,note_on,13,0,1,,,,,,,,,0,,,43,80
720,note_on,7,0,0,,,,,,,,,0,,,70,80
947,note_on,227,0,0,,,,,,,,,0,,,70,0
947,note_on,227,0,1,,,,,,,,,0,,,43,0
960,note_on,13,0,0,,,,,,,,,0,,,75,80
960,note_on,13,0,1,,,,,,,,,0,,,39,80
1187,note_on,227,0,1,,,,,,,,,0,,,39,0
1187,note_on,227,0,0,,,,,,,,,0,,,75,0
1440,note_on,253,0,0,,,,,,,,,0,,,74,80
1440,note_on,253,0,1,,,,,,,,,0,,,58,80
1667,note_on,227,0,0,,,,,,,,,0,,,74,0
1667,note_on,227,0,1,,,,,,,,,0,,,58,0
1680,note_on,13,0,1,,,,,,,,,0,,,60,80
1680,note_on,13,0,0,,,,,,,,,0,,,75,80
1793,note_on,113,0,1,,,,,,,,,0,,,60,0
1793,note_on,113,0,0,,,,,,,,,0,,,75,0
1800,note_on,7,0,1,,,,,,,,,0,,,58,80
1800,note_on,7,0,0,,,,,,,,,0,,,74,80
1913,note_on,113,0,0,,,,,,,,,0,,,74,0
1913,note_on,113,0,1,,,,,,,,,0,,,58,0
1920,note_on,7,0,1,,,,,,,,,0,,,60,80
1920,note_on,7,0,0,,,,,,,,,0,,,75,80
2147,note_on,227,0,1,,,,,,,,,0,,,60,0
2147,note_on,227,0,0,,,,,,,,,0,,,75,0
2160,note_on,13,0,1,,,,,,,,,0,,,55,80
2160,note_on,13,0,0,,,,,,,,,0,,,70,80
2387,note_on,227,0,1,,,,,,,,,0,,,55,0
2387,note_on,227,0,0,,,,,,,,,0,,,70,0
2400,note_on,13,0,1,,,,,,,,,0,,,56,80
2400,note_on,13,0,0,,,,,,,,,0,,,72,80
2627,note_on,227,0,1,,,,,,,,,0,,,56,0
2627,note_on,227,0,0,,,,,,,,,0,,,72,0
2880,note_on,253,0,1,,,,,,,,,0,,,51,80
2880,note_on,253,0,0,,,,,,,,,0,,,67,80
3107,note_on,227,0,1,,,,,,,,,0,,,51,0
3107,note_on,227,0,0,,,,,,,,,0,,,67,0
3120,note_on,13,0,0,,,,,,,,,0,,,68,80
3120,note_on,13,0,1,,,,,,,,,0,,,46,80
3233,note_on,113,0,0,,,,,,,,,0,,,68,0
3240,note_on,7,0,0,,,,,,,,,0,,,67,80
3347,note_on,227,0,1,,,,,,,,,0,,,46,0
3353,note_on,113,0,0,,,,,,,,,0,,,67,0
3360,note_on,13,0,1,,,,,,,,,0,,,48,80
3360,note_on,7,0,0,,,,,,,,,0,,,65,80
3473,note_on,113,0,0,,,,,,,,,0,,,65,0
3480,note_on,7,0,0,,,,,,,,,0,,,63,80
3587,note_on,227,0,1,,,,,,,,,0,,,48,0
3593,note_on,113,0,0,,,,,,,,,0,,,63,0
3600,note_on,7,0,0,,,,,,,,,0,,,70,80
3600,note_on,13,0,1,,,,,,,,,0,,,43,80
3827,note_on,227,0,1,,,,,,,,,0,,,43,0
3827,note_on,227,0,0,,,,,,,,,0,,,70,0
3840,note_on,13,0,1,,,,,,,,,0,,,46,80
3840,note_on,13,0,0,,,,,,,,,0,,,65,80
4067,note_on,227,0,1,,,,,,,,,0,,,46,0
4067,note_on,227,0,0,,,,,,,,,0,,,65,0
4320,note_on,253,0,1,,,,,,,,,0,,,48,80
4320,note_on,253,0,0,,,,,,,,,0,,,75,80
4433,note_on,113,0,0,,,,,,,,,0,,,75,0
4440,note_on,7,0,0,,,,,,,,,0,,,74,80
4547,note_on,227,0,1,,,,,,,,,0,,,48,0
4553,note_on,113,0,0,,,,,,,,,0,,,74,0
4560,note_on,13,0,1,,,,,,,,,0,,,50,80
4560,note_on,7,0,0,,,,,,,,,0,,,72,80
4673,note_on,113,0,0,,,,,,,,,0,,,72,0
4680,note_on,7,0,0,,,,,,,,,0,,,70,80
4787,note_on,227,0,1,,,,,,,,,0,,,50,0
4793,note_on,113,0,0,,,,,,,,,0,,,70,0
4800,note_on,7,0,0,,,,,,,,,0,,,68,80
4800,note_on,13,0,1,,,,,,,,,0,,,51,80
4913,note_on,113,0,0,,,,,,,,,0,,,68,0
4920,note_on,7,0,0,,,,,,,,,0,,,67,80
5027,note_on,227,0,1,,,,,,,,,0,,,51,0
5033,note_on,113,0,0,,,,,,,,,0,,,67,0
5040,note_on,13,0,1,,,,,,,,,0,,,46,80
5040,note_on,7,0,0,,,,,,,,,0,,,65,80
5267,note_on,227,0,1,,,,,,,,,0,,,46,0
