tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,port,note,velocity
0,control_change,0,0,0,,,,,,,121,0,0,,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,,,,
0,set_tempo,0,1,0,,,,,,500000,,,,,,,
0,program_change,0,0,0,,,,,,,,,0,0,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,note_on,0,0,1,,,,,,,,,0,,,55,80
0,note_on,0,0,0,,,,,,,,,0,,,71,80
0,midi_port,0,1,1,,,,,,,,,,,0,,
0,midi_port,0,1,0,,,,,,,,,,,0,,
0,key_signature,0,1,1,,,,,G,,,,,,,,
0,key_signature,0,1,0,,,,,G,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,control_change,0,0,0,,,,,,,101,0,0,,,,
0,control_change,0,0,0,,,,,,,100,0,0,,,,
0,control_change,0,0,0,,,,,,,93,0,0,,,,
0,control_change,0,0,0,,,,,,,91,0,0,,,,
0,control_change,0,0,0,,,,,,,10,64,0,,,,
0,control_change,0,0,0,,,,,,,7,99,0,,,,
0,control_change,0,0,0,,,,,,,100,127,0,,,,
0,control_change,0,0,0,,,,,,,101,127,0,,,,
0,control_change,0,0,0,,,,,,,6,12,0,,,,
455,note_on,455,0,0,,,,,,,,,0,,,71,0
455,note_on,455,0,1,,,,,,,,,0,,,55,0
480,note_on,25,0,0,,,,,,,,,0,,,72,80
480,note_on,25,0,1,,,,,,,,,0,,,50,80
707,note_on,227,0,0,,,,,,,,,0,,,72,0
720,note_on,13,0,0,,,,,,,,,0,,,71,80
935,note_on,455,0,1,,,,,,,,,0,,,50,0
947,note_on,227,0,0,,,,,,,,,0,,,71,0
960,note_on,13,0,0,,,,,,,,,0,,,69,80
960,note_on,25,0,1,,,,,,,,,0,,,52,80
1187,note_on,227,0,0,,,,,,,,,0,,,69,0
1200,note_on,13,0,0,,,,,,,,,0,,,67,80
1415,note_on,455,0,1,,,,,,,,,0,,,52,0
1427,note_on,227,0,0,,,,,,,,,0,,,67,0
1440,note_on,13,0,0,,,,,,,,,0,,,74,80
1440,note_on,25,0,1,,,,,,,,,0,,,47,80
1895,note_on,455,0,1,,,,,,,,,0,,,47,0
1895,note_on,455,0,0,,,,,,,,,0,,,74,0
1920,note_on,25,0,1,,,,,,,,,0,,,43,80
1920,note_on,25,0,0,,,,,,,,,0,,,79,80
2375,note_on,455,0,1,,,,,,,,,0,,,43,0
2375,note_on,455,0,0,,,,,,,,,0,,,79,0
2880,note_on,505,0,0,,,,,,,,,0,,,78,80
2880,note_on,505,0,1,,,,,,,,,0,,,50,80
3335,note_on,455,0,0,,,,,,,,,0,,,78,0
3335,note_on,455,0,1,,,,,,,,,0,,,50,0
3360,note_on,25,0,1,,,,,,,,,0,,,52,80
3360,note_on,25,0,0,,,,,,,,,0,,,79,80
3587,note_on,227,0,0,,,,,,,,,0,,,79,0
3587,note_on,227,0,1,,,,,,,,,0,,,52,0
3600,note_on,13,0,0,,,,,,,,,0,,,78,80
3600,note_on,13,0,1,,,,,,,,,0,,,50,80
3827,note_on,227,0,0,,,,,,,,,0,,,78,0
3827,note_on,227,0,1,,,,,,,,,0,,,50,0
3840,note_on,13,0,0,,,,,,,,,0,,,79,80
3840,note_on,13,0,1,,,,,,,,,0,,,52,80
4295,note_on,455,0,1,,,,,,,,,0,,,52,0
4295,note_on,455,0,0,,,,,,,,,0,,,79,0
4320,note_on,25,0,0,,,,,,,,,0,,,74,80
4320,note_on,25,0,1,,,,,,,,,0,,,47,80
4775,note_on,455,0,0,,,,,,,,,0,,,74,0
4775,note_on,455,0,1,,,,,,,,,0,,,47,0
4800,note_on,25,0,0,,,,,,,,,0,,,76,80
4800,note_on,25,0,1,,,,,,,,,0,,,48,80
5255,note_on,455,0,0,,,,,,,,,0,,,76,0
5255,note_on,455,0,1,,,,,,,,,0,,,48,0
5760,note_on,505,0,1,,,,,,,,,0,,,55,80
5760,note_on,505,0,0,,,,,,,,,0,,,71,80
6215,note_on,455,0,1,,,,,,,,,0,,,55,0
6215,note_on,455,0,0,,,,,,,,,0,,,71,0
6240,note_on,25,0,1,,,,,,,,,0,,,50,80
6240,note_on,25,0,0,,,,,,,,,0,,,72,80
6467,note_on,227,0,0,,,,,,,,,0,,,72,0
6480,note_on,13,0,0,,,,,,,,,0,,,71,80
6695,note_on,455,0,1,,,,,,,,,0,,,50,0
6707,note_on,227,0,0,,,,,,,,,0,,,71,0
6720,note_on,13,0,0,,,,,,,,,0,,,69,80
6720,note_on,25,0,1,,,,,,,,,0,,,52,80
6947,note_on,227,0,0,,,,,,,,,0,,,69,0
