tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,control,value,channel,program,port,note,velocity
0,control_change,,,,,0,0,0,,,121,0,0,,,,
0,control_change,,,,,0,0,0,,,7,100,0,,,,
0,control_change,,,,,0,0,0,,,10,64,0,,,,
0,control_change,,,,,0,0,0,,,91,0,0,,,,
0,control_change,,,,,0,0,0,,,93,0,0,,,,
0,time_signature,2,4,24,8,0,1,0,,,,,,,,,
0,set_tempo,,,,,0,1,0,,666667,,,,,,,
0,program_change,,,,,0,0,0,,,,,0,0,,,
0,midi_port,,,,,0,1,1,,,,,,,0,,
0,midi_port,,,,,0,1,0,,,,,,,0,,
0,key_signature,,,,,0,1,1,Ab,,,,,,,,
0,key_signature,,,,,0,1,0,Ab,,,,,,,,
240,note_on,,,,,0,0,1,,,,,0,,,77,70
240,note_on,,,,,240,0,1,,,,,0,,,68,70
240,note_on,,,,,0,0,1,,,,,0,,,72,70
315,note_on,,,,,0,0,1,,,,,0,,,72,0
315,note_on,,,,,0,0,1,,,,,0,,,77,0
315,note_on,,,,,75,0,1,,,,,0,,,68,0
320,note_on,,,,,0,0,1,,,,,0,,,73,70
320,note_on,,,,,0,0,1,,,,,0,,,79,70
320,note_on,,,,,5,0,1,,,,,0,,,70,70
395,note_on,,,,,0,0,1,,,,,0,,,73,0
395,note_on,,,,,0,0,1,,,,,0,,,79,0
395,note_on,,,,,75,0,1,,,,,0,,,70,0
400,note_on,,,,,0,0,1,,,,,0,,,72,70
400,note_on,,,,,0,0,1,,,,,0,,,77,70
400,note_on,,,,,5,0,1,,,,,0,,,68,70
475,note_on,,,,,0,0,1,,,,,0,,,77,0
475,note_on,,,,,0,0,1,,,,,0,,,72,0
475,note_on,,,,,75,0,1,,,,,0,,,68,0
480,note_on,,,,,5,0,1,,,,,0,,,67,70
480,note_on,,,,,0,0,1,,,,,0,,,75,70
480,note_on,,,,,0,0,1,,,,,0,,,70,70
