tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,port,note,velocity
0,control_change,0,0,0,,,,,,,7,100,0,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,,
0,set_tempo,0,1,0,,,,,,1000000,,,,,,,
0,program_change,0,0,0,,,,,,,,,0,0,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,,,,,0,,
0,midi_port,0,1,0,,,,,,,,,,,0,,
0,key_signature,0,1,1,,,,,Db,,,,,,,,
0,key_signature,0,1,0,,,,,Db,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,control_change,0,0,0,,,,,,,121,0,0,,,,
0,control_change,0,0,0,,,,,,,93,0,0,,,,
0,control_change,0,0,0,,,,,,,91,0,0,,,,
0,control_change,0,0,0,,,,,,,10,64,0,,,,
480,note_on,480,0,1,,,,,,,,,0,,,32,80
960,note_on,480,0,1,,,,,,,,,0,,,44,80
1439,note_on,479,0,1,,,,,,,,,0,,,32,0
1440,set_tempo,1440,1,0,,,,,,1200000,,,,,,,
1440,note_on,1,0,1,,,,,,,,,0,,,32,80
1919,note_on,479,0,1,,,,,,,,,0,,,44,0
1920,set_tempo,480,1,0,,,,,,4800002,,,,,,,
1920,note_on,1,0,1,,,,,,,,,0,,,44,80
2159,set_tempo,239,1,0,,,,,,1200000,,,,,,,
2160,note_on,0,0,0,,,,,,,,,0,,,64,70
2160,note_on,0,0,0,,,,,,,,,0,,,59,70
2160,note_on,1,0,0,,,,,,,,,0,,,56,70
2399,note_on,0,0,0,,,,,,,,,0,,,64,0
2399,note_on,0,0,0,,,,,,,,,0,,,59,0
2399,note_on,239,0,0,,,,,,,,,0,,,56,0
2400,note_on,0,0,0,,,,,,,,,0,,,61,70
2400,set_tempo,1,1,0,,,,,,857140,,,,,,,
2400,note_on,0,0,0,,,,,,,,,0,,,57,70
2639,note_on,0,0,0,,,,,,,,,0,,,61,0
2639,note_on,239,0,0,,,,,,,,,0,,,57,0
2640,note_on,0,0,0,,,,,,,,,0,,,59,70
2640,note_on,0,0,0,,,,,,,,,0,,,56,70
2640,note_on,1,0,0,,,,,,,,,0,,,52,70
2879,note_on,239,0,0,,,,,,,,,0,,,52,0
2879,note_on,0,0,0,,,,,,,,,0,,,56,0
2879,note_on,0,0,0,,,,,,,,,0,,,59,0
2880,note_on,0,0,0,,,,,,,,,0,,,61,70
2880,note_on,1,0,0,,,,,,,,,0,,,57,70
3119,note_on,0,0,0,,,,,,,,,0,,,61,0
3119,note_on,239,0,0,,,,,,,,,0,,,57,0
3120,note_on,0,0,0,,,,,,,,,0,,,64,70
3120,note_on,1,0,0,,,,,,,,,0,,,56,70
3120,note_on,0,0,0,,,,,,,,,0,,,59,70
3359,note_on,0,0,0,,,,,,,,,0,,,64,0
3359,note_on,239,0,0,,,,,,,,,0,,,56,0
3359,note_on,0,0,0,,,,,,,,,0,,,59,0
3360,note_on,1,0,0,,,,,,,,,0,,,57,70
3360,note_on,0,0,0,,,,,,,,,0,,,61,70
3599,note_on,239,0,0,,,,,,,,,0,,,57,0
3599,note_on,0,0,0,,,,,,,,,0,,,61,0
3600,note_on,0,0,0,,,,,,,,,0,,,61,70
3600,note_on,0,0,0,,,,,,,,,0,,,64,70
3600,note_on,0,0,0,,,,,,,,,0,,,69,70
3600,set_tempo,1,1,0,,,,,,1200000,,,,,,,
3839,note_on,239,0,0,,,,,,,,,0,,,61,0
3839,note_on,0,0,0,,,,,,,,,0,,,69,0
3839,note_on,0,0,0,,,,,,,,,0,,,64,0
3840,set_tempo,1,1,0,,,,,,2400001,,,,,,,
3840,note_on,0,0,0,,,,,,,,,0,,,62,70
3840,note_on,0,0,0,,,,,,,,,0,,,66,70
4199,note_on,2279,0,1,,,,,,,,,0,,,32,0
4199,note_on,0,0,1,,,,,,,,,0,,,44,0
4295,note_on,0,0,0,,,,,,,,,0,,,66,0
4295,note_on,455,0,0,,,,,,,,,0,,,62,0
4319,set_tempo,24,1,0,,,,,,1200000,,,,,,,
