tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,port,note,velocity
0,control_change,0,0,0,,,,,,,7,100,0,,,,
0,time_signature,0,1,0,6,8,24,8,,,,,,,,,
0,set_tempo,0,1,0,,,,,,1499999,,,,,,,
0,program_change,0,0,0,,,,,,,,,0,0,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,,,,,0,,
0,midi_port,0,1,0,,,,,,,,,,,0,,
0,key_signature,0,1,1,,,,,Db,,,,,,,,
0,key_signature,0,1,0,,,,,Db,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,control_change,0,0,0,,,,,,,10,64,0,,,,
0,control_change,0,0,0,,,,,,,93,0,0,,,,
0,control_change,0,0,0,,,,,,,91,0,0,,,,
0,control_change,0,0,0,,,,,,,121,0,0,,,,
2,control_change,2,0,1,,,,,,,64,127,0,,,,
240,note_on,240,0,0,,,,,,,,,0,,,61,60
240,note_on,0,0,0,,,,,,,,,0,,,73,70
267,note_on,27,0,0,,,,,,,,,0,,,61,0
270,note_on,3,0,0,,,,,,,,,0,,,65,60
297,note_on,27,0,0,,,,,,,,,0,,,65,0
300,note_on,3,0,0,,,,,,,,,0,,,61,60
327,note_on,27,0,0,,,,,,,,,0,,,61,0
330,note_on,3,0,0,,,,,,,,,0,,,65,60
357,note_on,27,0,0,,,,,,,,,0,,,65,0
360,note_on,3,0,0,,,,,,,,,0,,,61,60
387,note_on,27,0,0,,,,,,,,,0,,,61,0
390,note_on,3,0,0,,,,,,,,,0,,,65,60
417,note_on,27,0,0,,,,,,,,,0,,,65,0
420,note_on,3,0,0,,,,,,,,,0,,,61,60
447,note_on,27,0,0,,,,,,,,,0,,,61,0
450,note_on,3,0,0,,,,,,,,,0,,,65,60
477,note_on,27,0,0,,,,,,,,,0,,,65,0
479,note_on,2,0,0,,,,,,,,,0,,,73,0
480,set_tempo,1,1,0,,,,,,1200000,,,,,,,
480,note_on,0,0,0,,,,,,,,,0,,,72,70
480,note_on,0,0,0,,,,,,,,,0,,,61,60
507,note_on,27,0,0,,,,,,,,,0,,,61,0
510,note_on,3,0,0,,,,,,,,,0,,,65,60
537,note_on,27,0,0,,,,,,,,,0,,,65,0
540,note_on,3,0,0,,,,,,,,,0,,,61,60
567,note_on,27,0,0,,,,,,,,,0,,,61,0
570,note_on,3,0,0,,,,,,,,,0,,,65,60
597,note_on,27,0,0,,,,,,,,,0,,,65,0
600,note_on,3,0,0,,,,,,,,,0,,,61,60
627,note_on,27,0,0,,,,,,,,,0,,,61,0
630,note_on,3,0,0,,,,,,,,,0,,,65,60
657,note_on,27,0,0,,,,,,,,,0,,,65,0
660,note_on,3,0,0,,,,,,,,,0,,,61,60
687,note_on,27,0,0,,,,,,,,,0,,,61,0
690,note_on,3,0,0,,,,,,,,,0,,,65,60
717,note_on,27,0,0,,,,,,,,,0,,,65,0
719,note_on,2,0,0,,,,,,,,,0,,,72,0
720,note_on,0,0,0,,,,,,,,,0,,,70,70
720,note_on,1,0,0,,,,,,,,,0,,,61,60
747,note_on,27,0,0,,,,,,,,,0,,,61,0
750,note_on,3,0,0,,,,,,,,,0,,,65,60
777,note_on,27,0,0,,,,,,,,,0,,,65,0
780,note_on,3,0,0,,,,,,,,,0,,,61,60
807,note_on,27,0,0,,,,,,,,,0,,,61,0
810,note_on,3,0,0,,,,,,,,,0,,,65,60
837,note_on,27,0,0,,,,,,,,,0,,,65,0
840,note_on,3,0,0,,,,,,,,,0,,,61,60
867,note_on,27,0,0,,,,,,,,,0,,,61,0
870,note_on,3,0,0,,,,,,,,,0,,,65,60
897,note_on,27,0,0,,,,,,,,,0,,,65,0
900,note_on,3,0,0,,,,,,,,,0,,,61,60
927,note_on,27,0,0,,,,,,,,,0,,,61,0
930,note_on,3,0,0,,,,,,,,,0,,,65,60
957,note_on,27,0,0,,,,,,,,,0,,,65,0
959,note_on,2,0,0,,,,,,,,,0,,,70,0
960,note_on,0,0,0,,,,,,,,,0,,,69,70
960,note_on,1,0,0,,,,,,,,,0,,,61,60
987,note_on,27,0,0,,,,,,,,,0,,,61,0
990,note_on,3,0,0,,,,,,,,,0,,,65,60
1017,note_on,27,0,0,,,,,,,,,0,,,65,0
1020,note_on,3,0,0,,,,,,,,,0,,,61,60
1047,note_on,27,0,0,,,,,,,,,0,,,61,0
1050,note_on,3,0,0,,,,,,,,,0,,,65,60
1077,note_on,27,0,0,,,,,,,,,0,,,65,0
1080,note_on,3,0,0,,,,,,,,,0,,,61,60
1107,note_on,27,0,0,,,,,,,,,0,,,61,0
1110,note_on,3,0,0,,,,,,,,,0,,,65,60
1137,note_on,27,0,0,,,,,,,,,0,,,65,0
1140,note_on,3,0,0,,,,,,,,,0,,,61,60
1167,note_on,27,0,0,,,,,,,,,0,,,61,0
1170,note_on,3,0,0,,,,,,,,,0,,,65,60
1197,note_on,27,0,0,,,,,,,,,0,,,65,0
1199,note_on,2,0,0,,,,,,,,,0,,,69,0
1200,note_on,1,0,0,,,,,,,,,0,,,61,60
1200,note_on,0,0,0,,,,,,,,,0,,,70,70
1227,note_on,27,0,0,,,,,,,,,0,,,61,0
1230,note_on,3,0,0,,,,,,,,,0,,,65,60
1257,note_on,27,0,0,,,,,,,,,0,,,65,0
1260,note_on,3,0,0,,,,,,,,,0,,,61,60
1287,note_on,27,0,0,,,,,,,,,0,,,61,0
1290,note_on,3,0,0,,,,,,,,,0,,,65,60
1317,note_on,27,0,0,,,,,,,,,0,,,65,0
1320,note_on,3,0,0,,,,,,,,,0,,,61,60
1347,note_on,27,0,0,,,,,,,,,0,,,61,0
1350,note_on,3,0,0,,,,,,,,,0,,,65,60
1377,note_on,27,0,0,,,,,,,,,0,,,65,0
1380,note_on,3,0,0,,,,,,,,,0,,,61,60
1407,note_on,27,0,0,,,,,,,,,0,,,61,0
1410,note_on,3,0,0,,,,,,,,,0,,,65,60
1437,note_on,27,0,0,,,,,,,,,0,,,65,0
1439,note_on,2,0,0,,,,,,,,,0,,,70,0
1440,note_on,0,0,0,,,,,,,,,0,,,63,60
1440,note_on,0,0,0,,,,,,,,,0,,,75,70
1440,set_tempo,1,1,0,,,,,,1499999,,,,,,,
1441,control_change,1439,0,1,,,,,,,64,0,0,,,,
1442,control_change,1,0,1,,,,,,,64,127,0,,,,
1466,note_on,26,0,0,,,,,,,,,0,,,63,0
1469,note_on,3,0,0,,,,,,,,,0,,,66,60
1495,note_on,26,0,0,,,,,,,,,0,,,66,0
1499,note_on,4,0,0,,,,,,,,,0,,,63,60
1525,note_on,26,0,0,,,,,,,,,0,,,63,0
1528,note_on,3,0,0,,,,,,,,,0,,,66,60
1554,note_on,26,0,0,,,,,,,,,0,,,66,0
1558,note_on,4,0,0,,,,,,,,,0,,,63,60
1584,note_on,26,0,0,,,,,,,,,0,,,63,0
1587,note_on,3,0,0,,,,,,,,,0,,,66,60
1613,note_on,26,0,0,,,,,,,,,0,,,66,0
1617,note_on,4,0,0,,,,,,,,,0,,,63,60
1643,note_on,26,0,0,,,,,,,,,0,,,63,0
1646,note_on,3,0,0,,,,,,,,,0,,,66,60
1672,note_on,26,0,0,,,,,,,,,0,,,66,0
1676,note_on,4,0,0,,,,,,,,,0,,,63,60
1680,note_on,238,0,1,,,,,,,,,0,,,59,70
1702,note_on,26,0,0,,,,,,,,,0,,,63,0
1705,note_on,3,0,0,,,,,,,,,0,,,66,60
1731,note_on,26,0,0,,,,,,,,,0,,,66,0
1735,note_on,4,0,0,,,,,,,,,0,,,63,60
1758,note_on,78,0,1,,,,,,,,,0,,,59,0
1761,note_on,26,0,0,,,,,,,,,0,,,63,0
1764,note_on,3,0,0,,,,,,,,,0,,,66,60
1790,note_on,26,0,0,,,,,,,,,0,,,66,0
