tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,control,value,channel,program,port,note,velocity
0,control_change,,,,,0,0,0,,,7,100,0,,,,
0,key_signature,,,,,0,1,0,C,,,,,,,,
0,key_signature,,,,,0,1,1,C,,,,,,,,
0,midi_port,,,,,0,1,0,,,,,,,0,,
0,midi_port,,,,,0,1,1,,,,,,,0,,
0,program_change,,,,,0,0,0,,,,,0,0,,,
0,time_signature,4,4,24,8,0,1,0,,,,,,,,,
0,set_tempo,,,,,0,1,0,,599999,,,,,,,
0,control_change,,,,,0,0,0,,,10,64,0,,,,
0,control_change,,,,,0,0,0,,,91,0,0,,,,
0,control_change,,,,,0,0,0,,,93,0,0,,,,
0,control_change,,,,,0,0,0,,,121,0,0,,,,
2,control_change,,,,,2,0,0,,,64,127,0,,,,
360,note_on,,,,,358,0,0,,,,,0,,,60,96
360,note_on,,,,,0,0,0,,,,,0,,,48,96
480,note_on,,,,,480,0,1,,,,,0,,,24,96
701,note_on,,,,,341,0,0,,,,,0,,,60,0
701,note_on,,,,,0,0,0,,,,,0,,,48,0
707,note_on,,,,,227,0,1,,,,,0,,,24,0
960,set_tempo,,,,,259,1,0,,1000000,,,,,,,
960,note_on,,,,,0,0,0,,,,,0,,,84,115
960,note_on,,,,,253,0,1,,,,,0,,,60,96
975,note_on,,,,,15,0,0,,,,,0,,,84,0
985,note_on,,,,,10,0,0,,,,,0,,,88,96
985,note_on,,,,,0,0,0,,,,,0,,,96,96
1002,note_on,,,,,42,0,1,,,,,0,,,67,96
1009,note_on,,,,,0,0,0,,,,,0,,,96,0
1009,note_on,,,,,24,0,0,,,,,0,,,88,0
1010,note_on,,,,,1,0,0,,,,,0,,,94,96
1034,note_on,,,,,24,0,0,,,,,0,,,94,0
1035,note_on,,,,,1,0,0,,,,,0,,,91,96
1044,note_on,,,,,42,0,1,,,,,0,,,70,96
1059,note_on,,,,,24,0,0,,,,,0,,,91,0
1060,note_on,,,,,1,0,0,,,,,0,,,88,96
1084,note_on,,,,,24,0,0,,,,,0,,,88,0
