tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,control,value,channel,program,port,note,velocity
0,control_change,,,,,0,0,0,,,7,100,0,,,,
0,midi_port,,,,,0,1,0,,,,,,,0,,
0,midi_port,,,,,0,1,1,,,,,,,0,,
0,note_on,,,,,0,0,0,,,,,0,,,64,80
0,time_signature,3,8,24,8,0,1,0,,,,,,,,,
0,key_signature,,,,,0,1,1,C,,,,,,,,
0,program_change,,,,,0,0,0,,,,,0,0,,,
0,key_signature,,,,,0,1,0,C,,,,,,,,
0,control_change,,,,,0,0,0,,,121,0,0,,,,
0,control_change,,,,,0,0,0,,,93,0,0,,,,
0,control_change,,,,,0,0,0,,,91,0,0,,,,
0,control_change,,,,,0,0,0,,,10,64,0,,,,
0,set_tempo,,,,,0,1,0,,300000,,,,,,,
78,note_on,,,,,78,0,0,,,,,0,,,64,0
240,note_on,,,,,162,0,0,,,,,0,,,64,80
318,note_on,,,,,78,0,0,,,,,0,,,64,0
480,note_on,,,,,162,0,0,,,,,0,,,64,80
558,note_on,,,,,78,0,0,,,,,0,,,64,0
720,set_tempo,,,,,0,1,0,,600001,,,,,,,
720,note_on,,,,,0,0,0,,,,,0,,,64,96
720,time_signature,3,4,24,8,162,1,0,,,,,,,,,
1439,set_tempo,,,,,719,1,0,,300000,,,,,,,
1439,note_on,,,,,0,0,0,,,,,0,,,64,0
1440,note_on,,,,,1,0,0,,,,,0,,,64,80
1440,note_on,,,,,0,0,0,,,,,0,,,65,80
1518,note_on,,,,,78,0,0,,,,,0,,,64,0
1518,note_on,,,,,0,0,0,,,,,0,,,65,0
1680,note_on,,,,,0,0,0,,,,,0,,,65,80
1680,note_on,,,,,162,0,0,,,,,0,,,64,80
1758,note_on,,,,,78,0,0,,,,,0,,,64,0
1758,note_on,,,,,0,0,0,,,,,0,,,65,0
1920,note_on,,,,,0,0,0,,,,,0,,,65,80
1920,note_on,,,,,162,0,0,,,,,0,,,64,80
1998,note_on,,,,,78,0,0,,,,,0,,,64,0
1998,note_on,,,,,0,0,0,,,,,0,,,65,0
2160,note_on,,,,,0,0,0,,,,,0,,,65,96
2160,set_tempo,,,,,162,1,0,,600001,,,,,,,
2160,note_on,,,,,0,0,0,,,,,0,,,64,96
2879,note_on,,,,,0,0,0,,,,,0,,,64,0
2879,note_on,,,,,0,0,0,,,,,0,,,65,0
2879,set_tempo,,,,,719,1,0,,300000,,,,,,,
2880,note_on,,,,,0,0,0,,,,,0,,,70,80
2880,note_on,,,,,1,0,0,,,,,0,,,62,80
2882,control_change,,,,,2,0,0,,,64,127,0,,,,
3000,note_on,,,,,3000,0,1,,,,,0,,,64,80
3000,note_on,,,,,0,0,1,,,,,0,,,65,80
3107,note_on,,,,,225,0,0,,,,,0,,,62,0
3107,note_on,,,,,0,0,0,,,,,0,,,70,0
3113,note_on,,,,,0,0,1,,,,,0,,,65,0
3113,note_on,,,,,113,0,1,,,,,0,,,64,0
3120,note_on,,,,,0,0,0,,,,,0,,,70,80
3120,note_on,,,,,13,0,0,,,,,0,,,62,80
3240,note_on,,,,,0,0,1,,,,,0,,,65,80
3240,note_on,,,,,127,0,1,,,,,0,,,64,80
3347,note_on,,,,,227,0,0,,,,,0,,,62,0
3347,note_on,,,,,0,0,0,,,,,0,,,70,0
3353,note_on,,,,,113,0,1,,,,,0,,,64,0
3353,note_on,,,,,0,0,1,,,,,0,,,65,0
3360,note_on,,,,,0,0,0,,,,,0,,,70,80
3360,note_on,,,,,13,0,0,,,,,0,,,62,80
3480,note_on,,,,,127,0,1,,,,,0,,,64,80
3480,note_on,,,,,0,0,1,,,,,0,,,65,80
3587,note_on,,,,,227,0,0,,,,,0,,,62,0
3587,note_on,,,,,0,0,0,,,,,0,,,70,0
3600,note_on,,,,,0,0,0,,,,,0,,,70,96
3600,note_on,,,,,13,0,0,,,,,0,,,62,96
4277,note_on,,,,,797,0,1,,,,,0,,,64,0
4277,note_on,,,,,0,0,1,,,,,0,,,65,0
4319,note_on,,,,,719,0,0,,,,,0,,,62,0
4319,note_on,,,,,0,0,0,,,,,0,,,70,0
4320,note_on,,,,,0,0,0,,,,,0,,,71,80
4320,note_on,,,,,1,0,0,,,,,0,,,62,80
4321,control_change,,,,,1,0,0,,,64,0,0,,,,
4322,control_change,,,,,1,0,0,,,64,127,0,,,,
4440,note_on,,,,,163,0,1,,,,,0,,,64,85
4440,note_on,,,,,0,0,1,,,,,0,,,65,85
4440,note_on,,,,,0,0,1,,,,,0,,,68,85
4547,note_on,,,,,225,0,0,,,,,0,,,62,0
4547,note_on,,,,,0,0,0,,,,,0,,,71,0
4553,note_on,,,,,0,0,1,,,,,0,,,68,0
4553,note_on,,,,,0,0,1,,,,,0,,,65,0
4553,note_on,,,,,113,0,1,,,,,0,,,64,0
4560,note_on,,,,,13,0,0,,,,,0,,,62,90
4560,note_on,,,,,0,0,0,,,,,0,,,71,90
4680,note_on,,,,,127,0,1,,,,,0,,,64,96
4680,note_on,,,,,0,0,1,,,,,0,,,68,96
4680,note_on,,,,,0,0,1,,,,,0,,,65,96
4787,note_on,,,,,227,0,0,,,,,0,,,62,0
