tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,port,note,velocity
0,control_change,0,0,0,,,,,,,7,100,0,,,,
0,time_signature,0,1,0,6,8,24,8,,,,,,,,,
0,set_tempo,0,1,0,,,,,,800000,,,,,,,
0,program_change,0,0,0,,,,,,,,,0,0,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,note_on,0,0,1,,,,,,,,,0,,,53,49
0,note_on,0,0,1,,,,,,,,,0,,,53,49
0,note_on,0,0,1,,,,,,,,,0,,,53,0
0,midi_port,0,1,1,,,,,,,,,,,0,,
0,midi_port,0,1,0,,,,,,,,,,,0,,
0,key_signature,0,1,1,,,,,F,,,,,,,,
0,key_signature,0,1,0,,,,,F,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,control_change,0,0,0,,,,,,,121,0,0,,,,
0,control_change,0,0,0,,,,,,,10,64,0,,,,
0,control_change,0,0,0,,,,,,,91,0,0,,,,
0,control_change,0,0,0,,,,,,,93,0,0,,,,
2,control_change,2,0,1,,,,,,,64,127,0,,,,
26,note_on,24,0,1,,,,,,,,,0,,,60,49
52,note_on,26,0,1,,,,,,,,,0,,,65,49
78,note_on,26,0,1,,,,,,,,,0,,,69,49
238,note_on,0,0,1,,,,,,,,,0,,,69,0
238,note_on,160,0,1,,,,,,,,,0,,,60,0
238,note_on,0,0,1,,,,,,,,,0,,,65,0
240,note_on,2,0,1,,,,,,,,,0,,,60,49
467,note_on,227,0,1,,,,,,,,,0,,,60,0
480,note_on,0,0,1,,,,,,,,,0,,,69,49
480,note_on,13,0,1,,,,,,,,,0,,,65,49
707,note_on,227,0,1,,,,,,,,,0,,,65,0
707,note_on,0,0,1,,,,,,,,,0,,,69,0
720,note_on,13,0,1,,,,,,,,,0,,,64,49
720,note_on,0,0,1,,,,,,,,,0,,,67,49
947,note_on,0,0,1,,,,,,,,,0,,,67,0
947,note_on,227,0,1,,,,,,,,,0,,,64,0
960,note_on,13,0,1,,,,,,,,,0,,,62,49
960,note_on,0,0,1,,,,,,,,,0,,,65,49
1187,note_on,0,0,1,,,,,,,,,0,,,65,0
1187,note_on,227,0,1,,,,,,,,,0,,,62,0
1200,note_on,0,0,1,,,,,,,,,0,,,53,0
1200,note_on,0,0,1,,,,,,,,,0,,,53,49
1200,note_on,0,0,1,,,,,,,,,0,,,53,49
1200,note_on,13,0,1,,,,,,,,,0,,,53,0
1440,note_on,240,0,1,,,,,,,,,0,,,62,49
1440,note_on,0,0,1,,,,,,,,,0,,,65,49
1667,note_on,0,0,1,,,,,,,,,0,,,65,0
1667,note_on,227,0,1,,,,,,,,,0,,,62,0
1680,note_on,0,0,1,,,,,,,,,0,,,64,49
1680,note_on,13,0,1,,,,,,,,,0,,,60,49
1907,note_on,0,0,1,,,,,,,,,0,,,64,0
1907,note_on,227,0,1,,,,,,,,,0,,,60,0
1920,note_on,13,0,1,,,,,,,,,0,,,58,49
1920,note_on,0,0,1,,,,,,,,,0,,,62,49
2111,note_on,191,0,1,,,,,,,,,0,,,53,0
2147,note_on,0,0,1,,,,,,,,,0,,,62,0
2147,note_on,36,0,1,,,,,,,,,0,,,58,0
2160,note_on,0,0,1,,,,,,,,,0,,,53,49
2160,note_on,0,0,1,,,,,,,,,0,,,53,0
2160,note_on,13,0,1,,,,,,,,,0,,,53,49
2400,note_on,0,0,1,,,,,,,,,0,,,62,49
2400,note_on,240,0,1,,,,,,,,,0,,,58,49
2627,note_on,227,0,1,,,,,,,,,0,,,58,0
2627,note_on,0,0,1,,,,,,,,,0,,,62,0
2640,note_on,0,0,1,,,,,,,,,0,,,60,49
2640,note_on,13,0,1,,,,,,,,,0,,,57,49
2843,note_on,203,0,1,,,,,,,,,0,,,53,0
2867,note_on,0,0,1,,,,,,,,,0,,,60,0
2867,note_on,24,0,1,,,,,,,,,0,,,57,0
2880,note_on,0,0,1,,,,,,,,,0,,,59,49
2880,note_on,13,0,1,,,,,,,,,0,,,56,49
2881,control_change,1,0,1,,,,,,,64,0,0,,,,
2882,control_change,1,0,1,,,,,,,64,127,0,,,,
3119,note_on,237,0,1,,,,,,,,,0,,,56,0
3120,note_on,1,0,1,,,,,,,,,0,,,55,49
3347,note_on,227,0,1,,,,,,,,,0,,,55,0
3360,note_on,13,0,1,,,,,,,,,0,,,50,49
3360,note_on,0,0,1,,,,,,,,,0,,,53,49
3587,note_on,0,0,1,,,,,,,,,0,,,53,0
3587,note_on,227,0,1,,,,,,,,,0,,,50,0
3599,note_on,12,0,1,,,,,,,,,0,,,59,0
3600,note_on,1,0,1,,,,,,,,,0,,,49,49
3600,note_on,0,0,1,,,,,,,,,0,,,53,49
3600,note_on,0,0,1,,,,,,,,,0,,,58,49
3827,note_on,0,0,1,,,,,,,,,0,,,53,0
3827,note_on,227,0,1,,,,,,,,,0,,,49,0
3840,note_on,0,0,1,,,,,,,,,0,,,52,49
3840,note_on,13,0,1,,,,,,,,,0,,,48,49
4055,note_on,215,0,1,,,,,,,,,0,,,58,0
4067,note_on,12,0,1,,,,,,,,,0,,,48,0
4067,note_on,0,0,1,,,,,,,,,0,,,52,0
4080,note_on,13,0,1,,,,,,,,,0,,,52,49
4080,note_on,0,0,1,,,,,,,,,0,,,55,49
4080,note_on,0,0,1,,,,,,,,,0,,,60,49
4307,note_on,227,0,1,,,,,,,,,0,,,52,0
4307,note_on,0,0,1,,,,,,,,,0,,,55,0
4307,note_on,0,0,1,,,,,,,,,0,,,60,0
4320,note_on,0,0,1,,,,,,,,,0,,,57,49
4320,note_on,13,0,1,,,,,,,,,0,,,53,49
4321,control_change,1,0,1,,,,,,,64,0,0,,,,
4322,control_change,1,0,1,,,,,,,64,127,0,,,,
4547,note_on,0,0,1,,,,,,,,,0,,,57,0
4547,note_on,225,0,1,,,,,,,,,0,,,53,0
4560,note_on,0,0,1,,,,,,,,,0,,,53,0
4560,note_on,0,0,1,,,,,,,,,0,,,53,49
4560,note_on,13,0,1,,,,,,,,,0,,,53,49
4800,note_on,0,0,1,,,,,,,,,0,,,69,49
4800,note_on,240,0,1,,,,,,,,,0,,,65,49
5027,note_on,0,0,1,,,,,,,,,0,,,69,0
5027,note_on,227,0,1,,,,,,,,,0,,,65,0
5040,note_on,5040,0,0,,,,,,,,,0,,,69,58
5040,note_on,0,0,0,,,,,,,,,0,,,81,58
5040,note_on,13,0,1,,,,,,,,,0,,,64,49
5040,note_on,0,0,1,,,,,,,,,0,,,67,49
5267,note_on,0,0,1,,,,,,,,,0,,,67,0
5267,note_on,227,0,1,,,,,,,,,0,,,64,0
5280,note_on,13,0,1,,,,,,,,,0,,,62,49
5280,note_on,0,0,1,,,,,,,,,0,,,65,49
5471,note_on,191,0,1,,,,,,,,,0,,,53,0
5507,note_on,36,0,1,,,,,,,,,0,,,62,0
5507,note_on,0,0,1,,,,,,,,,0,,,65,0
5520,note_on,0,0,1,,,,,,,,,0,,,53,0
5520,note_on,13,0,1,,,,,,,,,0,,,53,49
5520,note_on,0,0,1,,,,,,,,,0,,,53,49
5760,note_on,0,0,1,,,,,,,,,0,,,65,49
5760,note_on,240,0,1,,,,,,,,,0,,,62,49
5987,note_on,227,0,1,,,,,,,,,0,,,62,0
5987,note_on,0,0,1,,,,,,,,,0,,,65,0
6000,note_on,0,0,1,,,,,,,,,0,,,64,49
6000,note_on,13,0,1,,,,,,,,,0,,,60,49
6227,note_on,227,0,1,,,,,,,,,0,,,60,0
6227,note_on,0,0,1,,,,,,,,,0,,,64,0
6240,note_on,0,0,1,,,,,,,,,0,,,62,49
6240,note_on,13,0,1,,,,,,,,,0,,,58,49
6241,note_on,1201,0,0,,,,,,,,,0,,,69,0
6241,note_on,0,0,0,,,,,,,,,0,,,81,0
6431,note_on,191,0,1,,,,,,,,,0,,,53,0
