tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,control,value,channel,program,port,note,velocity
0,control_change,,,,,0,0,0,,,7,100,0,,,,
0,set_tempo,,,,,0,1,0,,500000,,,,,,,
0,program_change,,,,,0,0,0,,,,,0,0,,,
0,key_signature,,,,,0,1,0,F,,,,,,,,
0,key_signature,,,,,0,1,1,F,,,,,,,,
0,time_signature,4,4,24,8,0,1,0,,,,,,,,,
0,midi_port,,,,,0,1,0,,,,,,,0,,
0,key_signature,,,,,0,1,2,F,,,,,,,,
0,midi_port,,,,,0,1,2,,,,,,,0,,
0,control_change,,,,,0,0,0,,,121,0,0,,,,
0,control_change,,,,,0,0,0,,,93,0,0,,,,
0,control_change,,,,,0,0,0,,,91,0,0,,,,
0,control_change,,,,,0,0,0,,,10,64,0,,,,
0,midi_port,,,,,0,1,1,,,,,,,0,,
480,note_on,,,,,480,0,1,,,,,0,,,79,112
480,note_on,,,,,480,0,2,,,,,0,,,61,112
522,note_on,,,,,42,0,2,,,,,0,,,67,112
522,note_on,,,,,42,0,1,,,,,0,,,85,112
564,note_on,,,,,42,0,1,,,,,0,,,88,112
564,note_on,,,,,42,0,2,,,,,0,,,70,112
606,note_on,,,,,42,0,1,,,,,0,,,94,112
606,note_on,,,,,42,0,2,,,,,0,,,76,112
719,note_on,,,,,0,0,1,,,,,0,,,85,0
719,note_on,,,,,113,0,2,,,,,0,,,61,0
719,note_on,,,,,0,0,1,,,,,0,,,88,0
719,note_on,,,,,0,0,1,,,,,0,,,94,0
719,note_on,,,,,0,0,2,,,,,0,,,67,0
719,note_on,,,,,0,0,2,,,,,0,,,76,0
719,note_on,,,,,0,0,2,,,,,0,,,70,0
719,note_on,,,,,113,0,1,,,,,0,,,79,0
1440,note_on,,,,,721,0,1,,,,,0,,,74,112
1440,note_on,,,,,721,0,2,,,,,0,,,56,112
1482,note_on,,,,,42,0,1,,,,,0,,,80,112
1482,note_on,,,,,42,0,2,,,,,0,,,62,112
1524,note_on,,,,,42,0,1,,,,,0,,,83,112
1524,note_on,,,,,42,0,2,,,,,0,,,65,112
1566,note_on,,,,,42,0,1,,,,,0,,,89,112
1566,note_on,,,,,42,0,2,,,,,0,,,71,112
1679,note_on,,,,,0,0,1,,,,,0,,,83,0
1679,note_on,,,,,0,0,1,,,,,0,,,80,0
1679,note_on,,,,,0,0,2,,,,,0,,,71,0
1679,note_on,,,,,113,0,1,,,,,0,,,74,0
1679,note_on,,,,,113,0,2,,,,,0,,,56,0
1679,note_on,,,,,0,0,2,,,,,0,,,65,0
1679,note_on,,,,,0,0,2,,,,,0,,,62,0
1679,note_on,,,,,0,0,1,,,,,0,,,89,0
2400,note_on,,,,,721,0,1,,,,,0,,,69,112
2400,note_on,,,,,721,0,2,,,,,0,,,51,112
2442,note_on,,,,,42,0,1,,,,,0,,,75,112
2442,note_on,,,,,42,0,2,,,,,0,,,57,112
2484,note_on,,,,,42,0,1,,,,,0,,,78,112
2484,note_on,,,,,42,0,2,,,,,0,,,60,112
2526,note_on,,,,,42,0,1,,,,,0,,,84,112
2526,note_on,,,,,42,0,2,,,,,0,,,66,112
2639,note_on,,,,,113,0,2,,,,,0,,,51,0
2639,note_on,,,,,0,0,1,,,,,0,,,75,0
2639,note_on,,,,,0,0,1,,,,,0,,,78,0
2639,note_on,,,,,0,0,1,,,,,0,,,84,0
2639,note_on,,,,,113,0,1,,,,,0,,,69,0
2639,note_on,,,,,0,0,2,,,,,0,,,66,0
2639,note_on,,,,,0,0,2,,,,,0,,,60,0
2639,note_on,,,,,0,0,2,,,,,0,,,57,0
2880,note_on,,,,,241,0,2,,,,,0,,,46,112
2880,note_on,,,,,241,0,1,,,,,0,,,64,112
2922,note_on,,,,,42,0,2,,,,,0,,,52,112
2922,note_on,,,,,42,0,1,,,,,0,,,70,112
2964,note_on,,,,,42,0,2,,,,,0,,,55,112
2964,note_on,,,,,42,0,1,,,,,0,,,73,112
3006,note_on,,,,,42,0,1,,,,,0,,,79,112
3006,note_on,,,,,42,0,2,,,,,0,,,61,112
3119,note_on,,,,,113,0,2,,,,,0,,,46,0
3119,note_on,,,,,113,0,1,,,,,0,,,64,0
