tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,control,value,channel,program,port,note,velocity
0,control_change,,,,,0,0,0,,,121,0,0,,,,
0,control_change,,,,,0,0,0,,,7,100,0,,,,
0,control_change,,,,,0,0,0,,,10,64,0,,,,
0,control_change,,,,,0,0,0,,,91,0,0,,,,
0,control_change,,,,,0,0,0,,,93,0,0,,,,
0,time_signature,2,4,24,8,0,1,0,,,,,,,,,
0,set_tempo,,,,,0,1,0,,545456,,,,,,,
0,program_change,,,,,0,0,0,,,,,0,0,,,
0,midi_port,,,,,0,1,1,,,,,,,0,,
0,midi_port,,,,,0,1,0,,,,,,,0,,
0,key_signature,,,,,0,1,1,Bb,,,,,,,,
0,key_signature,,,,,0,1,0,Bb,,,,,,,,
240,note_on,,,,,240,0,0,,,,,0,,,65,70
299,note_on,,,,,59,0,0,,,,,0,,,65,0
300,note_on,,,,,1,0,0,,,,,0,,,66,70
359,note_on,,,,,59,0,0,,,,,0,,,66,0
360,note_on,,,,,1,0,0,,,,,0,,,65,70
419,note_on,,,,,59,0,0,,,,,0,,,65,0
420,note_on,,,,,1,0,0,,,,,0,,,67,70
479,note_on,,,,,59,0,0,,,,,0,,,67,0
480,note_on,,,,,1,0,0,,,,,0,,,68,70
539,note_on,,,,,59,0,0,,,,,0,,,68,0
540,note_on,,,,,1,0,0,,,,,0,,,69,70
599,note_on,,,,,59,0,0,,,,,0,,,69,0
600,note_on,,,,,1,0,0,,,,,0,,,68,70
659,note_on,,,,,59,0,0,,,,,0,,,68,0
660,note_on,,,,,1,0,0,,,,,0,,,70,70
719,note_on,,,,,59,0,0,,,,,0,,,70,0
720,note_on,,,,,1,0,0,,,,,0,,,71,70
779,note_on,,,,,59,0,0,,,,,0,,,71,0
780,note_on,,,,,1,0,0,,,,,0,,,72,70
839,note_on,,,,,59,0,0,,,,,0,,,72,0
840,note_on,,,,,1,0,0,,,,,0,,,71,70
