tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,port,note,velocity
0,control_change,0,0,0,,,,,,,7,100,0,,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,,,,
0,set_tempo,0,1,0,,,,,,1500000,,,,,,,
0,program_change,0,0,0,,,,,,,,,0,1,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,note_on,0,0,0,,,,,,,,,0,,,50,115
0,note_on,0,0,0,,,,,,,,,0,,,46,115
0,midi_port,0,1,1,,,,,,,,,,,0,,
0,midi_port,0,1,0,,,,,,,,,,,0,,
0,key_signature,0,1,1,,,,,Bb,,,,,,,,
0,key_signature,0,1,0,,,,,Bb,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,control_change,0,0,0,,,,,,,10,64,0,,,,
0,control_change,0,0,0,,,,,,,91,0,0,,,,
0,control_change,0,0,0,,,,,,,93,0,0,,,,
0,control_change,0,0,0,,,,,,,121,0,0,,,,
2,control_change,2,0,1,,,,,,,64,127,0,,,,
240,note_on,238,0,1,,,,,,,,,0,,,31,96
280,note_on,280,0,0,,,,,,,,,0,,,46,0
280,note_on,40,0,1,,,,,,,,,0,,,46,96
320,note_on,40,0,1,,,,,,,,,0,,,55,99
359,note_on,39,0,1,,,,,,,,,0,,,55,0
360,note_on,1,0,1,,,,,,,,,0,,,62,102
399,note_on,39,0,1,,,,,,,,,0,,,62,0
400,note_on,1,0,1,,,,,,,,,0,,,55,106
439,note_on,39,0,1,,,,,,,,,0,,,55,0
440,note_on,1,0,1,,,,,,,,,0,,,46,0
440,note_on,0,0,1,,,,,,,,,0,,,46,106
467,note_on,27,0,1,,,,,,,,,0,,,31,0
479,note_on,199,0,0,,,,,,,,,0,,,50,0
479,note_on,12,0,1,,,,,,,,,0,,,46,0
480,note_on,1,0,0,,,,,,,,,0,,,45,115
480,note_on,0,0,0,,,,,,,,,0,,,49,115
481,control_change,2,0,1,,,,,,,64,0,0,,,,
482,control_change,1,0,1,,,,,,,64,127,0,,,,
720,note_on,238,0,1,,,,,,,,,0,,,31,96
760,note_on,40,0,1,,,,,,,,,0,,,45,96
760,note_on,280,0,0,,,,,,,,,0,,,45,0
800,note_on,40,0,1,,,,,,,,,0,,,55,99
839,note_on,39,0,1,,,,,,,,,0,,,55,0
840,note_on,1,0,1,,,,,,,,,0,,,61,102
879,note_on,39,0,1,,,,,,,,,0,,,61,0
880,note_on,1,0,1,,,,,,,,,0,,,55,106
919,note_on,39,0,1,,,,,,,,,0,,,55,0
920,note_on,0,0,1,,,,,,,,,0,,,45,106
920,note_on,1,0,1,,,,,,,,,0,,,45,0
947,note_on,27,0,1,,,,,,,,,0,,,31,0
959,note_on,12,0,1,,,,,,,,,0,,,45,0
959,note_on,199,0,0,,,,,,,,,0,,,49,0
960,note_on,0,0,0,,,,,,,,,0,,,50,115
