tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,control,value,channel,program,port,note,velocity
0,control_change,,,,,0,0,0,,,7,100,0,,,,
0,note_on,,,,,0,0,1,,,,,0,,,64,112
0,midi_port,,,,,0,1,1,,,,,,,0,,
0,midi_port,,,,,0,1,0,,,,,,,0,,
0,key_signature,,,,,0,1,1,Eb,,,,,,,,
0,key_signature,,,,,0,1,0,Eb,,,,,,,,
0,program_change,,,,,0,0,0,,,,,0,0,,,
0,set_tempo,,,,,0,1,0,,599999,,,,,,,
0,note_on,,,,,0,0,1,,,,,0,,,52,112
0,time_signature,4,4,24,8,0,1,0,,,,,,,,,
0,control_change,,,,,0,0,0,,,121,0,0,,,,
0,control_change,,,,,0,0,0,,,93,0,0,,,,
0,control_change,,,,,0,0,0,,,91,0,0,,,,
0,control_change,,,,,0,0,0,,,10,64,0,,,,
2,control_change,,,,,2,0,0,,,64,127,0,,,,
50,note_on,,,,,0,0,1,,,,,0,,,64,0
50,note_on,,,,,50,0,1,,,,,0,,,52,0
51,note_on,,,,,1,0,1,,,,,0,,,52,112
51,note_on,,,,,0,0,1,,,,,0,,,64,112
191,note_on,,,,,0,0,1,,,,,0,,,64,0
191,note_on,,,,,140,0,1,,,,,0,,,52,0
480,note_on,,,,,478,0,0,,,,,0,,,46,112
480,note_on,,,,,0,0,0,,,,,0,,,49,112
480,note_on,,,,,289,0,1,,,,,0,,,31,112
480,note_on,,,,,0,0,1,,,,,0,,,40,112
480,note_on,,,,,0,0,1,,,,,0,,,43,112
637,note_on,,,,,157,0,0,,,,,0,,,46,0
637,note_on,,,,,0,0,0,,,,,0,,,49,0
637,note_on,,,,,0,0,1,,,,,0,,,43,0
637,note_on,,,,,0,0,1,,,,,0,,,40,0
637,note_on,,,,,157,0,1,,,,,0,,,31,0
960,note_on,,,,,0,0,0,,,,,0,,,88,112
960,note_on,,,,,0,0,1,,,,,0,,,64,112
960,note_on,,,,,323,0,0,,,,,0,,,76,112
960,note_on,,,,,323,0,1,,,,,0,,,52,112
1117,note_on,,,,,157,0,0,,,,,0,,,76,0
1117,note_on,,,,,0,0,1,,,,,0,,,64,0
1117,note_on,,,,,157,0,1,,,,,0,,,52,0
1117,note_on,,,,,0,0,0,,,,,0,,,88,0
1440,note_on,,,,,323,0,0,,,,,0,,,58,112
1440,note_on,,,,,323,0,1,,,,,0,,,43,112
1440,note_on,,,,,0,0,0,,,,,0,,,61,112
1440,note_on,,,,,0,0,1,,,,,0,,,55,112
1440,note_on,,,,,0,0,1,,,,,0,,,52,112
1597,note_on,,,,,157,0,0,,,,,0,,,58,0
1597,note_on,,,,,157,0,1,,,,,0,,,43,0
1597,note_on,,,,,0,0,1,,,,,0,,,55,0
1597,note_on,,,,,0,0,0,,,,,0,,,61,0
1597,note_on,,,,,0,0,1,,,,,0,,,52,0
1920,note_on,,,,,323,0,1,,,,,0,,,67,112
1920,note_on,,,,,0,0,0,,,,,0,,,100,112
1920,note_on,,,,,323,0,0,,,,,0,,,88,112
1920,note_on,,,,,0,0,0,,,,,0,,,94,112
1983,note_on,,,,,63,0,1,,,,,0,,,73,112
2047,note_on,,,,,64,0,1,,,,,0,,,76,112
2112,note_on,,,,,65,0,1,,,,,0,,,82,112
2375,note_on,,,,,0,0,0,,,,,0,,,94,0
2375,note_on,,,,,455,0,0,,,,,0,,,88,0
2398,note_on,,,,,0,0,1,,,,,0,,,76,0
2398,note_on,,,,,286,0,1,,,,,0,,,73,0
2399,note_on,,,,,1,0,1,,,,,0,,,67,0
2399,note_on,,,,,0,0,1,,,,,0,,,82,0
2432,note_on,,,,,57,0,0,,,,,0,,,100,0
2460,note_on,,,,,28,0,0,,,,,0,,,99,112
2516,note_on,,,,,56,0,0,,,,,0,,,99,0
2520,note_on,,,,,4,0,0,,,,,0,,,97,112
2576,note_on,,,,,56,0,0,,,,,0,,,97,0
2580,note_on,,,,,4,0,0,,,,,0,,,94,112
2636,note_on,,,,,56,0,0,,,,,0,,,94,0
2640,note_on,,,,,4,0,0,,,,,0,,,88,112
2696,note_on,,,,,56,0,0,,,,,0,,,88,0
2700,note_on,,,,,4,0,0,,,,,0,,,87,112
2756,note_on,,,,,56,0,0,,,,,0,,,87,0
2760,note_on,,,,,4,0,0,,,,,0,,,85,112
2816,note_on,,,,,56,0,0,,,,,0,,,85,0
2820,note_on,,,,,4,0,0,,,,,0,,,82,112
2876,note_on,,,,,56,0,0,,,,,0,,,82,0
2880,note_on,,,,,4,0,0,,,,,0,,,76,112
2936,note_on,,,,,56,0,0,,,,,0,,,76,0
2940,note_on,,,,,4,0,0,,,,,0,,,75,112
2996,note_on,,,,,56,0,0,,,,,0,,,75,0
3000,note_on,,,,,4,0,0,,,,,0,,,73,112
3056,note_on,,,,,56,0,0,,,,,0,,,73,0
3060,note_on,,,,,4,0,0,,,,,0,,,70,112
3116,note_on,,,,,56,0,0,,,,,0,,,70,0
3120,note_on,,,,,4,0,0,,,,,0,,,64,112
3176,note_on,,,,,56,0,0,,,,,0,,,64,0
3180,note_on,,,,,4,0,0,,,,,0,,,63,112
3236,note_on,,,,,56,0,0,,,,,0,,,63,0
3240,note_on,,,,,4,0,0,,,,,0,,,61,112
3296,note_on,,,,,56,0,0,,,,,0,,,61,0
