tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,port,note,velocity
0,control_change,0,0,0,,,,,,,7,100,0,,,,
0,time_signature,0,1,0,6,8,24,8,,,,,,,,,
0,set_tempo,0,1,0,,,,,,428572,,,,,,,
0,program_change,0,0,0,,,,,,,,,0,0,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,note_on,0,0,1,,,,,,,,,0,,,36,126
0,note_on,0,0,1,,,,,,,,,0,,,24,126
0,midi_port,0,1,1,,,,,,,,,,,0,,
0,midi_port,0,1,0,,,,,,,,,,,0,,
0,key_signature,0,1,1,,,,,Eb,,,,,,,,
0,key_signature,0,1,0,,,,,Eb,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,control_change,0,0,0,,,,,,,91,0,0,,,,
0,control_change,0,0,0,,,,,,,10,64,0,,,,
0,control_change,0,0,0,,,,,,,93,0,0,,,,
0,control_change,0,0,0,,,,,,,121,0,0,,,,
120,note_on,120,0,0,,,,,,,,,0,,,48,126
122,control_change,2,0,0,,,,,,,64,127,0,,,,
227,note_on,0,0,1,,,,,,,,,0,,,36,0
227,note_on,227,0,1,,,,,,,,,0,,,24,0
233,note_on,111,0,0,,,,,,,,,0,,,48,0
240,note_on,13,0,1,,,,,,,,,0,,,31,126
240,note_on,0,0,1,,,,,,,,,0,,,43,126
360,note_on,127,0,0,,,,,,,,,0,,,55,126
467,note_on,0,0,1,,,,,,,,,0,,,43,0
467,note_on,227,0,1,,,,,,,,,0,,,31,0
473,note_on,113,0,0,,,,,,,,,0,,,55,0
480,note_on,13,0,1,,,,,,,,,0,,,29,126
480,note_on,0,0,1,,,,,,,,,0,,,41,126
600,note_on,127,0,0,,,,,,,,,0,,,53,126
707,note_on,227,0,1,,,,,,,,,0,,,29,0
707,note_on,0,0,1,,,,,,,,,0,,,41,0
713,note_on,113,0,0,,,,,,,,,0,,,53,0
720,note_on,0,0,1,,,,,,,,,0,,,39,126
720,note_on,13,0,1,,,,,,,,,0,,,27,126
840,note_on,127,0,0,,,,,,,,,0,,,51,126
947,note_on,227,0,1,,,,,,,,,0,,,27,0
947,note_on,0,0,1,,,,,,,,,0,,,39,0
953,note_on,113,0,0,,,,,,,,,0,,,51,0
960,note_on,0,0,1,,,,,,,,,0,,,38,126
960,note_on,13,0,1,,,,,,,,,0,,,26,126
1080,note_on,127,0,0,,,,,,,,,0,,,50,126
1187,note_on,0,0,1,,,,,,,,,0,,,38,0
1187,note_on,227,0,1,,,,,,,,,0,,,26,0
1193,note_on,113,0,0,,,,,,,,,0,,,50,0
1200,note_on,13,0,1,,,,,,,,,0,,,24,126
1200,note_on,0,0,1,,,,,,,,,0,,,36,126
1320,note_on,127,0,0,,,,,,,,,0,,,48,126
1427,note_on,227,0,1,,,,,,,,,0,,,24,0
1427,note_on,0,0,1,,,,,,,,,0,,,36,0
1433,note_on,113,0,0,,,,,,,,,0,,,48,0
1440,note_on,7,0,0,,,,,,,,,0,,,72,126
1440,note_on,0,0,0,,,,,,,,,0,,,75,126
1440,note_on,0,0,1,,,,,,,,,0,,,51,126
1440,note_on,0,0,1,,,,,,,,,0,,,55,126
1440,note_on,0,0,1,,,,,,,,,0,,,60,126
1440,note_on,0,0,0,,,,,,,,,0,,,84,126
1440,note_on,13,0,1,,,,,,,,,0,,,48,126
1518,note_on,0,0,0,,,,,,,,,0,,,75,0
1518,note_on,0,0,0,,,,,,,,,0,,,84,0
1518,note_on,0,0,1,,,,,,,,,0,,,55,0
1518,note_on,0,0,1,,,,,,,,,0,,,60,0
1518,note_on,78,0,0,,,,,,,,,0,,,72,0
1518,note_on,0,0,1,,,,,,,,,0,,,51,0
1518,note_on,78,0,1,,,,,,,,,0,,,48,0
1800,note_on,0,0,1,,,,,,,,,0,,,55,126
1800,note_on,0,0,1,,,,,,,,,0,,,60,126
1800,note_on,0,0,1,,,,,,,,,0,,,51,126
1800,note_on,282,0,1,,,,,,,,,0,,,48,126
1800,note_on,282,0,0,,,,,,,,,0,,,67,126
1800,note_on,0,0,0,,,,,,,,,0,,,75,126
1800,note_on,0,0,0,,,,,,,,,0,,,79,126
1800,note_on,0,0,0,,,,,,,,,0,,,72,126
1838,note_on,0,0,0,,,,,,,,,0,,,72,0
1838,note_on,38,0,0,,,,,,,,,0,,,67,0
1838,note_on,38,0,1,,,,,,,,,0,,,48,0
1838,note_on,0,0,1,,,,,,,,,0,,,51,0
1838,note_on,0,0,1,,,,,,,,,0,,,55,0
1838,note_on,0,0,1,,,,,,,,,0,,,60,0
1838,note_on,0,0,0,,,,,,,,,0,,,79,0
1838,note_on,0,0,0,,,,,,,,,0,,,75,0
1920,note_on,0,0,0,,,,,,,,,0,,,79,126
1920,note_on,0,0,0,,,,,,,,,0,,,75,126
1920,note_on,0,0,0,,,,,,,,,0,,,72,126
1920,note_on,82,0,1,,,,,,,,,0,,,48,126
1920,note_on,0,0,1,,,,,,,,,0,,,55,126
1920,note_on,0,0,1,,,,,,,,,0,,,51,126
1920,note_on,82,0,0,,,,,,,,,0,,,67,126
1920,note_on,0,0,1,,,,,,,,,0,,,60,126
1998,note_on,0,0,1,,,,,,,,,0,,,60,0
1998,note_on,0,0,0,,,,,,,,,0,,,79,0
1998,note_on,0,0,0,,,,,,,,,0,,,75,0
1998,note_on,0,0,1,,,,,,,,,0,,,55,0
1998,note_on,78,0,0,,,,,,,,,0,,,67,0
1998,note_on,0,0,0,,,,,,,,,0,,,72,0
1998,note_on,0,0,1,,,,,,,,,0,,,51,0
1998,note_on,78,0,1,,,,,,,,,0,,,48,0
2520,note_on,0,0,1,,,,,,,,,0,,,51,126
2520,note_on,0,0,1,,,,,,,,,0,,,55,126
2520,note_on,0,0,1,,,,,,,,,0,,,60,126
2520,note_on,522,0,0,,,,,,,,,0,,,63,126
2520,note_on,0,0,0,,,,,,,,,0,,,67,126
2520,note_on,0,0,0,,,,,,,,,0,,,75,126
2520,note_on,522,0,1,,,,,,,,,0,,,48,126
2558,note_on,0,0,0,,,,,,,,,0,,,67,0
2558,note_on,38,0,0,,,,,,,,,0,,,63,0
2558,note_on,0,0,1,,,,,,,,,0,,,60,0
2558,note_on,38,0,1,,,,,,,,,0,,,48,0
2558,note_on,0,0,0,,,,,,,,,0,,,75,0
2558,note_on,0,0,1,,,,,,,,,0,,,51,0
2558,note_on,0,0,1,,,,,,,,,0,,,55,0
2640,note_on,82,0,1,,,,,,,,,0,,,48,126
2640,note_on,82,0,0,,,,,,,,,0,,,63,126
2640,note_on,0,0,1,,,,,,,,,0,,,60,126
2640,note_on,0,0,0,,,,,,,,,0,,,67,126
2640,note_on,0,0,0,,,,,,,,,0,,,75,126
2640,note_on,0,0,1,,,,,,,,,0,,,55,126
2640,note_on,0,0,1,,,,,,,,,0,,,51,126
2718,note_on,78,0,0,,,,,,,,,0,,,63,0
2718,note_on,0,0,1,,,,,,,,,0,,,60,0
2718,note_on,0,0,1,,,,,,,,,0,,,55,0
2718,note_on,78,0,1,,,,,,,,,0,,,48,0
2718,note_on,0,0,1,,,,,,,,,0,,,51,0
2718,note_on,0,0,0,,,,,,,,,0,,,75,0
2718,note_on,0,0,0,,,,,,,,,0,,,67,0
3240,note_on,0,0,0,,,,,,,,,0,,,72,126
3240,note_on,522,0,1,,,,,,,,,0,,,48,126
3240,note_on,522,0,0,,,,,,,,,0,,,63,126
3240,note_on,0,0,1,,,,,,,,,0,,,51,126
3240,note_on,0,0,1,,,,,,,,,0,,,55,126
3240,note_on,0,0,1,,,,,,,,,0,,,60,126
3240,note_on,0,0,0,,,,,,,,,0,,,67,126
3278,note_on,0,0,1,,,,,,,,,0,,,60,0
3278,note_on,38,0,0,,,,,,,,,0,,,63,0
3278,note_on,0,0,1,,,,,,,,,0,,,55,0
