tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,control,value,channel,program,port,note,velocity
0,control_change,,,,,0,0,0,,,7,100,0,,,,
0,midi_port,,,,,0,1,1,,,,,,,0,,
0,midi_port,,,,,0,1,0,,,,,,,0,,
0,key_signature,,,,,0,1,1,Ab,,,,,,,,
0,key_signature,,,,,0,1,0,Ab,,,,,,,,
0,program_change,,,,,0,0,0,,,,,0,0,,,
0,set_tempo,,,,,0,1,0,,599999,,,,,,,
0,note_on,,,,,0,0,1,,,,,0,,,51,80
0,time_signature,7,8,24,8,0,1,0,,,,,,,,,
0,control_change,,,,,0,0,0,,,10,64,0,,,,
0,control_change,,,,,0,0,0,,,91,0,0,,,,
0,control_change,,,,,0,0,0,,,93,0,0,,,,
0,control_change,,,,,0,0,0,,,121,0,0,,,,
227,note_on,,,,,227,0,1,,,,,0,,,51,0
240,note_on,,,,,13,0,1,,,,,0,,,51,80
240,set_tempo,,,,,240,1,0,,1200000,,,,,,,
399,note_on,,,,,159,0,1,,,,,0,,,51,0
400,set_tempo,,,,,160,1,0,,461538,,,,,,,
400,note_on,,,,,1,0,1,,,,,0,,,53,80
559,note_on,,,,,159,0,1,,,,,0,,,53,0
560,note_on,,,,,1,0,1,,,,,0,,,51,80
711,note_on,,,,,151,0,1,,,,,0,,,51,0
720,note_on,,,,,9,0,1,,,,,0,,,50,80
947,note_on,,,,,227,0,1,,,,,0,,,50,0
960,note_on,,,,,13,0,1,,,,,0,,,51,80
1187,note_on,,,,,227,0,1,,,,,0,,,51,0
1200,note_on,,,,,13,0,1,,,,,0,,,55,80
1359,note_on,,,,,159,0,1,,,,,0,,,55,0
1360,note_on,,,,,1,0,1,,,,,0,,,58,80
1519,note_on,,,,,159,0,1,,,,,0,,,58,0
1520,note_on,,,,,1,0,1,,,,,0,,,61,80
1671,note_on,,,,,151,0,1,,,,,0,,,61,0
1680,note_on,,,,,9,0,1,,,,,0,,,65,96
1680,time_signature,6,4,24,8,1280,1,0,,,,,,,,,
1680,set_tempo,,,,,0,1,0,,750002,,,,,,,
2160,note_on,,,,,480,0,1,,,,,0,,,51,80
2223,note_on,,,,,63,0,1,,,,,0,,,55,80
2287,note_on,,,,,64,0,1,,,,,0,,,61,80
2398,note_on,,,,,111,0,1,,,,,0,,,55,0
2398,note_on,,,,,0,0,1,,,,,0,,,61,0
2399,note_on,,,,,0,0,1,,,,,0,,,51,0
2399,note_on,,,,,1,0,1,,,,,0,,,65,0
2400,note_on,,,,,1,0,1,,,,,0,,,63,80
2639,note_on,,,,,239,0,1,,,,,0,,,63,0
2640,note_on,,,,,1,0,1,,,,,0,,,57,80
2879,note_on,,,,,239,0,1,,,,,0,,,57,0
2880,note_on,,,,,1,0,1,,,,,0,,,58,80
3107,note_on,,,,,227,0,1,,,,,0,,,58,0
3120,note_on,,,,,13,0,1,,,,,0,,,61,96
3600,note_on,,,,,480,0,1,,,,,0,,,51,80
3663,note_on,,,,,63,0,1,,,,,0,,,57,80
3838,note_on,,,,,175,0,1,,,,,0,,,57,0
3839,note_on,,,,,1,0,1,,,,,0,,,61,0
3839,note_on,,,,,0,0,1,,,,,0,,,51,0
3840,note_on,,,,,1,0,1,,,,,0,,,60,80
4079,note_on,,,,,239,0,1,,,,,0,,,60,0
4080,note_on,,,,,1,0,1,,,,,0,,,52,80
4319,note_on,,,,,239,0,1,,,,,0,,,52,0
4320,note_on,,,,,1,0,1,,,,,0,,,53,80
4547,note_on,,,,,227,0,1,,,,,0,,,53,0
4560,note_on,,,,,13,0,1,,,,,0,,,56,80
4560,set_tempo,,,,,2880,1,0,,857140,,,,,,,
5040,note_on,,,,,480,0,1,,,,,0,,,47,80
5103,note_on,,,,,63,0,1,,,,,0,,,50,80
5167,note_on,,,,,64,0,1,,,,,0,,,53,80
5278,note_on,,,,,111,0,1,,,,,0,,,50,0
5278,note_on,,,,,0,0,1,,,,,0,,,53,0
5279,note_on,,,,,1,0,1,,,,,0,,,47,0
5520,note_on,,,,,241,0,1,,,,,0,,,46,80
5583,note_on,,,,,63,0,1,,,,,0,,,49,80
5647,note_on,,,,,64,0,1,,,,,0,,,52,80
5758,note_on,,,,,111,0,1,,,,,0,,,49,0
5758,note_on,,,,,0,0,1,,,,,0,,,52,0
5759,note_on,,,,,1,0,1,,,,,0,,,46,0
5813,note_on,,,,,54,0,1,,,,,0,,,56,0
5880,note_on,,,,,67,0,1,,,,,0,,,55,80
5993,note_on,,,,,113,0,1,,,,,0,,,55,0
6000,note_on,,,,,7,0,1,,,,,0,,,58,80
6000,note_on,,,,,0,0,1,,,,,0,,,43,80
6063,note_on,,,,,63,0,1,,,,,0,,,49,80
6127,note_on,,,,,64,0,1,,,,,0,,,52,80
6238,note_on,,,,,0,0,1,,,,,0,,,52,0
6238,note_on,,,,,111,0,1,,,,,0,,,49,0
6239,note_on,,,,,1,0,1,,,,,0,,,43,0
7367,note_on,,,,,1128,0,1,,,,,0,,,58,0
7440,note_on,,,,,73,0,1,,,,,0,,,58,80
7440,set_tempo,,,,,2880,1,0,,750002,,,,,,,
7442,control_change,,,,,2,0,1,,,64,127,0,,,,
7920,note_on,,,,,478,0,1,,,,,0,,,42,80
