tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,control_change,0,0,1,,,,,,,,0,7,127,,
0,track_name,0,1,2,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,
0,time_signature,0,1,0,2,4,24,8,,,,,,,,
0,set_tempo,0,1,0,,,,,,571646,,,,,,
0,program_change,0,0,4,,,,,,,0,0,,,,
0,program_change,0,0,3,,,,,,,0,0,,,,
0,program_change,0,0,2,,,,,,,0,0,,,,
0,program_change,0,0,1,,,,,,,0,0,,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,0,7,127,,
0,control_change,0,0,1,,,,,,,,0,10,63,,
0,control_change,0,0,2,,,,,,,,0,7,127,,
0,control_change,0,0,2,,,,,,,,0,10,63,,
0,control_change,0,0,3,,,,,,,,0,10,63,,
0,control_change,0,0,4,,,,,,,,0,7,127,,
0,control_change,0,0,4,,,,,,,,0,10,63,,
4,set_tempo,4,1,0,,,,,,575705,,,,,,
95,control_change,95,0,4,,,,,,,,0,64,127,,
120,note_on,120,0,1,,,,,,,,0,,,68,64
120,note_on,0,0,1,,,,,,,,0,,,77,64
120,note_on,0,0,1,,,,,,,,0,,,72,64
152,note_on,0,0,1,,,,,,,,0,,,77,0
152,note_on,0,0,1,,,,,,,,0,,,68,0
152,note_on,32,0,1,,,,,,,,0,,,72,0
160,note_on,0,0,1,,,,,,,,0,,,70,64
160,note_on,0,0,1,,,,,,,,0,,,79,64
160,note_on,8,0,1,,,,,,,,0,,,73,64
192,note_on,0,0,1,,,,,,,,0,,,73,0
192,note_on,32,0,1,,,,,,,,0,,,79,0
192,note_on,0,0,1,,,,,,,,0,,,70,0
200,note_on,8,0,1,,,,,,,,0,,,72,64
200,note_on,0,0,1,,,,,,,,0,,,77,64
200,note_on,0,0,1,,,,,,,,0,,,68,64
232,note_on,0,0,1,,,,,,,,0,,,68,0
232,note_on,32,0,1,,,,,,,,0,,,77,0
232,note_on,0,0,1,,,,,,,,0,,,72,0
240,note_on,0,0,1,,,,,,,,0,,,75,64
240,note_on,0,0,1,,,,,,,,0,,,70,64
240,note_on,8,0,1,,,,,,,,0,,,67,64
254,set_tempo,250,1,0,,,,,,571646,,,,,,
258,set_tempo,4,1,0,,,,,,575705,,,,,,
272,note_on,0,0,1,,,,,,,,0,,,67,0
272,note_on,0,0,1,,,,,,,,0,,,70,0
272,note_on,32,0,1,,,,,,,,0,,,75,0
280,note_on,0,0,1,,,,,,,,0,,,72,64
280,note_on,0,0,1,,,,,,,,0,,,77,64
280,note_on,8,0,1,,,,,,,,0,,,68,64
312,note_on,0,0,1,,,,,,,,0,,,68,0
312,note_on,0,0,1,,,,,,,,0,,,72,0
312,note_on,32,0,1,,,,,,,,0,,,77,0
320,note_on,0,0,1,,,,,,,,0,,,70,64
320,note_on,0,0,1,,,,,,,,0,,,75,64
320,note_on,8,0,1,,,,,,,,0,,,67,64
