tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,port,note,velocity
0,control_change,0,0,0,,,,,,,7,100,0,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,,
0,set_tempo,0,1,0,,,,,,600000,,,,,,,
0,program_change,0,0,0,,,,,,,,,0,0,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,note_on,0,0,1,,,,,,,,,0,,,51,49
0,midi_port,0,1,1,,,,,,,,,,,0,,
0,midi_port,0,1,0,,,,,,,,,,,0,,
0,key_signature,0,1,1,,,,,Ab,,,,,,,,
0,key_signature,0,1,0,,,,,Ab,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,control_change,0,0,0,,,,,,,121,0,0,,,,
0,control_change,0,0,0,,,,,,,10,64,0,,,,
0,control_change,0,0,0,,,,,,,93,0,0,,,,
0,control_change,0,0,0,,,,,,,91,0,0,,,,
227,note_on,227,0,1,,,,,,,,,0,,,51,0
240,note_on,13,0,1,,,,,,,,,0,,,51,49
391,note_on,151,0,1,,,,,,,,,0,,,51,0
400,note_on,9,0,1,,,,,,,,,0,,,53,49
551,note_on,151,0,1,,,,,,,,,0,,,53,0
560,note_on,9,0,1,,,,,,,,,0,,,51,49
711,note_on,151,0,1,,,,,,,,,0,,,51,0
720,note_on,9,0,1,,,,,,,,,0,,,50,49
947,note_on,227,0,1,,,,,,,,,0,,,50,0
960,note_on,13,0,1,,,,,,,,,0,,,51,49
1187,note_on,227,0,1,,,,,,,,,0,,,51,0
1200,note_on,13,0,1,,,,,,,,,0,,,55,49
1439,note_on,239,0,1,,,,,,,,,0,,,55,0
1440,note_on,1,0,1,,,,,,,,,0,,,58,49
1679,note_on,239,0,1,,,,,,,,,0,,,58,0
1680,note_on,1,0,1,,,,,,,,,0,,,61,49
1907,note_on,227,0,1,,,,,,,,,0,,,61,0
1920,time_signature,1920,1,0,6,4,24,8,,,,,,,,,
1920,note_on,0,0,0,,,,,,,,,0,,,65,73
1922,control_change,15,0,1,,,,,,,64,127,0,,,,
2400,note_on,0,0,1,,,,,,,,,0,,,61,49
2400,note_on,0,0,1,,,,,,,,,0,,,55,49
2400,note_on,478,0,1,,,,,,,,,0,,,51,49
2478,note_on,78,0,1,,,,,,,,,0,,,51,0
2478,note_on,0,0,1,,,,,,,,,0,,,55,0
2478,note_on,0,0,1,,,,,,,,,0,,,61,0
2639,note_on,719,0,0,,,,,,,,,0,,,65,0
2640,note_on,1,0,0,,,,,,,,,0,,,63,49
2879,note_on,239,0,0,,,,,,,,,0,,,63,0
2880,note_on,1,0,0,,,,,,,,,0,,,57,49
2881,control_change,403,0,1,,,,,,,64,0,0,,,,
3119,note_on,239,0,0,,,,,,,,,0,,,57,0
3120,note_on,1,0,0,,,,,,,,,0,,,58,49
3347,note_on,227,0,0,,,,,,,,,0,,,58,0
3360,note_on,13,0,0,,,,,,,,,0,,,61,73
3362,control_change,2,0,0,,,,,,,64,127,0,,,,
3840,note_on,959,0,1,,,,,,,,,0,,,51,49
3840,note_on,0,0,1,,,,,,,,,0,,,56,49
4067,note_on,227,0,1,,,,,,,,,0,,,51,0
4067,note_on,0,0,1,,,,,,,,,0,,,56,0
4079,note_on,717,0,0,,,,,,,,,0,,,61,0
4080,note_on,1,0,0,,,,,,,,,0,,,60,49
4307,note_on,227,0,0,,,,,,,,,0,,,60,0
4320,note_on,13,0,0,,,,,,,,,0,,,52,49
4321,control_change,1,0,0,,,,,,,64,0,0,,,,
4547,note_on,226,0,0,,,,,,,,,0,,,52,0
4560,note_on,13,0,0,,,,,,,,,0,,,53,49
4787,note_on,227,0,0,,,,,,,,,0,,,53,0
4800,note_on,0,0,0,,,,,,,,,0,,,56,49
4800,set_tempo,13,1,0,,,,,,631579,,,,,,,
4802,control_change,735,0,1,,,,,,,64,127,0,,,,
5280,note_on,0,0,1,,,,,,,,,0,,,50,49
5280,note_on,0,0,1,,,,,,,,,0,,,53,49
5280,note_on,478,0,1,,,,,,,,,0,,,47,49
