tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,control_change,0,0,1,,,,,,,,0,7,127,,
0,track_name,0,1,2,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,
0,set_tempo,0,1,0,,,,,,969305,,,,,,
0,program_change,0,0,4,,,,,,,0,0,,,,
0,program_change,0,0,3,,,,,,,0,0,,,,
0,program_change,0,0,2,,,,,,,0,0,,,,
0,program_change,0,0,1,,,,,,,0,0,,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,0,10,64,,
0,control_change,0,0,2,,,,,,,,0,7,127,,
0,control_change,0,0,3,,,,,,,,0,10,64,,
0,control_change,0,0,3,,,,,,,,0,7,127,,
0,control_change,0,0,2,,,,,,,,0,10,64,,
0,control_change,0,0,4,,,,,,,,0,7,127,,
0,control_change,0,0,4,,,,,,,,0,10,64,,
240,note_on,240,0,4,,,,,,,,0,,,32,80
240,note_on,0,0,4,,,,,,,,0,,,44,80
254,control_change,14,0,4,,,,,,,,0,64,127,,
432,note_on,0,0,4,,,,,,,,0,,,32,0
432,note_on,178,0,4,,,,,,,,0,,,44,0
480,note_on,0,0,4,,,,,,,,0,,,32,80
480,note_on,48,0,4,,,,,,,,0,,,44,80
672,note_on,0,0,4,,,,,,,,0,,,44,0
672,note_on,192,0,4,,,,,,,,0,,,32,0
720,note_on,48,0,4,,,,,,,,0,,,32,80
720,note_on,0,0,4,,,,,,,,0,,,44,80
912,note_on,0,0,4,,,,,,,,0,,,32,0
912,note_on,192,0,4,,,,,,,,0,,,44,0
930,note_on,930,0,3,,,,,,,,0,,,32,80
960,set_tempo,0,1,0,,,,,,954047,,,,,,
960,note_on,30,0,3,,,,,,,,0,,,44,80
960,control_change,48,0,4,,,,,,,,0,64,0,,
960,time_signature,960,1,0,9,8,12,8,,,,,,,,
1000,control_change,40,0,4,,,,,,,,0,64,127,,
1200,note_on,0,0,2,,,,,,,,0,,,64,80
1200,note_on,1200,0,2,,,,,,,,0,,,59,80
1200,note_on,0,0,2,,,,,,,,0,,,56,80
1296,note_on,0,0,2,,,,,,,,0,,,64,0
1296,note_on,0,0,2,,,,,,,,0,,,59,0
1296,note_on,96,0,2,,,,,,,,0,,,56,0
1320,note_on,0,0,2,,,,,,,,0,,,61,80
1320,note_on,24,0,2,,,,,,,,0,,,57,80
1416,note_on,0,0,2,,,,,,,,0,,,57,0
1416,note_on,96,0,2,,,,,,,,0,,,61,0
1440,note_on,0,0,2,,,,,,,,0,,,52,80
1440,note_on,0,0,2,,,,,,,,0,,,59,80
1440,note_on,24,0,2,,,,,,,,0,,,56,80
1480,control_change,480,0,4,,,,,,,,0,64,0,,
1525,control_change,45,0,4,,,,,,,,0,64,127,,
1536,note_on,0,0,2,,,,,,,,0,,,52,0
1536,note_on,0,0,2,,,,,,,,0,,,56,0
