tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,note,velocity,control,value
0,track_name,0,1,4,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,
0,control_change,0,0,4,,,,,,,,0,,,7,127
0,control_change,0,0,4,,,,,,,,0,,,10,64
0,program_change,0,0,1,,,,,,,0,0,,,,
0,program_change,0,0,2,,,,,,,0,0,,,,
0,program_change,0,0,3,,,,,,,0,0,,,,
0,program_change,0,0,4,,,,,,,0,0,,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,681818,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,time_signature,0,1,0,6,4,24,8,,,,,,,,
240,note_on,0,0,4,,,,,,,,0,49,80,,
240,note_on,240,0,4,,,,,,,,0,37,80,,
432,note_on,0,0,4,,,,,,,,0,37,0,,
432,note_on,192,0,4,,,,,,,,0,49,0,,
480,note_on,48,0,4,,,,,,,,0,36,80,,
480,note_on,0,0,4,,,,,,,,0,48,80,,
672,note_on,192,0,4,,,,,,,,0,48,0,,
672,note_on,0,0,4,,,,,,,,0,36,0,,
713,control_change,41,0,4,,,,,,,,0,,,64,127
720,note_on,7,0,4,,,,,,,,0,34,80,,
720,note_on,0,0,4,,,,,,,,0,46,80,,
912,note_on,0,0,4,,,,,,,,0,34,0,,
912,note_on,192,0,4,,,,,,,,0,46,0,,
960,note_on,0,0,4,,,,,,,,0,33,80,,
960,note_on,48,0,4,,,,,,,,0,45,80,,
1152,note_on,192,0,4,,,,,,,,0,33,0,,
1152,note_on,0,0,4,,,,,,,,0,45,0,,
1200,note_on,0,0,4,,,,,,,,0,46,80,,
1200,note_on,48,0,4,,,,,,,,0,34,80,,
1392,note_on,192,0,4,,,,,,,,0,46,0,,
1392,note_on,0,0,4,,,,,,,,0,34,0,,
1405,control_change,13,0,4,,,,,,,,0,,,64,0
1410,note_on,1410,0,3,,,,,,,,0,40,80,,
1426,control_change,21,0,4,,,,,,,,0,,,64,127
1440,note_on,14,0,4,,,,,,,,0,52,80,,
2016,note_on,606,0,3,,,,,,,,0,40,0,,
2160,note_on,144,0,3,,,,,,,,0,58,80,,
2160,note_on,0,0,3,,,,,,,,0,61,80,,
2160,note_on,2160,0,2,,,,,,,,0,67,80,,
2736,note_on,0,0,3,,,,,,,,0,58,0,,
2736,note_on,576,0,3,,,,,,,,0,61,0,,
2736,note_on,576,0,2,,,,,,,,0,67,0,,
2880,note_on,0,0,3,,,,,,,,0,62,80,,
2880,note_on,144,0,2,,,,,,,,0,68,80,,
2880,note_on,144,0,3,,,,,,,,0,59,80,,
3264,note_on,384,0,2,,,,,,,,0,68,0,,
3360,note_on,96,0,2,,,,,,,,0,69,80,,
3408,note_on,48,0,2,,,,,,,,0,69,0,,
3420,note_on,12,0,2,,,,,,,,0,68,80,,
3468,note_on,48,0,2,,,,,,,,0,68,0,,
3480,note_on,12,0,2,,,,,,,,0,67,80,,
3528,note_on,48,0,2,,,,,,,,0,67,0,,
3540,note_on,12,0,2,,,,,,,,0,68,80,,
3564,note_on,24,0,2,,,,,,,,0,68,0,,
3570,note_on,6,0,2,,,,,,,,0,68,80,,
3575,control_change,2135,0,4,,,,,,,,0,,,64,0
3598,control_change,23,0,4,,,,,,,,0,,,64,127
3600,note_on,30,0,2,,,,,,,,0,78,80,,
3984,note_on,384,0,2,,,,,,,,0,78,0,,
3984,note_on,0,0,2,,,,,,,,0,68,0,,
3984,note_on,0,0,3,,,,,,,,0,59,0,,
3984,note_on,1104,0,3,,,,,,,,0,62,0,,
4080,note_on,0,0,2,,,,,,,,0,78,80,,
4080,note_on,96,0,2,,,,,,,,0,69,80,,
4080,note_on,96,0,3,,,,,,,,0,63,80,,
4080,note_on,0,0,3,,,,,,,,0,60,80,,
4248,note_on,650,0,4,,,,,,,,0,52,0,,
4248,note_on,168,0,2,,,,,,,,0,69,0,,
