tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,control_change,0,0,1,,,,,,,,0,7,127,,
0,track_name,0,1,2,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,
0,time_signature,0,1,0,2,4,24,8,,,,,,,,
0,set_tempo,0,1,0,,,,,,750000,,,,,,
0,program_change,0,0,4,,,,,,,0,0,,,,
0,program_change,0,0,3,,,,,,,0,0,,,,
0,program_change,0,0,2,,,,,,,0,0,,,,
0,program_change,0,0,1,,,,,,,0,0,,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,0,10,63,,
0,control_change,0,0,1,,,,,,,,0,10,63,,
0,control_change,0,0,4,,,,,,,,0,10,63,,
0,control_change,0,0,2,,,,,,,,0,7,127,,
0,control_change,0,0,3,,,,,,,,0,7,127,,
0,control_change,0,0,4,,,,,,,,0,7,127,,
0,control_change,0,0,2,,,,,,,,0,10,63,,
120,note_on,120,0,1,,,,,,,,0,,,65,68
144,note_on,24,0,1,,,,,,,,0,,,65,0
150,note_on,6,0,1,,,,,,,,0,,,66,68
174,note_on,24,0,1,,,,,,,,0,,,66,0
180,note_on,6,0,1,,,,,,,,0,,,65,68
204,note_on,24,0,1,,,,,,,,0,,,65,0
210,note_on,6,0,1,,,,,,,,0,,,67,68
234,note_on,24,0,1,,,,,,,,0,,,67,0
240,note_on,6,0,1,,,,,,,,0,,,68,68
244,control_change,244,0,4,,,,,,,,0,64,127,,
264,note_on,24,0,1,,,,,,,,0,,,68,0
270,note_on,6,0,1,,,,,,,,0,,,69,68
294,note_on,24,0,1,,,,,,,,0,,,69,0
300,note_on,6,0,1,,,,,,,,0,,,68,68
324,note_on,24,0,1,,,,,,,,0,,,68,0
330,note_on,6,0,1,,,,,,,,0,,,70,68
354,note_on,24,0,1,,,,,,,,0,,,70,0
360,note_on,6,0,1,,,,,,,,0,,,71,68
384,note_on,24,0,1,,,,,,,,0,,,71,0
390,note_on,6,0,1,,,,,,,,0,,,72,68
414,note_on,24,0,1,,,,,,,,0,,,72,0
420,note_on,6,0,1,,,,,,,,0,,,71,68
444,note_on,24,0,1,,,,,,,,0,,,71,0
450,note_on,6,0,1,,,,,,,,0,,,73,68
474,note_on,24,0,1,,,,,,,,0,,,73,0
480,note_on,6,0,1,,,,,,,,0,,,74,68
504,note_on,24,0,1,,,,,,,,0,,,74,0
510,note_on,6,0,1,,,,,,,,0,,,75,68
534,note_on,24,0,1,,,,,,,,0,,,75,0
540,note_on,6,0,1,,,,,,,,0,,,74,68
564,note_on,24,0,1,,,,,,,,0,,,74,0
570,note_on,6,0,1,,,,,,,,0,,,76,68
594,note_on,24,0,1,,,,,,,,0,,,76,0
600,note_on,6,0,1,,,,,,,,0,,,77,68
624,note_on,24,0,1,,,,,,,,0,,,77,0
630,note_on,6,0,1,,,,,,,,0,,,78,68
654,note_on,24,0,1,,,,,,,,0,,,78,0
