tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,control_change,0,0,1,,,,,,,,0,7,127,,
0,track_name,0,1,2,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,
0,set_tempo,0,1,0,,,,,,388249,,,,,,
0,program_change,0,0,4,,,,,,,0,0,,,,
0,program_change,0,0,3,,,,,,,0,0,,,,
0,program_change,0,0,2,,,,,,,0,0,,,,
0,program_change,0,0,1,,,,,,,0,0,,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,0,7,127,,
0,control_change,0,0,4,,,,,,,,0,7,127,,
0,control_change,0,0,3,,,,,,,,0,10,64,,
0,control_change,0,0,2,,,,,,,,0,10,64,,
0,control_change,0,0,4,,,,,,,,0,10,64,,
0,control_change,0,0,2,,,,,,,,0,7,127,,
0,control_change,0,0,1,,,,,,,,0,10,64,,
240,note_on,240,0,2,,,,,,,,0,,,76,80
240,note_on,240,0,1,,,,,,,,0,,,82,80
240,note_on,0,0,1,,,,,,,,0,,,85,80
240,note_on,0,0,1,,,,,,,,0,,,94,80
240,note_on,0,0,2,,,,,,,,0,,,79,80
240,note_on,0,0,2,,,,,,,,0,,,67,80
336,note_on,96,0,1,,,,,,,,0,,,85,0
336,note_on,96,0,2,,,,,,,,0,,,67,0
336,note_on,0,0,2,,,,,,,,0,,,76,0
336,note_on,0,0,1,,,,,,,,0,,,82,0
336,note_on,0,0,1,,,,,,,,0,,,94,0
336,note_on,0,0,2,,,,,,,,0,,,79,0
720,note_on,0,0,1,,,,,,,,0,,,77,80
720,note_on,0,0,1,,,,,,,,0,,,80,80
720,note_on,384,0,1,,,,,,,,0,,,89,80
720,note_on,384,0,2,,,,,,,,0,,,71,80
720,note_on,0,0,2,,,,,,,,0,,,62,80
720,note_on,0,0,2,,,,,,,,0,,,74,80
816,note_on,0,0,2,,,,,,,,0,,,74,0
816,note_on,0,0,1,,,,,,,,0,,,89,0
816,note_on,96,0,1,,,,,,,,0,,,77,0
816,note_on,0,0,1,,,,,,,,0,,,80,0
816,note_on,96,0,2,,,,,,,,0,,,62,0
816,note_on,0,0,2,,,,,,,,0,,,71,0
1200,note_on,0,0,1,,,,,,,,0,,,84,80
1200,note_on,0,0,1,,,,,,,,0,,,75,80
1200,note_on,0,0,2,,,,,,,,0,,,69,80
1200,note_on,0,0,2,,,,,,,,0,,,57,80
1200,note_on,384,0,2,,,,,,,,0,,,66,80
1200,note_on,384,0,1,,,,,,,,0,,,72,80
1296,note_on,0,0,2,,,,,,,,0,,,57,0
1296,note_on,96,0,2,,,,,,,,0,,,69,0
1296,note_on,0,0,2,,,,,,,,0,,,66,0
1296,note_on,0,0,1,,,,,,,,0,,,72,0
1296,note_on,0,0,1,,,,,,,,0,,,75,0
1296,note_on,96,0,1,,,,,,,,0,,,84,0
1440,note_on,0,0,3,,,,,,,,0,,,61,80
