tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,marker,0,1,0,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,note_on,0,0,1,,,,,,,,,0,,,63,100
0,track_name,0,1,6,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,key_signature,0,1,0,,,,,Eb,,,,,,,,
0,program_change,0,0,2,,,,,,,,0,0,,,,
0,program_change,0,0,4,,,,,,,,0,0,,,,
0,program_change,0,0,5,,,,,,,,0,0,,,,
0,set_tempo,0,1,0,,,,,,750000,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,33,32,3,8,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,,0,0,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,10,64,,
0,control_change,0,0,2,,,,,,,,,0,7,127,,
0,control_change,0,0,5,,,,,,,,,0,10,64,,
0,end_of_track,0,1,6,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,0,10,64,,
0,control_change,0,0,3,,,,,,,,,0,7,127,,
0,control_change,0,0,3,,,,,,,,,0,10,64,,
0,control_change,0,0,4,,,,,,,,,0,7,127,,
0,control_change,0,0,5,,,,,,,,,0,7,127,,
0,control_change,0,0,4,,,,,,,,,0,10,64,,
15,note_on,15,0,1,,,,,,,,,0,,,63,0
15,note_on,0,0,1,,,,,,,,,0,,,63,100
480,note_on,0,0,1,,,,,,,,,0,,,68,100
480,note_on,0,0,1,,,,,,,,,0,,,66,100
480,note_on,0,0,1,,,,,,,,,0,,,60,100
480,note_on,465,0,1,,,,,,,,,0,,,63,0
480,note_on,480,0,4,,,,,,,,,0,,,63,100
495,note_on,0,0,1,,,,,,,,,0,,,68,100
495,note_on,0,0,4,,,,,,,,,0,,,63,100
495,time_signature,495,1,0,4,4,24,8,,,,,,,,,
495,note_on,0,0,1,,,,,,,,,0,,,68,0
495,note_on,15,0,4,,,,,,,,,0,,,63,0
495,note_on,0,0,1,,,,,,,,,0,,,66,0
495,note_on,0,0,1,,,,,,,,,0,,,60,100
495,note_on,15,0,1,,,,,,,,,0,,,60,0
495,note_on,0,0,1,,,,,,,,,0,,,66,100
960,note_on,0,0,1,,,,,,,,,0,,,59,100
960,note_on,0,0,1,,,,,,,,,0,,,66,100
960,note_on,0,0,1,,,,,,,,,0,,,68,0
960,note_on,0,0,1,,,,,,,,,0,,,69,100
960,note_on,465,0,1,,,,,,,,,0,,,60,0
960,note_on,465,0,4,,,,,,,,,0,,,63,0
960,note_on,0,0,1,,,,,,,,,0,,,66,0
975,note_on,15,0,4,,,,,,,,,0,,,63,100
975,note_on,15,0,1,,,,,,,,,0,,,59,0
975,note_on,0,0,1,,,,,,,,,0,,,59,100
975,note_on,0,0,1,,,,,,,,,0,,,69,100
975,note_on,0,0,1,,,,,,,,,0,,,69,0
975,note_on,0,0,1,,,,,,,,,0,,,66,100
975,note_on,0,0,1,,,,,,,,,0,,,66,0
1095,note_on,0,0,1,,,,,,,,,0,,,66,0
1095,note_on,120,0,4,,,,,,,,,0,,,63,0
1095,note_on,120,0,1,,,,,,,,,0,,,59,0
1095,note_on,0,0,4,,,,,,,,,0,,,63,100
1095,note_on,0,0,1,,,,,,,,,0,,,69,100
1095,note_on,0,0,1,,,,,,,,,0,,,69,0
1095,note_on,0,0,1,,,,,,,,,0,,,66,100
1095,note_on,0,0,1,,,,,,,,,0,,,59,100
1215,note_on,0,0,4,,,,,,,,,0,,,62,100
1215,note_on,120,0,4,,,,,,,,,0,,,63,0
1215,note_on,0,0,4,,,,,,,,,0,,,53,100
1215,note_on,0,0,1,,,,,,,,,0,,,59,0
1215,note_on,0,0,1,,,,,,,,,0,,,65,100
1215,note_on,0,0,1,,,,,,,,,0,,,66,0
1215,note_on,0,0,1,,,,,,,,,0,,,69,100
1215,note_on,120,0,1,,,,,,,,,0,,,69,0
1335,note_on,0,0,4,,,,,,,,,0,,,53,0
1335,note_on,0,0,1,,,,,,,,,0,,,63,100
1335,note_on,0,0,1,,,,,,,,,0,,,69,0
1335,note_on,0,0,4,,,,,,,,,0,,,53,100
1335,note_on,0,0,1,,,,,,,,,0,,,69,100
1335,note_on,0,0,4,,,,,,,,,0,,,60,100
1335,note_on,120,0,4,,,,,,,,,0,,,62,0
1335,note_on,120,0,1,,,,,,,,,0,,,65,0
1455,note_on,120,0,4,,,,,,,,,0,,,60,0
1455,note_on,120,0,1,,,,,,,,,0,,,69,0
1455,time_signature,960,1,0,23,8,12,8,,,,,,,,,
1455,note_on,0,0,4,,,,,,,,,0,,,46,100
1455,note_on,0,0,4,,,,,,,,,0,,,53,0
1455,note_on,0,0,1,,,,,,,,,0,,,63,0
1465,note_on,10,0,4,,,,,,,,,0,,,53,100
1475,note_on,10,0,4,,,,,,,,,0,,,58,100
1485,note_on,30,0,1,,,,,,,,,0,,,62,100
1495,note_on,10,0,1,,,,,,,,,0,,,65,100
1505,note_on,10,0,1,,,,,,,,,0,,,70,100
1515,set_tempo,60,1,0,,,,,,1153846,,,,,,,
1695,note_on,220,0,4,,,,,,,,,0,,,58,0
1695,note_on,190,0,1,,,,,,,,,0,,,70,0
1695,note_on,0,0,4,,,,,,,,,0,,,53,0
1695,note_on,0,0,4,,,,,,,,,0,,,46,0
1695,note_on,0,0,1,,,,,,,,,0,,,70,100
1695,control_change,1695,0,5,,,,,,,,,0,64,127,,
1695,note_on,0,0,1,,,,,,,,,0,,,62,0
1695,note_on,0,0,1,,,,,,,,,0,,,65,0
1695,note_on,0,0,1,,,,,,,,,0,,,65,100
1695,set_tempo,180,1,0,,,,,,750000,,,,,,,
1695,note_on,0,0,1,,,,,,,,,0,,,74,100
1703,note_on,8,0,1,,,,,,,,,0,,,70,0
1703,note_on,0,0,1,,,,,,,,,0,,,65,0
1703,note_on,0,0,1,,,,,,,,,0,,,74,0
1710,note_on,0,0,1,,,,,,,,,0,,,65,101
1710,note_on,7,0,1,,,,,,,,,0,,,62,101
1718,note_on,8,0,1,,,,,,,,,0,,,65,0
1718,note_on,0,0,1,,,,,,,,,0,,,62,0
1725,note_on,0,0,1,,,,,,,,,0,,,70,102
1725,note_on,0,0,1,,,,,,,,,0,,,74,102
1725,note_on,7,0,1,,,,,,,,,0,,,77,102
1733,note_on,8,0,1,,,,,,,,,0,,,70,0
1733,note_on,0,0,1,,,,,,,,,0,,,77,0
1733,note_on,0,0,1,,,,,,,,,0,,,74,0
1740,note_on,0,0,1,,,,,,,,,0,,,70,104
1740,note_on,7,0,1,,,,,,,,,0,,,65,104
1748,note_on,0,0,1,,,,,,,,,0,,,65,0
1748,note_on,8,0,1,,,,,,,,,0,,,70,0
1755,note_on,0,0,1,,,,,,,,,0,,,74,105
1755,note_on,0,0,1,,,,,,,,,0,,,77,105
1755,note_on,7,0,1,,,,,,,,,0,,,82,105
1763,note_on,8,0,1,,,,,,,,,0,,,74,0
1763,note_on,0,0,1,,,,,,,,,0,,,77,0
1763,note_on,0,0,1,,,,,,,,,0,,,82,0
1770,note_on,0,0,1,,,,,,,,,0,,,74,107
1770,note_on,7,0,1,,,,,,,,,0,,,70,107
1778,note_on,8,0,1,,,,,,,,,0,,,74,0
1778,note_on,0,0,1,,,,,,,,,0,,,70,0
1785,note_on,0,0,1,,,,,,,,,0,,,77,108
1785,note_on,0,0,1,,,,,,,,,0,,,82,108
1785,note_on,7,0,1,,,,,,,,,0,,,86,108
1793,note_on,8,0,1,,,,,,,,,0,,,77,0
1793,note_on,0,0,1,,,,,,,,,0,,,82,0
1793,note_on,0,0,1,,,,,,,,,0,,,86,0
1800,note_on,7,0,1,,,,,,,,,0,,,74,110
1800,note_on,0,0,1,,,,,,,,,0,,,77,110
1808,note_on,8,0,1,,,,,,,,,0,,,77,0
1808,note_on,0,0,1,,,,,,,,,0,,,74,0
1815,note_on,7,0,1,,,,,,,,,0,,,89,111
1815,note_on,0,0,1,,,,,,,,,0,,,86,111
1815,note_on,0,0,1,,,,,,,,,0,,,82,111
1823,note_on,0,0,1,,,,,,,,,0,,,89,0
1823,note_on,0,0,1,,,,,,,,,0,,,86,0
1823,note_on,8,0,1,,,,,,,,,0,,,82,0
1830,note_on,0,0,1,,,,,,,,,0,,,82,113
1830,note_on,7,0,1,,,,,,,,,0,,,77,113
1838,note_on,8,0,1,,,,,,,,,0,,,82,0
1838,note_on,0,0,1,,,,,,,,,0,,,77,0
1845,note_on,7,0,1,,,,,,,,,0,,,86,114
1845,note_on,0,0,1,,,,,,,,,0,,,89,114
1845,note_on,0,0,1,,,,,,,,,0,,,94,114
1853,note_on,0,0,1,,,,,,,,,0,,,89,0
1853,note_on,0,0,1,,,,,,,,,0,,,86,0
1853,note_on,8,0,1,,,,,,,,,0,,,94,0
1860,note_on,7,0,1,,,,,,,,,0,,,82,116
1860,note_on,0,0,1,,,,,,,,,0,,,86,116
1868,note_on,8,0,1,,,,,,,,,0,,,86,0
1868,note_on,0,0,1,,,,,,,,,0,,,82,0
1875,note_on,7,0,1,,,,,,,,,0,,,98,117
1875,note_on,0,0,1,,,,,,,,,0,,,89,117
1875,note_on,0,0,1,,,,,,,,,0,,,94,117
1883,note_on,8,0,1,,,,,,,,,0,,,89,0
1883,note_on,0,0,1,,,,,,,,,0,,,98,0
1883,note_on,0,0,1,,,,,,,,,0,,,94,0
1890,note_on,7,0,1,,,,,,,,,0,,,86,119
1890,note_on,0,0,1,,,,,,,,,0,,,89,119
1898,note_on,0,0,1,,,,,,,,,0,,,86,0
1898,note_on,8,0,1,,,,,,,,,0,,,89,0
1905,note_on,7,0,1,,,,,,,,,0,,,101,120
1905,note_on,0,0,1,,,,,,,,,0,,,94,120
1905,note_on,0,0,1,,,,,,,,,0,,,98,120
1905,set_tempo,210,1,0,,,,,,1500000,,,,,,,
2055,set_tempo,150,1,0,,,,,,1000000,,,,,,,
2055,note_on,150,0,1,,,,,,,,,0,,,94,0
2055,control_change,360,0,5,,,,,,,,,0,64,0,,
2055,note_on,0,0,1,,,,,,,,,0,,,88,100
2055,note_on,0,0,1,,,,,,,,,0,,,94,100
2055,note_on,0,0,1,,,,,,,,,0,,,97,100
2055,note_on,0,0,1,,,,,,,,,0,,,98,0
2055,note_on,0,0,1,,,,,,,,,0,,,101,0
2057,set_tempo,2,1,0,,,,,,995190,,,,,,,
2065,set_tempo,8,1,0,,,,,,990262,,,,,,,
2070,set_tempo,5,1,0,,,,,,985383,,,,,,,
2075,note_on,0,0,1,,,,,,,,,0,,,91,100
2075,note_on,0,0,1,,,,,,,,,0,,,94,0
2075,note_on,20,0,1,,,,,,,,,0,,,88,0
2075,note_on,0,0,1,,,,,,,,,0,,,97,0
2075,note_on,0,0,1,,,,,,,,,0,,,99,100
2078,set_tempo,8,1,0,,,,,,980552,,,,,,,
2082,set_tempo,4,1,0,,,,,,975768,,,,,,,
2087,set_tempo,5,1,0,,,,,,971031,,,,,,,
2095,note_on,20,0,1,,,,,,,,,0,,,91,0
2095,note_on,0,0,1,,,,,,,,,0,,,89,100
2095,note_on,0,0,1,,,,,,,,,0,,,98,100
2095,note_on,0,0,1,,,,,,,,,0,,,99,0
2095,set_tempo,8,1,0,,,,,,966339,,,,,,,
2100,set_tempo,5,1,0,,,,,,961693,,,,,,,
2104,set_tempo,4,1,0,,,,,,957090,,,,,,,
2112,set_tempo,8,1,0,,,,,,952532,,,,,,,
2115,note_on,20,0,1,,,,,,,,,0,,,89,0
2115,note_on,0,0,1,,,,,,,,,0,,,93,100
2115,note_on,0,0,1,,,,,,,,,0,,,98,0
2115,note_on,0,0,1,,,,,,,,,0,,,85,100
2115,note_on,0,0,1,,,,,,,,,0,,,89,100
2117,set_tempo,5,1,0,,,,,,948017,,,,,,,
2125,set_tempo,8,1,0,,,,,,943545,,,,,,,
2130,set_tempo,5,1,0,,,,,,939114,,,,,,,
2134,set_tempo,4,1,0,,,,,,934725,,,,,,,
2135,note_on,20,0,1,,,,,,,,,0,,,85,0
2135,note_on,0,0,1,,,,,,,,,0,,,96,100
2135,note_on,0,0,1,,,,,,,,,0,,,87,100
2135,note_on,0,0,1,,,,,,,,,0,,,89,0
2135,note_on,0,0,1,,,,,,,,,0,,,93,0
2142,set_tempo,8,1,0,,,,,,930377,,,,,,,
2147,set_tempo,5,1,0,,,,,,926069,,,,,,,
2151,set_tempo,4,1,0,,,,,,921801,,,,,,,
2155,note_on,0,0,1,,,,,,,,,0,,,86,100
2155,note_on,0,0,1,,,,,,,,,0,,,94,100
2155,note_on,0,0,1,,,,,,,,,0,,,96,0
2155,note_on,20,0,1,,,,,,,,,0,,,87,0
2160,set_tempo,9,1,0,,,,,,917571,,,,,,,
2164,set_tempo,4,1,0,,,,,,913381,,,,,,,
2172,set_tempo,8,1,0,,,,,,909229,,,,,,,
