tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,program_change,0,0,3,,,,,,,,0,2,,,,
0,program_change,0,0,4,,,,,,,,0,3,,,,
0,set_tempo,0,1,0,,,,,,625000,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,3,10,30,,
0,control_change,0,0,4,,,,,,,,,3,7,127,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,2,7,127,,
0,control_change,0,0,1,,,,,,,,,0,10,97,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,control_change,0,0,2,,,,,,,,,1,10,97,,
0,control_change,0,0,3,,,,,,,,,2,10,30,,
1,end_of_track,0,1,5,,,,,,,,,,,,,
1,copyright,1,1,5,,,,,,,,,,,,,
85,set_tempo,85,1,0,,,,,,600000,,,,,,,
720,note_on,720,0,1,,,,,,,,,0,,,76,62
720,note_on,720,0,3,,,,,,,,,2,,,52,49
720,note_on,720,0,4,,,,,,,,,3,,,52,49
800,note_on,80,0,1,,,,,,,,,0,,,76,0
800,note_on,0,0,1,,,,,,,,,0,,,64,62
879,note_on,79,0,1,,,,,,,,,0,,,64,0
879,note_on,0,0,1,,,,,,,,,0,,,76,62
960,note_on,0,0,3,,,,,,,,,2,,,52,49
960,note_on,240,0,3,,,,,,,,,2,,,52,0
960,note_on,0,0,4,,,,,,,,,3,,,51,49
960,note_on,240,0,4,,,,,,,,,3,,,52,0
960,note_on,0,0,1,,,,,,,,,0,,,78,62
960,note_on,81,0,1,,,,,,,,,0,,,76,0
1040,note_on,80,0,1,,,,,,,,,0,,,78,0
1040,note_on,0,0,1,,,,,,,,,0,,,66,62
1119,note_on,79,0,1,,,,,,,,,0,,,66,0
1119,note_on,0,0,1,,,,,,,,,0,,,78,62
1200,note_on,81,0,1,,,,,,,,,0,,,78,0
1200,note_on,0,0,1,,,,,,,,,0,,,80,62
1200,note_on,0,0,4,,,,,,,,,3,,,50,49
1200,note_on,240,0,4,,,,,,,,,3,,,51,0
1200,note_on,240,0,3,,,,,,,,,2,,,52,0
1200,note_on,0,0,3,,,,,,,,,2,,,52,49
1280,note_on,80,0,1,,,,,,,,,0,,,80,0
1280,note_on,0,0,1,,,,,,,,,0,,,68,62
1359,note_on,0,0,1,,,,,,,,,0,,,80,62
1359,note_on,79,0,1,,,,,,,,,0,,,68,0
1440,note_on,0,0,4,,,,,,,,,3,,,48,75
1440,note_on,81,0,1,,,,,,,,,0,,,80,0
1440,note_on,0,0,1,,,,,,,,,0,,,81,62
1440,note_on,240,0,4,,,,,,,,,3,,,50,0
1440,note_on,240,0,3,,,,,,,,,2,,,52,0
1440,note_on,0,0,3,,,,,,,,,2,,,52,49
1440,control_change,0,0,4,,,,,,,,,3,64,127,,
1520,note_on,0,0,1,,,,,,,,,0,,,69,62
1520,note_on,80,0,1,,,,,,,,,0,,,81,0
1599,note_on,79,0,1,,,,,,,,,0,,,69,0
1599,note_on,0,0,1,,,,,,,,,0,,,81,62
1680,note_on,0,0,4,,,,,,,,,3,,,47,49
1680,note_on,240,0,4,,,,,,,,,3,,,48,0
1680,note_on,81,0,1,,,,,,,,,0,,,81,0
1680,note_on,0,0,1,,,,,,,,,0,,,83,62
1760,note_on,80,0,1,,,,,,,,,0,,,83,0
1760,note_on,0,0,1,,,,,,,,,0,,,71,62
1839,note_on,0,0,1,,,,,,,,,0,,,83,62
1839,note_on,79,0,1,,,,,,,,,0,,,71,0
1920,control_change,0,0,4,,,,,,,,,3,64,0,,
1920,note_on,81,0,1,,,,,,,,,0,,,83,0
1920,note_on,240,0,4,,,,,,,,,3,,,47,0
1920,note_on,0,0,1,,,,,,,,,0,,,84,62
1920,note_on,0,0,4,,,,,,,,,3,,,45,49
2000,note_on,80,0,1,,,,,,,,,0,,,84,0
2000,note_on,0,0,1,,,,,,,,,0,,,72,62
2079,note_on,79,0,1,,,,,,,,,0,,,72,0
2079,note_on,0,0,1,,,,,,,,,0,,,84,62
2160,note_on,0,0,3,,,,,,,,,2,,,52,49
2160,note_on,81,0,1,,,,,,,,,0,,,84,0
2160,note_on,720,0,3,,,,,,,,,2,,,52,0
2160,note_on,240,0,4,,,,,,,,,3,,,45,0
2160,note_on,0,0,4,,,,,,,,,3,,,48,49
2160,note_on,0,0,1,,,,,,,,,0,,,81,62
2240,note_on,0,0,1,,,,,,,,,0,,,69,62
2240,note_on,80,0,1,,,,,,,,,0,,,81,0
2319,note_on,79,0,1,,,,,,,,,0,,,69,0
2319,note_on,0,0,1,,,,,,,,,0,,,81,62
2400,note_on,0,0,3,,,,,,,,,2,,,52,49
2400,note_on,240,0,4,,,,,,,,,3,,,48,0
2400,note_on,0,0,4,,,,,,,,,3,,,47,49
2400,note_on,240,0,3,,,,,,,,,2,,,52,0
2400,note_on,81,0,1,,,,,,,,,0,,,81,0
2400,note_on,0,0,1,,,,,,,,,0,,,83,62
2480,note_on,80,0,1,,,,,,,,,0,,,83,0
2480,note_on,0,0,1,,,,,,,,,0,,,71,62
2559,note_on,79,0,1,,,,,,,,,0,,,71,0
2559,note_on,0,0,1,,,,,,,,,0,,,83,62
2640,note_on,0,0,4,,,,,,,,,3,,,45,49
2640,note_on,240,0,4,,,,,,,,,3,,,47,0
2640,note_on,0,0,1,,,,,,,,,0,,,84,62
2640,note_on,0,0,3,,,,,,,,,2,,,52,49
2640,note_on,240,0,3,,,,,,,,,2,,,52,0
2640,note_on,81,0,1,,,,,,,,,0,,,83,0
2720,note_on,80,0,1,,,,,,,,,0,,,84,0
2720,note_on,0,0,1,,,,,,,,,0,,,72,62
2799,note_on,79,0,1,,,,,,,,,0,,,72,0
2799,note_on,0,0,1,,,,,,,,,0,,,84,62
2880,note_on,240,0,4,,,,,,,,,3,,,45,0
2880,note_on,240,0,3,,,,,,,,,2,,,52,0
2880,note_on,81,0,1,,,,,,,,,0,,,84,0
