tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,control_change,0,0,3,,,,,,,,,2,7,127,,
0,control_change,0,0,3,,,,,,,,,2,10,30,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,Ab,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,control_change,0,0,2,,,,,,,,,1,10,97,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,program_change,0,0,3,,,,,,,,0,2,,,,
0,set_tempo,0,1,0,,,,,,600000,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,10,97,,
1,copyright,1,1,4,,,,,,,,,,,,,
1,end_of_track,0,1,4,,,,,,,,,,,,,
240,control_change,240,0,3,,,,,,,,,2,64,127,,
240,note_on,0,0,3,,,,,,,,,2,,,39,101
287,note_on,47,0,3,,,,,,,,,2,,,39,0
480,note_on,193,0,3,,,,,,,,,2,,,53,75
480,note_on,0,0,3,,,,,,,,,2,,,56,75
480,note_on,0,0,3,,,,,,,,,2,,,61,75
720,note_on,240,0,3,,,,,,,,,2,,,61,0
720,note_on,0,0,3,,,,,,,,,2,,,56,0
720,note_on,0,0,3,,,,,,,,,2,,,53,0
840,note_on,0,0,3,,,,,,,,,2,,,60,75
840,note_on,0,0,3,,,,,,,,,2,,,56,75
840,note_on,120,0,3,,,,,,,,,2,,,51,75
960,note_on,0,0,3,,,,,,,,,2,,,60,101
960,note_on,0,0,3,,,,,,,,,2,,,56,101
960,note_on,0,0,3,,,,,,,,,2,,,51,101
960,note_on,0,0,3,,,,,,,,,2,,,56,0
960,note_on,0,0,3,,,,,,,,,2,,,51,0
960,note_on,120,0,3,,,,,,,,,2,,,60,0
1440,note_on,480,0,3,,,,,,,,,2,,,60,0
1440,note_on,0,0,3,,,,,,,,,2,,,58,101
1440,note_on,0,0,3,,,,,,,,,2,,,56,0
1440,note_on,0,0,3,,,,,,,,,2,,,53,101
1440,note_on,0,0,3,,,,,,,,,2,,,51,0
1440,note_on,0,0,3,,,,,,,,,2,,,49,101
1487,note_on,0,0,3,,,,,,,,,2,,,49,0
1487,note_on,47,0,3,,,,,,,,,2,,,58,0
1487,note_on,0,0,3,,,,,,,,,2,,,53,0
1680,control_change,193,0,3,,,,,,,,,2,64,0,,
2160,note_on,0,0,3,,,,,,,,,2,,,39,101
