tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,
0,key_signature,0,1,0,,,,,E,,,,,,,
0,set_tempo,0,1,0,,,,,,363592,,,,,,
0,program_change,0,0,0,,,,,,,0,0,,,,
0,control_change,0,0,0,,,,,,,,0,7,100,,
0,control_change,0,0,0,,,,,,,,0,10,64,,
0,control_change,0,0,0,,,,,,,,0,91,127,,
0,text,0,1,0,,,,,,,,,,,,
0,program_change,0,0,0,,,,,,,0,0,,,,
0,control_change,0,0,0,,,,,,,,0,7,100,,
0,control_change,0,0,0,,,,,,,,0,10,64,,
7,control_change,7,0,0,,,,,,,,0,64,0,,
960,set_tempo,953,1,0,,,,,,379363,,,,,,
960,note_on,0,0,0,,,,,,,,0,,,64,58
1020,note_on,60,0,0,,,,,,,,0,,,64,0
1080,note_on,60,0,0,,,,,,,,0,,,68,51
1170,note_on,90,0,0,,,,,,,,0,,,68,0
1200,set_tempo,30,1,0,,,,,,363504,,,,,,
1200,note_on,0,0,0,,,,,,,,0,,,71,46
1290,note_on,90,0,0,,,,,,,,0,,,71,0
1320,note_on,30,0,0,,,,,,,,0,,,76,46
1410,note_on,90,0,0,,,,,,,,0,,,76,0
1440,note_on,30,0,0,,,,,,,,0,,,76,65
1500,note_on,60,0,0,,,,,,,,0,,,76,0
1560,note_on,60,0,0,,,,,,,,0,,,71,51
1650,note_on,90,0,0,,,,,,,,0,,,71,0
1680,set_tempo,30,1,0,,,,,,393056,,,,,,
1680,note_on,0,0,0,,,,,,,,0,,,68,47
1770,note_on,90,0,0,,,,,,,,0,,,68,0
1800,note_on,30,0,0,,,,,,,,0,,,64,47
1890,note_on,90,0,0,,,,,,,,0,,,64,0
1920,set_tempo,30,1,0,,,,,,373111,,,,,,
1920,note_on,0,0,0,,,,,,,,0,,,63,58
1980,note_on,60,0,0,,,,,,,,0,,,63,0
2040,note_on,60,0,0,,,,,,,,0,,,66,51
2130,note_on,90,0,0,,,,,,,,0,,,66,0
2160,set_tempo,30,1,0,,,,,,362341,,,,,,
2160,note_on,0,0,0,,,,,,,,0,,,71,47
2250,note_on,90,0,0,,,,,,,,0,,,71,0
2280,note_on,30,0,0,,,,,,,,0,,,78,43
2370,note_on,90,0,0,,,,,,,,0,,,78,0
2400,note_on,30,0,0,,,,,,,,0,,,78,67
2460,note_on,60,0,0,,,,,,,,0,,,78,0
2520,note_on,60,0,0,,,,,,,,0,,,71,51
2610,note_on,90,0,0,,,,,,,,0,,,71,0
2640,set_tempo,30,1,0,,,,,,379891,,,,,,
2640,note_on,0,0,0,,,,,,,,0,,,66,48
2730,note_on,90,0,0,,,,,,,,0,,,66,0
2760,note_on,30,0,0,,,,,,,,0,,,63,43
2850,note_on,90,0,0,,,,,,,,0,,,63,0
2880,set_tempo,30,1,0,,,,,,369458,,,,,,
2880,note_on,0,0,0,,,,,,,,0,,,64,58
2940,note_on,60,0,0,,,,,,,,0,,,64,0
3000,note_on,60,0,0,,,,,,,,0,,,68,51
3090,note_on,90,0,0,,,,,,,,0,,,68,0
3120,set_tempo,30,1,0,,,,,,362341,,,,,,
3120,note_on,0,0,0,,,,,,,,0,,,71,47
3210,note_on,90,0,0,,,,,,,,0,,,71,0
3240,note_on,30,0,0,,,,,,,,0,,,76,42
3330,note_on,90,0,0,,,,,,,,0,,,76,0
3360,note_on,30,0,0,,,,,,,,0,,,76,70
3420,note_on,60,0,0,,,,,,,,0,,,76,0
3480,note_on,60,0,0,,,,,,,,0,,,71,51
3570,note_on,90,0,0,,,,,,,,0,,,71,0
3600,set_tempo,30,1,0,,,,,,393056,,,,,,
3600,note_on,0,0,0,,,,,,,,0,,,68,48
3690,note_on,90,0,0,,,,,,,,0,,,68,0
3720,note_on,30,0,0,,,,,,,,0,,,64,47
3810,note_on,90,0,0,,,,,,,,0,,,64,0
3840,set_tempo,30,1,0,,,,,,369458,,,,,,
3840,note_on,0,0,0,,,,,,,,0,,,59,58
3900,note_on,60,0,0,,,,,,,,0,,,59,0
3960,note_on,60,0,0,,,,,,,,0,,,66,51
4050,note_on,90,0,0,,,,,,,,0,,,66,0
4080,note_on,30,0,0,,,,,,,,0,,,75,51
4170,note_on,90,0,0,,,,,,,,0,,,75,0
4200,note_on,30,0,0,,,,,,,,0,,,83,48
4290,note_on,90,0,0,,,,,,,,0,,,83,0
4320,note_on,30,0,0,,,,,,,,0,,,83,58
