tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,time_signature,0,1,0,2,4,24,8,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,
0,set_tempo,0,1,0,,,,,,315789,,,,,,
0,program_change,0,0,0,,,,,,,0,0,,,,
0,control_change,0,0,0,,,,,,,,0,7,100,,
0,control_change,0,0,0,,,,,,,,0,10,64,,
0,control_change,0,0,0,,,,,,,,0,91,127,,
0,text,0,1,0,,,,,,,,,,,,
0,program_change,0,0,0,,,,,,,0,0,,,,
0,control_change,0,0,0,,,,,,,,0,7,100,,
0,control_change,0,0,0,,,,,,,,0,10,64,,
7,control_change,7,0,0,,,,,,,,0,64,0,,
720,set_tempo,713,1,0,,,,,,316623,,,,,,
720,note_on,0,0,0,,,,,,,,0,,,45,34
760,note_on,40,0,0,,,,,,,,0,,,52,37
800,note_on,40,0,0,,,,,,,,0,,,57,41
840,note_on,40,0,0,,,,,,,,0,,,60,44
870,note_on,30,0,0,,,,,,,,0,,,64,44
900,note_on,30,0,0,,,,,,,,0,,,69,48
930,note_on,30,0,0,,,,,,,,0,,,72,53
960,time_signature,30,1,0,5,8,12,8,,,,,,,,
960,set_tempo,0,1,0,,,,,,472441,,,,,,
960,note_on,0,0,0,,,,,,,,0,,,81,61
1070,note_on,110,0,0,,,,,,,,0,,,45,0
1080,note_on,10,0,0,,,,,,,,0,,,52,0
1080,note_on,0,0,0,,,,,,,,0,,,69,0
1080,note_on,0,0,0,,,,,,,,0,,,57,0
1080,note_on,0,0,0,,,,,,,,0,,,60,0
1080,note_on,0,0,0,,,,,,,,0,,,64,0
1080,note_on,0,0,0,,,,,,,,0,,,72,0
1080,note_on,0,0,0,,,,,,,,0,,,81,0
1200,set_tempo,120,1,0,,,,,,363636,,,,,,
1320,set_tempo,120,1,0,,,,,,750000,,,,,,
1380,note_on,60,0,0,,,,,,,,0,,,69,48
1435,note_on,55,0,0,,,,,,,,0,,,69,0
1440,set_tempo,5,1,0,,,,,,472441,,,,,,
1440,note_on,0,0,0,,,,,,,,0,,,69,57
1560,note_on,120,0,0,,,,,,,,0,,,69,0
1560,note_on,0,0,0,,,,,,,,0,,,72,54
1680,set_tempo,120,1,0,,,,,,451128,,,,,,
1680,note_on,0,0,0,,,,,,,,0,,,72,0
1680,note_on,0,0,0,,,,,,,,0,,,71,57
1800,note_on,120,0,0,,,,,,,,0,,,71,0
1800,note_on,0,0,0,,,,,,,,0,,,69,54
1920,set_tempo,120,1,0,,,,,,262009,,,,,,
1920,note_on,0,0,0,,,,,,,,0,,,69,0
1920,note_on,0,0,0,,,,,,,,0,,,52,36
1960,note_on,40,0,0,,,,,,,,0,,,59,38
2000,note_on,40,0,0,,,,,,,,0,,,64,42
2040,note_on,40,0,0,,,,,,,,0,,,68,45
2070,note_on,30,0,0,,,,,,,,0,,,71,45
2100,note_on,30,0,0,,,,,,,,0,,,76,49
2130,note_on,30,0,0,,,,,,,,0,,,80,53
2160,set_tempo,30,1,0,,,,,,472441,,,,,,
2160,note_on,0,0,0,,,,,,,,0,,,88,59
2270,note_on,110,0,0,,,,,,,,0,,,52,0
2280,note_on,10,0,0,,,,,,,,0,,,59,0
2280,note_on,0,0,0,,,,,,,,0,,,76,0
2280,note_on,0,0,0,,,,,,,,0,,,64,0
2280,note_on,0,0,0,,,,,,,,0,,,68,0
2280,note_on,0,0,0,,,,,,,,0,,,71,0
2280,note_on,0,0,0,,,,,,,,0,,,80,0
2280,note_on,0,0,0,,,,,,,,0,,,88,0
2400,set_tempo,120,1,0,,,,,,366972,,,,,,
2520,set_tempo,120,1,0,,,,,,750000,,,,,,
2580,note_on,60,0,0,,,,,,,,0,,,64,48
2635,note_on,55,0,0,,,,,,,,0,,,64,0
2640,set_tempo,5,1,0,,,,,,472441,,,,,,
2640,note_on,0,0,0,,,,,,,,0,,,64,57
2760,note_on,120,0,0,,,,,,,,0,,,64,0
2760,note_on,0,0,0,,,,,,,,0,,,68,54
2880,set_tempo,120,1,0,,,,,,451128,,,,,,
2880,note_on,0,0,0,,,,,,,,0,,,68,0
2880,note_on,0,0,0,,,,,,,,0,,,66,57
3000,note_on,120,0,0,,,,,,,,0,,,66,0
3000,note_on,0,0,0,,,,,,,,0,,,64,54
3120,set_tempo,120,1,0,,,,,,261438,,,,,,
3120,note_on,0,0,0,,,,,,,,0,,,64,0
3120,note_on,0,0,0,,,,,,,,0,,,45,33
3160,note_on,40,0,0,,,,,,,,0,,,52,36
