tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,channel,program,note,velocity,control,value
0,channel_prefix,0,1,1,,,,,,,,,,,,0,,,,,
0,end_of_track,0,1,1,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,2,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,4,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,6,,,,,,,,,,,,,,,,,
0,smpte_offset,0,1,0,30,0,0,0,0,0,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,,,,,,0,0,,,,
0,set_tempo,0,1,0,,,,,,,,,,,382500,,,,,,
0,text,0,1,1,,,,,,,,,,,,,,,,,
0,text,0,1,3,,,,,,,,,,,,,,,,,
0,text,0,1,4,,,,,,,,,,,,,,,,,
0,text,0,1,2,,,,,,,,,,,,,,,,,
0,channel_prefix,0,1,2,,,,,,,,,,,,0,,,,,
0,channel_prefix,0,1,4,,,,,,,,,,,,0,,,,,
0,text,0,1,5,,,,,,,,,,,,,,,,,
0,channel_prefix,0,1,5,,,,,,,,,,,,0,,,,,
0,channel_prefix,0,1,6,,,,,,,,,,,,0,,,,,
0,time_signature,0,1,0,,,,,,,3,4,24,8,,,,,,,
0,text,0,1,6,,,,,,,,,,,,,,,,,
452,note_on,452,0,3,,,,,,,,,,,,0,,63,38,,
480,set_tempo,480,1,0,,,,,,,,,,,412500,,,,,,
511,note_on,59,0,3,,,,,,,,,,,,0,,64,51,,
522,note_off,11,0,3,,,,,,,,,,,,0,,63,64,,
919,note_on,397,0,3,,,,,,,,,,,,0,,59,42,,
959,note_off,40,0,3,,,,,,,,,,,,0,,64,64,,
960,set_tempo,480,1,0,,,,,,,,,,,382500,,,,,,
1397,note_on,438,0,3,,,,,,,,,,,,0,,65,56,,
1440,set_tempo,480,1,0,,,,,,,,,,,407500,,,,,,
1460,note_off,63,0,3,,,,,,,,,,,,0,,59,64,,
1920,set_tempo,480,1,0,,,,,,,,,,,422500,,,,,,
2369,note_off,909,0,3,,,,,,,,,,,,0,,65,64,,
2400,set_tempo,480,1,0,,,,,,,,,,,387500,,,,,,
2880,set_tempo,480,1,0,,,,,,,,,,,367500,,,,,,
3282,note_on,913,0,3,,,,,,,,,,,,0,,63,18,,
3360,set_tempo,480,1,0,,,,,,,,,,,377500,,,,,,
3372,note_on,90,0,3,,,,,,,,,,,,0,,64,20,,
3388,note_off,16,0,3,,,,,,,,,,,,0,,63,64,,
3825,note_on,437,0,3,,,,,,,,,,,,0,,59,20,,
3840,set_tempo,480,1,0,,,,,,,,,,,375000,,,,,,
3851,note_off,26,0,3,,,,,,,,,,,,0,,64,64,,
4301,note_on,450,0,3,,,,,,,,,,,,0,,65,24,,
4313,note_off,12,0,3,,,,,,,,,,,,0,,59,64,,
4320,set_tempo,480,1,0,,,,,,,,,,,415000,,,,,,
4800,set_tempo,480,1,0,,,,,,,,,,,420000,,,,,,
5276,note_off,963,0,3,,,,,,,,,,,,0,,65,64,,
5280,set_tempo,480,1,0,,,,,,,,,,,435000,,,,,,
5760,set_tempo,480,1,0,,,,,,,,,,,380000,,,,,,
6161,note_on,885,0,3,,,,,,,,,,,,0,,64,55,,
6240,set_tempo,480,1,0,,,,,,,,,,,372500,,,,,,
6270,note_on,109,0,3,,,,,,,,,,,,0,,65,60,,
6273,note_off,3,0,3,,,,,,,,,,,,0,,64,64,,
6720,set_tempo,480,1,0,,,,,,,,,,,385000,,,,,,
6740,note_on,467,0,3,,,,,,,,,,,,0,,59,57,,
6769,note_off,29,0,3,,,,,,,,,,,,0,,65,64,,
7100,note_off,331,0,3,,,,,,,,,,,,0,,59,64,,
7200,set_tempo,480,1,0,,,,,,,,,,,367500,,,,,,
7654,note_on,554,0,3,,,,,,,,,,,,0,,61,37,,
7680,set_tempo,480,1,0,,,,,,,,,,,360000,,,,,,
8126,note_on,472,0,3,,,,,,,,,,,,0,,65,45,,
8160,set_tempo,480,1,0,,,,,,,,,,,332500,,,,,,
8174,note_off,48,0,3,,,,,,,,,,,,0,,61,64,,
8395,note_off,221,0,3,,,,,,,,,,,,0,,65,64,,
8640,set_tempo,480,1,0,,,,,,,,,,,355000,,,,,,
9013,note_on,618,0,3,,,,,,,,,,,,0,,64,39,,
9120,set_tempo,480,1,0,,,,,,,,,,,352500,,,,,,
9142,note_on,129,0,3,,,,,,,,,,,,0,,65,48,,
9159,note_off,17,0,3,,,,,,,,,,,,0,,64,64,,
9549,note_on,390,0,3,,,,,,,,,,,,0,,59,46,,
9593,note_off,44,0,3,,,,,,,,,,,,0,,65,64,,
9600,set_tempo,480,1,0,,,,,,,,,,,347500,,,,,,
9897,note_off,304,0,3,,,,,,,,,,,,0,,59,64,,
10080,set_tempo,480,1,0,,,,,,,,,,,330000,,,,,,
10524,note_on,627,0,3,,,,,,,,,,,,0,,61,31,,
10560,set_tempo,480,1,0,,,,,,,,,,,345000,,,,,,
11022,note_on,498,0,3,,,,,,,,,,,,0,,65,30,,
11040,set_tempo,480,1,0,,,,,,,,,,,345000,,,,,,
11070,note_off,48,0,3,,,,,,,,,,,,0,,61,64,,
11413,note_off,343,0,3,,,,,,,,,,,,0,,65,64,,
11520,set_tempo,480,1,0,,,,,,,,,,,357500,,,,,,
12000,set_tempo,480,1,0,,,,,,,,,,,325000,,,,,,
12480,set_tempo,480,1,0,,,,,,,,,,,347500,,,,,,
