tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,control,value,note,velocity
0,control_change,,,,,0,0,1,,,,,0,7,127,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,time_signature,4,4,24,8,0,1,0,,,,,,,,,
0,set_tempo,,,,,0,1,0,,600000,,,,,,,
0,program_change,,,,,0,0,1,,,,0,0,,,,
0,track_name,,,,,0,1,2,,,,,,,,,
0,midi_port,,,,,0,1,3,,,0,,,,,,
0,midi_port,,,,,0,1,2,,,0,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,,,
0,key_signature,,,,,0,1,0,C,,,,,,,,
0,end_of_track,,,,,0,1,3,,,,,,,,,
0,end_of_track,,,,,0,1,2,,,,,,,,,
0,track_name,,,,,0,1,3,,,,,,,,,
481,control_change,,,,,481,0,1,,,,,0,91,127,,
562,note_on,,,,,81,0,1,,,,,0,,,53,60
565,control_change,,,,,3,0,1,,,,,0,64,24,,
569,control_change,,,,,4,0,1,,,,,0,64,56,,
573,control_change,,,,,4,0,1,,,,,0,64,88,,
578,control_change,,,,,5,0,1,,,,,0,64,127,,
718,note_on,,,,,140,0,1,,,,,0,,,53,0
722,note_on,,,,,4,0,1,,,,,0,,,51,62
759,control_change,,,,,37,0,1,,,,,0,64,104,,
763,control_change,,,,,4,0,1,,,,,0,64,40,,
767,control_change,,,,,4,0,1,,,,,0,64,0,,
807,control_change,,,,,40,0,1,,,,,0,64,56,,
811,control_change,,,,,4,0,1,,,,,0,64,104,,
815,control_change,,,,,4,0,1,,,,,0,64,127,,
836,note_on,,,,,21,0,1,,,,,0,,,51,0
956,note_on,,,,,120,0,1,,,,,0,,,49,54
964,control_change,,,,,8,0,1,,,,,0,64,88,,
968,control_change,,,,,4,0,1,,,,,0,64,0,,
997,control_change,,,,,29,0,1,,,,,0,64,127,,
1002,note_on,,,,,5,0,1,,,,,0,,,42,40
1017,note_on,,,,,15,0,1,,,,,0,,,49,0
1021,note_on,,,,,4,0,1,,,,,0,,,58,46
1043,note_on,,,,,22,0,1,,,,,0,,,49,58
1053,note_on,,,,,10,0,1,,,,,0,,,58,0
1061,note_on,,,,,8,0,1,,,,,0,,,66,50
1092,note_on,,,,,31,0,1,,,,,0,,,73,52
1094,note_on,,,,,2,0,1,,,,,0,,,66,0
1109,note_on,,,,,15,0,1,,,,,0,,,73,0
1141,note_on,,,,,32,0,1,,,,,0,,,61,40
1146,note_on,,,,,5,0,1,,,,,0,,,75,50
1158,note_on,,,,,12,0,1,,,,,0,,,61,0
1162,note_on,,,,,4,0,1,,,,,0,,,75,0
1166,note_on,,,,,4,0,1,,,,,0,,,42,0
1179,note_on,,,,,13,0,1,,,,,0,,,49,0
1183,note_on,,,,,4,0,1,,,,,0,,,73,51
1190,note_on,,,,,7,0,1,,,,,0,,,66,33
1198,note_on,,,,,8,0,1,,,,,0,,,66,0
1205,note_on,,,,,7,0,1,,,,,0,,,73,0
1223,note_on,,,,,18,0,1,,,,,0,,,75,40
1225,note_on,,,,,2,0,1,,,,,0,,,70,43
1235,note_on,,,,,10,0,1,,,,,0,,,75,0
1240,note_on,,,,,5,0,1,,,,,0,,,70,0
1259,note_on,,,,,19,0,1,,,,,0,,,73,51
1280,note_on,,,,,21,0,1,,,,,0,,,73,0
1299,note_on,,,,,19,0,1,,,,,0,,,75,47
1301,note_on,,,,,2,0,1,,,,,0,,,70,38
1315,note_on,,,,,14,0,1,,,,,0,,,75,0
1318,note_on,,,,,3,0,1,,,,,0,,,70,0
1342,note_on,,,,,0,0,1,,,,,0,,,66,30
1342,note_on,,,,,24,0,1,,,,,0,,,73,49
1369,note_on,,,,,27,0,1,,,,,0,,,66,0
1369,note_on,,,,,0,0,1,,,,,0,,,73,0
1382,note_on,,,,,13,0,1,,,,,0,,,75,38
1384,note_on,,,,,2,0,1,,,,,0,,,61,32
1391,note_on,,,,,7,0,1,,,,,0,,,75,0
1397,note_on,,,,,6,0,1,,,,,0,,,61,0
1416,note_on,,,,,19,0,1,,,,,0,,,54,64
1425,note_on,,,,,9,0,1,,,,,0,,,58,43
1429,note_on,,,,,4,0,1,,,,,0,,,73,37
1433,note_on,,,,,4,0,1,,,,,0,,,58,0
1445,note_on,,,,,12,0,1,,,,,0,,,73,0
1467,note_on,,,,,22,0,1,,,,,0,,,61,49
1471,note_on,,,,,4,0,1,,,,,0,,,75,36
1481,note_on,,,,,10,0,1,,,,,0,,,61,0
1482,note_on,,,,,1,0,1,,,,,0,,,75,0
1506,note_on,,,,,0,0,1,,,,,0,,,66,30
1506,note_on,,,,,24,0,1,,,,,0,,,73,53
1530,note_on,,,,,0,0,1,,,,,0,,,73,0
1530,note_on,,,,,24,0,1,,,,,0,,,66,0
1543,note_on,,,,,13,0,1,,,,,0,,,75,46
1554,note_on,,,,,11,0,1,,,,,0,,,70,28
1563,note_on,,,,,9,0,1,,,,,0,,,75,0
1565,note_on,,,,,2,0,1,,,,,0,,,70,0
1586,note_on,,,,,21,0,1,,,,,0,,,56,69
1589,note_on,,,,,3,0,1,,,,,0,,,73,49
1592,note_on,,,,,3,0,1,,,,,0,,,54,0
1611,note_on,,,,,19,0,1,,,,,0,,,73,0
1626,note_on,,,,,15,0,1,,,,,0,,,75,48
1635,note_on,,,,,9,0,1,,,,,0,,,70,30
1646,note_on,,,,,11,0,1,,,,,0,,,70,0
1648,note_on,,,,,0,0,1,,,,,0,,,56,0
1648,note_on,,,,,2,0,1,,,,,0,,,75,0
1667,note_on,,,,,19,0,1,,,,,0,,,73,45
