tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,control,value,channel,note,velocity
0,control_change,,,,,0,0,1,,7,127,0,,
0,time_signature,4,4,24,8,0,1,0,,,,,,
0,set_tempo,,,,,0,1,0,545455,,,,,
0,track_name,,,,,0,1,1,,,,,,
0,end_of_track,,,,,0,1,2,,,,,,
0,track_name,,,,,0,1,2,,,,,,
260,control_change,,,,,260,0,1,,64,127,0,,
434,note_on,,,,,174,0,1,,,,0,69,77
436,note_on,,,,,2,0,1,,,,0,57,79
450,note_off,,,,,14,0,1,,,,0,57,64
456,note_off,,,,,6,0,1,,,,0,69,64
476,note_on,,,,,20,0,1,,,,0,69,104
482,note_on,,,,,6,0,1,,,,0,57,95
490,control_change,,,,,8,0,1,,64,0,0,,
662,control_change,,,,,172,0,1,,64,127,0,,
856,note_off,,,,,194,0,1,,,,0,69,64
908,note_off,,,,,52,0,1,,,,0,57,64
1282,note_on,,,,,374,0,1,,,,0,63,81
1284,note_on,,,,,2,0,1,,,,0,51,82
1300,note_off,,,,,16,0,1,,,,0,51,64
1304,note_off,,,,,4,0,1,,,,0,63,64
1332,note_on,,,,,28,0,1,,,,0,63,92
1336,note_on,,,,,4,0,1,,,,0,51,94
1482,note_off,,,,,146,0,1,,,,0,63,64
1510,note_off,,,,,28,0,1,,,,0,51,64
2072,note_on,,,,,562,0,1,,,,0,57,75
2072,note_on,,,,,0,0,1,,,,0,45,82
2092,note_off,,,,,20,0,1,,,,0,45,64
2098,note_off,,,,,6,0,1,,,,0,57,64
2122,note_on,,,,,24,0,1,,,,0,57,100
2124,note_on,,,,,2,0,1,,,,0,45,90
2176,note_off,,,,,52,0,1,,,,0,57,64
2182,note_off,,,,,6,0,1,,,,0,45,64
2402,note_on,,,,,220,0,1,,,,0,39,81
2404,note_on,,,,,2,0,1,,,,0,51,84
2424,note_off,,,,,20,0,1,,,,0,51,64
2430,note_off,,,,,6,0,1,,,,0,39,64
2460,note_on,,,,,0,0,1,,,,0,39,79
2460,note_on,,,,,30,0,1,,,,0,51,93
2500,note_off,,,,,40,0,1,,,,0,51,64
2508,note_off,,,,,8,0,1,,,,0,39,64
2770,note_on,,,,,262,0,1,,,,0,45,79
2772,note_on,,,,,2,0,1,,,,0,33,82
2788,note_off,,,,,16,0,1,,,,0,33,64
2796,note_off,,,,,8,0,1,,,,0,45,64
2828,note_on,,,,,32,0,1,,,,0,45,93
2832,note_on,,,,,4,0,1,,,,0,33,99
2956,note_off,,,,,124,0,1,,,,0,45,64
2966,note_off,,,,,10,0,1,,,,0,33,64
3184,note_on,,,,,218,0,1,,,,0,39,81
3186,note_on,,,,,2,0,1,,,,0,27,88
3212,note_off,,,,,26,0,1,,,,0,27,64
3212,note_off,,,,,0,0,1,,,,0,39,64
3278,note_on,,,,,66,0,1,,,,0,39,94
3280,note_on,,,,,2,0,1,,,,0,27,89
3352,control_change,,,,,72,0,1,,64,0,0,,
3408,control_change,,,,,56,0,1,,64,127,0,,
4250,note_on,,,,,842,0,1,,,,0,54,81
4252,note_on,,,,,0,0,1,,,,0,45,76
4252,note_on,,,,,2,0,1,,,,0,48,83
4288,control_change,,,,,36,0,1,,64,0,0,,
4426,control_change,,,,,138,0,1,,64,127,0,,
4464,set_tempo,,,,,4464,1,0,540541,,,,,
4536,note_off,,,,,110,0,1,,,,0,45,64
4548,note_off,,,,,12,0,1,,,,0,48,64
4568,note_off,,,,,20,0,1,,,,0,54,64
4688,set_tempo,,,,,224,1,0,535714,,,,,
4800,note_on,,,,,232,0,1,,,,0,55,79
4800,note_on,,,,,0,0,1,,,,0,46,84
4802,note_on,,,,,2,0,1,,,,0,50,81
4836,control_change,,,,,34,0,1,,64,0,0,,
4908,set_tempo,,,,,220,1,0,530973,,,,,
4932,control_change,,,,,96,0,1,,64,127,0,,
5014,note_off,,,,,82,0,1,,,,0,55,64
5028,note_off,,,,,14,0,1,,,,0,46,64
5036,note_off,,,,,8,0,1,,,,0,50,64
5132,set_tempo,,,,,224,1,0,526316,,,,,
5350,note_on,,,,,0,0,1,,,,0,51,89
5350,note_on,,,,,314,0,1,,,,0,56,93
5352,note_on,,,,,2,0,1,,,,0,47,81
5356,set_tempo,,,,,224,1,0,521739,,,,,
5400,control_change,,,,,48,0,1,,64,0,0,,
5508,control_change,,,,,108,0,1,,64,127,0,,
5576,set_tempo,,,,,220,1,0,517241,,,,,
5578,note_off,,,,,70,0,1,,,,0,47,64
