tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,control_change,0,0,1,,,,,,,,0,7,100,,
0,end_of_track,0,1,5,,,,,,,,,,,,
0,end_of_track,0,1,6,,,,,,,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,
0,note_on,0,0,3,,,,,,,,2,,,62,64
0,note_on,0,0,4,,,,,,,,3,,,46,64
0,track_name,0,1,6,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,0,0,,,,
0,program_change,0,0,2,,,,,,,0,1,,,,
0,program_change,0,0,2,,,,,,,0,1,,,,
0,program_change,0,0,3,,,,,,,0,2,,,,
0,program_change,0,0,3,,,,,,,0,2,,,,
0,program_change,0,0,4,,,,,,,0,3,,,,
0,control_change,0,0,4,,,,,,,,3,93,64,,
0,program_change,0,0,4,,,,,,,0,3,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,time_signature,0,1,0,2,4,24,8,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,521739,,,,,,
0,control_change,0,0,4,,,,,,,,3,91,120,,
0,track_name,0,1,7,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,3,7,100,,
0,control_change,0,0,3,,,,,,,,2,91,100,,
0,control_change,0,0,3,,,,,,,,2,64,127,,
0,control_change,0,0,4,,,,,,,,3,10,20,,
0,control_change,0,0,3,,,,,,,,2,10,40,,
