tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,note,velocity,control,value
0,track_name,0,1,12,,,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,10,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,12,,,,,,,,,,,,,0,,,,,,
0,midi_port,0,1,11,,,,,,,,,,,,,0,,,,,,
0,midi_port,0,1,10,,,,,,,,,,,,,0,,,,,,
0,midi_port,0,1,9,,,,,,,,,,,,,0,,,,,,
0,midi_port,0,1,8,,,,,,,,,,,,,0,,,,,,
0,midi_port,0,1,7,,,,,,,,,,,,,0,,,,,,
0,midi_port,0,1,6,,,,,,,,,,,,,0,,,,,,
0,midi_port,0,1,5,,,,,,,,,,,,,0,,,,,,
0,end_of_track,0,1,6,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,,,,,,,0,,,64,120
0,end_of_track,0,1,7,,,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,,,,,,,0,,,,,,
0,midi_port,0,1,2,,,,,,,,,,,,,0,,,,,,
0,midi_port,0,1,1,,,,,,,,,,,,,0,,,,,,
0,key_signature,0,1,0,,,,,,,,,,,Db,,,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,12,,,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,9,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,,,,,,,0,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,11,,,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,1,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,,
0,time_signature,0,1,0,,,,,,,4,4,24,8,,,,,,,,,
0,end_of_track,0,1,2,,,,,,,,,,,,,,,,,,,
0,smpte_offset,0,1,0,30,0,0,3,0,0,,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,,,,,,,,0,0,,,,
0,program_change,0,0,3,,,,,,,,,,,,,,0,0,,,,
0,set_tempo,0,1,0,,,,,,,,,,,,779221,,,,,,,
0,program_change,0,0,2,,,,,,,,,,,,,,0,0,,,,
0,program_change,0,0,1,,,,,,,,,,,,,,0,0,,,,
480,note_on,480,0,4,,,,,,,,,,,,,,,0,32,90,,
960,note_on,480,0,4,,,,,,,,,,,,,,,0,44,90,,
1440,note_on,480,0,4,,,,,,,,,,,,,,,0,32,0,,
1440,note_on,0,0,4,,,,,,,,,,,,,,,0,32,64,,
1920,note_on,480,0,4,,,,,,,,,,,,,,,0,44,0,,
1920,note_on,0,0,4,,,,,,,,,,,,,,,0,44,90,,
2160,note_on,2160,0,3,,,,,,,,,,,,,,,0,56,64,,
2160,note_on,0,0,3,,,,,,,,,,,,,,,0,59,64,,
2160,note_on,0,0,3,,,,,,,,,,,,,,,0,64,64,,
2400,note_on,0,0,3,,,,,,,,,,,,,,,0,59,0,,
2400,note_on,0,0,3,,,,,,,,,,,,,,,0,56,0,,
2400,note_on,0,0,3,,,,,,,,,,,,,,,0,57,64,,
2400,note_on,0,0,3,,,,,,,,,,,,,,,0,61,64,,
2400,note_on,240,0,3,,,,,,,,,,,,,,,0,64,0,,
2640,note_on,0,0,3,,,,,,,,,,,,,,,0,52,64,,
2640,note_on,0,0,3,,,,,,,,,,,,,,,0,56,64,,
2640,note_on,240,0,3,,,,,,,,,,,,,,,0,61,0,,
2640,note_on,0,0,3,,,,,,,,,,,,,,,0,59,64,,
2640,note_on,0,0,3,,,,,,,,,,,,,,,0,57,0,,
2880,note_on,0,0,3,,,,,,,,,,,,,,,0,61,64,,
2880,note_on,0,0,3,,,,,,,,,,,,,,,0,52,0,,
2880,note_on,0,0,3,,,,,,,,,,,,,,,0,57,64,,
2880,note_on,0,0,3,,,,,,,,,,,,,,,0,56,0,,
2880,note_on,240,0,3,,,,,,,,,,,,,,,0,59,0,,
