tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,control,value,note,velocity
0,control_change,,,,,0,0,1,,,0,0,0,,
0,set_tempo,,,,,0,1,0,500000,,,,,,
0,program_change,,,,,0,0,1,,0,0,,,,
0,time_signature,4,4,24,8,0,1,0,,,,,,,
4,set_tempo,,,,,4,1,0,521739,,,,,,
396,note_on,,,,,396,0,1,,,0,,,39,82
408,control_change,,,,,12,0,1,,,0,64,127,,
436,note_off,,,,,28,0,1,,,0,,,39,64
684,note_on,,,,,248,0,1,,,0,,,61,87
684,note_on,,,,,0,0,1,,,0,,,53,69
686,note_on,,,,,2,0,1,,,0,,,56,68
796,note_off,,,,,110,0,1,,,0,,,56,64
798,note_off,,,,,2,0,1,,,0,,,53,64
1028,note_off,,,,,230,0,1,,,0,,,61,64
1080,note_on,,,,,52,0,1,,,0,,,56,61
1088,note_on,,,,,8,0,1,,,0,,,60,56
1090,note_on,,,,,2,0,1,,,0,,,51,61
1102,note_off,,,,,12,0,1,,,0,,,60,64
1104,note_off,,,,,2,0,1,,,0,,,51,64
1108,note_off,,,,,4,0,1,,,0,,,56,64
1152,note_on,,,,,44,0,1,,,0,,,56,71
1154,note_on,,,,,2,0,1,,,0,,,60,76
1158,note_on,,,,,4,0,1,,,0,,,51,76
1168,control_change,,,,,10,0,1,,,0,64,0,,
1304,control_change,,,,,136,0,1,,,0,64,127,,
1358,note_off,,,,,54,0,1,,,0,,,56,64
1372,note_off,,,,,14,0,1,,,0,,,51,64
1660,note_on,,,,,288,0,1,,,0,,,53,49
1668,note_on,,,,,8,0,1,,,0,,,58,53
1676,note_on,,,,,8,0,1,,,0,,,49,45
1682,note_off,,,,,6,0,1,,,0,,,60,64
1698,control_change,,,,,16,0,1,,,0,64,0,,
1908,control_change,,,,,210,0,1,,,0,64,127,,
1938,note_off,,,,,30,0,1,,,0,,,53,64
1968,note_off,,,,,30,0,1,,,0,,,49,64
2064,note_off,,,,,96,0,1,,,0,,,58,64
2240,control_change,,,,,176,0,1,,,0,64,0,,
2316,note_on,,,,,76,0,1,,,0,,,39,77
2344,control_change,,,,,28,0,1,,,0,64,127,,
2354,note_off,,,,,10,0,1,,,0,,,39,64
2502,note_on,,,,,148,0,1,,,0,,,49,67
2542,note_on,,,,,40,0,1,,,0,,,56,63
2560,note_on,,,,,18,0,1,,,0,,,58,68
2564,note_off,,,,,4,0,1,,,0,,,49,64
2588,note_on,,,,,24,0,1,,,0,,,65,82
2596,note_off,,,,,8,0,1,,,0,,,56,64
2608,note_off,,,,,12,0,1,,,0,,,58,64
2780,note_on,,,,,172,0,1,,,0,,,61,65
2782,note_on,,,,,2,0,1,,,0,,,56,69
2792,note_on,,,,,10,0,1,,,0,,,53,60
2804,note_off,,,,,12,0,1,,,0,,,65,64
2820,control_change,,,,,16,0,1,,,0,64,0,,
2886,note_off,,,,,66,0,1,,,0,,,56,64
2886,control_change,,,,,0,0,1,,,0,64,127,,
2888,note_off,,,,,2,0,1,,,0,,,53,64
3108,note_on,,,,,220,0,1,,,0,,,60,63
3112,note_on,,,,,4,0,1,,,0,,,56,58
3114,note_on,,,,,2,0,1,,,0,,,51,56
3126,note_off,,,,,12,0,1,,,0,,,61,64
3134,note_off,,,,,8,0,1,,,0,,,51,64
3138,note_off,,,,,4,0,1,,,0,,,56,64
3148,note_off,,,,,10,0,1,,,0,,,60,64
3214,note_on,,,,,66,0,1,,,0,,,56,61
3216,control_change,,,,,2,0,1,,,0,64,0,,
3218,note_on,,,,,2,0,1,,,0,,,60,59
3220,note_on,,,,,2,0,1,,,0,,,51,62
3402,control_change,,,,,182,0,1,,,0,64,127,,
3524,note_off,,,,,122,0,1,,,0,,,56,64
3536,note_off,,,,,12,0,1,,,0,,,51,64
3920,note_off,,,,,384,0,1,,,0,,,60,64
3924,note_on,,,,,4,0,1,,,0,,,59,53
3926,note_on,,,,,2,0,1,,,0,,,56,34
3932,note_on,,,,,6,0,1,,,0,,,53,31
3934,note_on,,,,,2,0,1,,,0,,,50,47
3956,control_change,,,,,22,0,1,,,0,64,0,,
4132,control_change,,,,,176,0,1,,,0,64,127,,
4220,note_off,,,,,88,0,1,,,0,,,56,64
4226,note_off,,,,,6,0,1,,,0,,,53,64
4250,note_off,,,,,24,0,1,,,0,,,50,64
4266,note_off,,,,,16,0,1,,,0,,,59,64
4424,control_change,,,,,158,0,1,,,0,64,0,,
4502,note_on,,,,,78,0,1,,,0,,,39,88
4520,control_change,,,,,18,0,1,,,0,64,127,,
4544,note_off,,,,,24,0,1,,,0,,,39,64
4886,note_on,,,,,342,0,1,,,0,,,56,75
4892,note_on,,,,,6,0,1,,,0,,,71,75
4894,note_on,,,,,2,0,1,,,0,,,62,75
4896,note_on,,,,,2,0,1,,,0,,,65,75
5252,note_off,,,,,356,0,1,,,0,,,71,64
5274,note_off,,,,,22,0,1,,,0,,,65,64
5284,note_off,,,,,10,0,1,,,0,,,62,64
5288,note_off,,,,,4,0,1,,,0,,,56,64
5738,control_change,,,,,450,0,1,,,0,64,0,,
