tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,key,note,velocity
0,control_change,,,,,0,0,1,,,0,0,0,,,,
0,key_signature,,,,,0,1,2,,,,,,,C,,
0,key_signature,,,,,0,1,1,,,,,,,C,,
0,end_of_track,,,,,0,1,16,,,,,,,,,
0,end_of_track,,,,,0,1,15,,,,,,,,,
0,end_of_track,,,,,0,1,14,,,,,,,,,
0,end_of_track,,,,,0,1,13,,,,,,,,,
0,end_of_track,,,,,0,1,12,,,,,,,,,
0,end_of_track,,,,,0,1,11,,,,,,,,,
0,end_of_track,,,,,0,1,10,,,,,,,,,
0,end_of_track,,,,,0,1,9,,,,,,,,,
0,end_of_track,,,,,0,1,8,,,,,,,,,
0,end_of_track,,,,,0,1,7,,,,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,,,,
0,key_signature,,,,,0,1,3,,,,,,,C,,
0,key_signature,,,,,0,1,4,,,,,,,C,,
0,key_signature,,,,,0,1,5,,,,,,,C,,
0,key_signature,,,,,0,1,6,,,,,,,C,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,time_signature,4,4,96,8,0,1,0,,,,,,,,,
0,set_tempo,,,,,0,1,0,,480000,,,,,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 65)",,,,,,,,
0,program_change,,,,,0,0,1,,,,,0,0,,,
0,track_name,,,,,0,1,2,,,,,,,,,
0,key_signature,,,,,0,1,16,,,,,,,C,,
0,end_of_track,,,,,0,1,3,,,,,,,,,
0,key_signature,,,,,0,1,15,,,,,,,C,,
0,key_signature,,,,,0,1,13,,,,,,,C,,
0,key_signature,,,,,0,1,12,,,,,,,C,,
0,key_signature,,,,,0,1,11,,,,,,,C,,
0,key_signature,,,,,0,1,10,,,,,,,C,,
0,key_signature,,,,,0,1,9,,,,,,,C,,
0,key_signature,,,,,0,1,8,,,,,,,C,,
0,key_signature,,,,,0,1,7,,,,,,,C,,
0,key_signature,,,,,0,1,14,,,,,,,C,,
0,end_of_track,,,,,0,1,2,,,,,,,,,
0,track_name,,,,,0,1,3,,,,,,,,,
0,control_change,,,,,0,0,1,,,7,127,0,,,,
0,control_change,,,,,0,0,1,,,91,127,0,,,,
36,control_change,,,,,36,0,1,,,91,127,0,,,,
1692,note_on,,,,,1656,0,1,,,,,0,,,51,53
1764,control_change,,,,,72,0,1,,,64,24,0,,,,
1780,control_change,,,,,16,0,1,,,64,56,0,,,,
1796,control_change,,,,,16,0,1,,,64,72,0,,,,
1808,control_change,,,,,12,0,1,,,64,88,0,,,,
1824,control_change,,,,,16,0,1,,,64,127,0,,,,
2120,note_on,,,,,296,0,1,,,,,0,,,60,67
2180,control_change,,,,,0,0,1,,,64,104,0,,,,
2180,note_on,,,,,60,0,1,,,,,0,,,44,40
2196,control_change,,,,,16,0,1,,,64,72,0,,,,
2212,control_change,,,,,16,0,1,,,64,24,0,,,,
2228,control_change,,,,,16,0,1,,,64,0,0,,,,
2252,note_off,,,,,24,0,1,,,,,0,,,51,0
2340,note_on,,,,,88,0,1,,,,,0,,,63,44
2352,control_change,,,,,12,0,1,,,64,104,0,,,,
2368,control_change,,,,,16,0,1,,,64,127,0,,,,
2424,note_off,,,,,56,0,1,,,,,0,,,60,0
2440,note_off,,,,,16,0,1,,,,,0,,,44,0
2456,note_off,,,,,16,0,1,,,,,0,,,63,0
2500,note_on,,,,,44,0,1,,,,,0,,,68,50
