tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,control_change,0,0,3,,,,,,,,,2,7,127,,
0,control_change,0,0,3,,,,,,,,,2,10,30,,
0,control_change,0,0,4,,,,,,,,,3,7,127,,
0,control_change,0,0,4,,,,,,,,,3,10,30,,
0,control_change,0,0,4,,,,,,,,,3,64,127,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,F,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,note_on,0,0,4,,,,,,,,,3,,,36,36
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,program_change,0,0,3,,,,,,,,0,2,,,,
0,program_change,0,0,4,,,,,,,,0,3,,,,
0,set_tempo,0,1,0,,,,,,750000,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,1,10,97,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,10,97,,
30,note_on,0,0,4,,,,,,,,,3,,,37,36
30,note_on,0,0,4,,,,,,,,,3,,,48,36
30,note_on,30,0,4,,,,,,,,,3,,,36,0
60,note_on,0,0,4,,,,,,,,,3,,,36,36
60,note_on,0,0,4,,,,,,,,,3,,,37,0
60,note_on,30,0,4,,,,,,,,,3,,,48,0
90,note_on,0,0,4,,,,,,,,,3,,,48,36
90,note_on,0,0,4,,,,,,,,,3,,,37,36
90,note_on,30,0,4,,,,,,,,,3,,,36,0
120,note_on,30,0,4,,,,,,,,,3,,,48,0
120,note_on,0,0,4,,,,,,,,,3,,,37,0
120,note_on,0,0,4,,,,,,,,,3,,,36,36
150,note_on,0,0,4,,,,,,,,,3,,,37,36
150,note_on,30,0,4,,,,,,,,,3,,,36,0
150,note_on,0,0,4,,,,,,,,,3,,,48,36
180,note_on,30,0,4,,,,,,,,,3,,,48,0
180,note_on,0,0,4,,,,,,,,,3,,,37,0
180,note_on,0,0,4,,,,,,,,,3,,,36,36
210,note_on,30,0,4,,,,,,,,,3,,,36,0
210,note_on,0,0,4,,,,,,,,,3,,,37,36
210,note_on,0,0,4,,,,,,,,,3,,,48,36
240,note_on,30,0,4,,,,,,,,,3,,,48,0
240,note_on,0,0,4,,,,,,,,,3,,,37,0
240,note_on,0,0,4,,,,,,,,,3,,,36,36
270,note_on,30,0,4,,,,,,,,,3,,,36,0
