tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,control_change,0,0,3,,,,,,,,,2,7,127,,
0,control_change,0,0,3,,,,,,,,,2,10,30,,
0,control_change,0,0,4,,,,,,,,,3,7,127,,
0,control_change,0,0,4,,,,,,,,,3,10,30,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,Db,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,program_change,0,0,3,,,,,,,,0,2,,,,
0,program_change,0,0,4,,,,,,,,0,3,,,,
0,set_tempo,0,1,0,,,,,,612245,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,2,4,24,8,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,1,10,97,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,10,97,,
20,note_on,20,0,1,,,,,,,,,0,,,56,62
39,note_on,19,0,1,,,,,,,,,0,,,65,62
40,note_on,1,0,1,,,,,,,,,0,,,56,0
59,note_on,19,0,1,,,,,,,,,0,,,65,0
60,note_on,1,0,1,,,,,,,,,0,,,61,62
80,note_on,20,0,1,,,,,,,,,0,,,61,0
80,note_on,0,0,1,,,,,,,,,0,,,68,62
99,note_on,19,0,1,,,,,,,,,0,,,65,62
100,note_on,1,0,1,,,,,,,,,0,,,68,0
119,note_on,19,0,1,,,,,,,,,0,,,65,0
120,note_on,1,0,1,,,,,,,,,0,,,73,88
180,note_on,60,0,1,,,,,,,,,0,,,73,0
180,note_on,0,0,1,,,,,,,,,0,,,68,62
210,note_on,30,0,1,,,,,,,,,0,,,68,0
260,note_on,50,0,1,,,,,,,,,0,,,56,62
279,note_on,19,0,1,,,,,,,,,0,,,65,62
280,note_on,1,0,1,,,,,,,,,0,,,56,0
299,note_on,19,0,1,,,,,,,,,0,,,65,0
300,note_on,1,0,1,,,,,,,,,0,,,61,62
320,note_on,0,0,1,,,,,,,,,0,,,68,62
320,note_on,20,0,1,,,,,,,,,0,,,61,0
339,note_on,19,0,1,,,,,,,,,0,,,65,62
340,note_on,1,0,1,,,,,,,,,0,,,68,0
359,note_on,19,0,1,,,,,,,,,0,,,65,0
360,note_on,1,0,1,,,,,,,,,0,,,73,80
360,note_on,360,0,3,,,,,,,,,2,,,68,49
360,note_on,0,0,1,,,,,,,,,0,,,77,88
