tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,note_on,0,0,1,,,,,,,,,0,,,63,49
0,note_on,0,0,1,,,,,,,,,0,,,72,49
0,note_on,0,0,4,,,,,,,,,3,,,44,49
0,track_name,0,1,3,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,Ab,,,,,,,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,program_change,0,0,3,,,,,,,,0,2,,,,
0,program_change,0,0,4,,,,,,,,0,3,,,,
0,set_tempo,0,1,0,,,,,,2068966,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,2,4,24,8,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,1,10,97,,
0,control_change,0,0,3,,,,,,,,,2,7,127,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,control_change,0,0,4,,,,,,,,,3,10,30,,
0,control_change,0,0,4,,,,,,,,,3,7,127,,
0,control_change,0,0,3,,,,,,,,,2,10,30,,
0,control_change,0,0,1,,,,,,,,,0,10,97,,
20,control_change,20,0,3,,,,,,,,,2,64,127,,
20,note_on,0,0,3,,,,,,,,,2,,,51,36
39,note_on,19,0,3,,,,,,,,,2,,,56,36
40,note_on,1,0,3,,,,,,,,,2,,,51,0
59,note_on,19,0,3,,,,,,,,,2,,,56,0
60,note_on,0,0,1,,,,,,,,,0,,,63,0
60,note_on,1,0,3,,,,,,,,,2,,,51,36
60,note_on,0,0,1,,,,,,,,,0,,,63,49
60,note_on,0,0,1,,,,,,,,,0,,,72,49
60,note_on,60,0,1,,,,,,,,,0,,,72,0
80,note_on,20,0,3,,,,,,,,,2,,,51,0
80,note_on,0,0,3,,,,,,,,,2,,,56,36
99,control_change,19,0,3,,,,,,,,,2,64,0,,
99,note_on,0,0,3,,,,,,,,,2,,,51,36
100,note_on,1,0,3,,,,,,,,,2,,,56,0
105,note_on,0,0,1,,,,,,,,,0,,,72,49
105,note_on,0,0,1,,,,,,,,,0,,,63,49
105,note_on,0,0,1,,,,,,,,,0,,,63,0
105,note_on,45,0,1,,,,,,,,,0,,,72,0
119,note_on,19,0,3,,,,,,,,,2,,,51,0
120,note_on,0,0,1,,,,,,,,,0,,,63,49
120,note_on,15,0,1,,,,,,,,,0,,,72,0
120,note_on,0,0,4,,,,,,,,,3,,,44,49
120,note_on,120,0,4,,,,,,,,,3,,,44,0
120,note_on,0,0,1,,,,,,,,,0,,,63,0
120,note_on,0,0,1,,,,,,,,,0,,,72,49
140,control_change,21,0,3,,,,,,,,,2,64,127,,
140,note_on,0,0,3,,,,,,,,,2,,,51,36
159,note_on,19,0,3,,,,,,,,,2,,,55,36
160,note_on,1,0,3,,,,,,,,,2,,,51,0
179,note_on,19,0,3,,,,,,,,,2,,,55,0
180,note_on,1,0,3,,,,,,,,,2,,,51,36
200,note_on,20,0,3,,,,,,,,,2,,,51,0
200,note_on,0,0,3,,,,,,,,,2,,,55,36
210,note_on,0,0,1,,,,,,,,,0,,,61,49
210,note_on,0,0,1,,,,,,,,,0,,,70,49
210,note_on,90,0,1,,,,,,,,,0,,,72,0
210,note_on,0,0,1,,,,,,,,,0,,,63,0
219,control_change,19,0,3,,,,,,,,,2,64,0,,
219,note_on,0,0,3,,,,,,,,,2,,,51,36
220,note_on,1,0,3,,,,,,,,,2,,,55,0
239,note_on,19,0,3,,,,,,,,,2,,,51,0
240,note_on,30,0,1,,,,,,,,,0,,,70,0
240,note_on,0,0,1,,,,,,,,,0,,,61,49
240,note_on,120,0,4,,,,,,,,,3,,,44,0
240,note_on,0,0,1,,,,,,,,,0,,,70,49
240,note_on,0,0,4,,,,,,,,,3,,,44,49
240,note_on,0,0,1,,,,,,,,,0,,,61,0
260,note_on,0,0,3,,,,,,,,,2,,,51,36
260,control_change,21,0,3,,,,,,,,,2,64,127,,
270,note_on,0,0,1,,,,,,,,,0,,,60,49
270,note_on,0,0,1,,,,,,,,,0,,,61,0
270,note_on,0,0,1,,,,,,,,,0,,,68,49
270,note_on,30,0,1,,,,,,,,,0,,,70,0
279,note_on,19,0,3,,,,,,,,,2,,,56,36
280,note_on,1,0,3,,,,,,,,,2,,,51,0
299,note_on,19,0,3,,,,,,,,,2,,,56,0
300,note_on,1,0,3,,,,,,,,,2,,,51,36
300,note_on,0,0,1,,,,,,,,,0,,,59,49
300,note_on,0,0,1,,,,,,,,,0,,,67,49
300,note_on,30,0,1,,,,,,,,,0,,,68,0
300,note_on,0,0,1,,,,,,,,,0,,,60,0
320,note_on,0,0,3,,,,,,,,,2,,,56,36
320,note_on,20,0,3,,,,,,,,,2,,,51,0
330,note_on,0,0,1,,,,,,,,,0,,,60,49
330,note_on,0,0,1,,,,,,,,,0,,,68,49
330,note_on,0,0,1,,,,,,,,,0,,,59,0
330,note_on,30,0,1,,,,,,,,,0,,,67,0
339,control_change,19,0,3,,,,,,,,,2,64,0,,
339,note_on,0,0,3,,,,,,,,,2,,,51,36
340,note_on,1,0,3,,,,,,,,,2,,,56,0
359,note_on,19,0,3,,,,,,,,,2,,,51,0
360,note_on,120,0,4,,,,,,,,,3,,,44,0
360,note_on,0,0,1,,,,,,,,,0,,,63,49
360,note_on,30,0,1,,,,,,,,,0,,,68,0
360,note_on,0,0,1,,,,,,,,,0,,,61,49
360,note_on,0,0,4,,,,,,,,,3,,,44,49
360,note_on,0,0,1,,,,,,,,,0,,,60,0
380,note_on,0,0,3,,,,,,,,,2,,,51,36
380,control_change,21,0,3,,,,,,,,,2,64,127,,
399,note_on,19,0,3,,,,,,,,,2,,,55,36
400,note_on,1,0,3,,,,,,,,,2,,,51,0
419,note_on,19,0,3,,,,,,,,,2,,,55,0
420,note_on,1,0,3,,,,,,,,,2,,,51,36
440,note_on,0,0,3,,,,,,,,,2,,,55,36
440,note_on,20,0,3,,,,,,,,,2,,,51,0
459,control_change,19,0,3,,,,,,,,,2,64,0,,
459,note_on,0,0,3,,,,,,,,,2,,,51,36
460,note_on,1,0,3,,,,,,,,,2,,,55,0
479,note_on,19,0,3,,,,,,,,,2,,,51,0
480,note_on,0,0,1,,,,,,,,,0,,,72,62
480,note_on,0,0,1,,,,,,,,,0,,,61,0
480,note_on,0,0,1,,,,,,,,,0,,,63,62
480,note_on,0,0,4,,,,,,,,,3,,,44,49
480,note_on,120,0,4,,,,,,,,,3,,,44,0
480,note_on,0,0,1,,,,,,,,,0,,,60,62
480,note_on,120,0,1,,,,,,,,,0,,,63,0
500,note_on,0,0,3,,,,,,,,,2,,,51,36
500,control_change,21,0,3,,,,,,,,,2,64,127,,
519,note_on,19,0,3,,,,,,,,,2,,,56,36
520,note_on,1,0,3,,,,,,,,,2,,,51,0
539,note_on,19,0,3,,,,,,,,,2,,,56,0
540,note_on,0,0,1,,,,,,,,,0,,,63,75
540,note_on,0,0,1,,,,,,,,,0,,,63,0
540,note_on,1,0,3,,,,,,,,,2,,,51,49
540,note_on,0,0,1,,,,,,,,,0,,,60,0
540,note_on,60,0,1,,,,,,,,,0,,,72,0
540,note_on,0,0,1,,,,,,,,,0,,,72,75
560,note_on,0,0,3,,,,,,,,,2,,,56,49
560,note_on,20,0,3,,,,,,,,,2,,,51,0
579,note_on,0,0,3,,,,,,,,,2,,,51,49
579,control_change,19,0,3,,,,,,,,,2,64,0,,
580,note_on,1,0,3,,,,,,,,,2,,,56,0
585,note_on,0,0,1,,,,,,,,,0,,,63,0
585,note_on,0,0,1,,,,,,,,,0,,,63,75
585,note_on,0,0,1,,,,,,,,,0,,,72,75
585,note_on,45,0,1,,,,,,,,,0,,,72,0
599,note_on,19,0,3,,,,,,,,,2,,,51,0
600,note_on,15,0,1,,,,,,,,,0,,,72,0
600,control_change,1,0,3,,,,,,,,,2,64,127,,
600,note_on,120,0,4,,,,,,,,,3,,,44,0
600,note_on,0,0,1,,,,,,,,,0,,,75,88
600,note_on,0,0,1,,,,,,,,,0,,,66,88
600,note_on,0,0,1,,,,,,,,,0,,,63,0
600,note_on,0,0,3,,,,,,,,,2,,,44,62
620,note_on,0,0,3,,,,,,,,,2,,,56,62
620,note_on,20,0,3,,,,,,,,,2,,,44,0
639,note_on,19,0,3,,,,,,,,,2,,,60,62
640,note_on,1,0,3,,,,,,,,,2,,,56,0
659,note_on,19,0,3,,,,,,,,,2,,,60,0
660,note_on,1,0,3,,,,,,,,,2,,,56,62
680,note_on,0,0,3,,,,,,,,,2,,,60,62
680,note_on,20,0,3,,,,,,,,,2,,,56,0
690,note_on,0,0,1,,,,,,,,,0,,,65,75
690,note_on,0,0,1,,,,,,,,,0,,,66,0
690,note_on,90,0,1,,,,,,,,,0,,,75,0
690,note_on,0,0,1,,,,,,,,,0,,,73,75
699,note_on,0,0,3,,,,,,,,,2,,,61,62
699,control_change,19,0,3,,,,,,,,,2,64,0,,
700,note_on,1,0,3,,,,,,,,,2,,,60,0
