tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,control_change,0,0,2,,,,,,,,,1,64,127,,
0,control_change,0,0,3,,,,,,,,,2,7,127,,
0,control_change,0,0,3,,,,,,,,,2,10,30,,
0,control_change,0,0,3,,,,,,,,,2,64,127,,
0,control_change,0,0,4,,,,,,,,,3,7,127,,
0,control_change,0,0,4,,,,,,,,,3,10,30,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,Ab,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,note_on,0,0,2,,,,,,,,,1,,,63,49
0,note_on,0,0,3,,,,,,,,,2,,,44,49
0,track_name,0,1,3,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,program_change,0,0,3,,,,,,,,0,2,,,,
0,program_change,0,0,4,,,,,,,,0,3,,,,
0,set_tempo,0,1,0,,,,,,869565,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,6,8,12,8,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,1,10,97,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,10,97,,
0,control_change,0,0,1,,,,,,,,,0,64,127,,
30,note_on,30,0,1,,,,,,,,,0,,,75,49
34,note_on,4,0,1,,,,,,,,,0,,,75,0
60,note_on,0,0,3,,,,,,,,,2,,,51,49
60,note_on,0,0,3,,,,,,,,,2,,,59,49
60,note_on,0,0,3,,,,,,,,,2,,,56,49
60,note_on,60,0,3,,,,,,,,,2,,,44,0
60,note_on,26,0,1,,,,,,,,,0,,,75,62
60,note_on,0,0,2,,,,,,,,,1,,,63,62
60,note_on,60,0,2,,,,,,,,,1,,,63,0
90,note_on,0,0,1,,,,,,,,,0,,,73,62
90,note_on,30,0,1,,,,,,,,,0,,,75,0
94,note_on,4,0,1,,,,,,,,,0,,,73,0
120,note_on,26,0,1,,,,,,,,,0,,,73,75
120,note_on,60,0,3,,,,,,,,,2,,,59,0
120,note_on,60,0,2,,,,,,,,,1,,,63,0
120,note_on,0,0,3,,,,,,,,,2,,,51,0
120,note_on,0,0,3,,,,,,,,,2,,,51,62
120,note_on,0,0,3,,,,,,,,,2,,,56,0
120,note_on,0,0,2,,,,,,,,,1,,,63,75
120,note_on,0,0,3,,,,,,,,,2,,,56,62
120,note_on,0,0,3,,,,,,,,,2,,,59,62
150,note_on,0,0,1,,,,,,,,,0,,,71,75
150,note_on,30,0,1,,,,,,,,,0,,,73,0
154,note_on,4,0,1,,,,,,,,,0,,,71,0
180,note_on,0,0,2,,,,,,,,,1,,,63,75
180,note_on,0,0,3,,,,,,,,,2,,,51,0
180,note_on,26,0,1,,,,,,,,,0,,,71,75
180,note_on,0,0,3,,,,,,,,,2,,,51,62
180,note_on,0,0,3,,,,,,,,,2,,,56,0
180,note_on,0,0,3,,,,,,,,,2,,,56,62
180,note_on,60,0,3,,,,,,,,,2,,,59,0
180,note_on,60,0,2,,,,,,,,,1,,,63,0
180,note_on,0,0,3,,,,,,,,,2,,,59,62
210,note_on,0,0,1,,,,,,,,,0,,,70,75
210,note_on,30,0,1,,,,,,,,,0,,,71,0
214,note_on,4,0,1,,,,,,,,,0,,,70,0
240,note_on,0,0,3,,,,,,,,,2,,,56,0
240,note_on,0,0,3,,,,,,,,,2,,,51,0
240,note_on,0,0,3,,,,,,,,,2,,,51,49
240,note_on,0,0,3,,,,,,,,,2,,,59,49
240,note_on,26,0,1,,,,,,,,,0,,,70,62
240,note_on,60,0,3,,,,,,,,,2,,,59,0
240,note_on,0,0,3,,,,,,,,,2,,,56,49
270,note_on,30,0,1,,,,,,,,,0,,,70,0
270,note_on,0,0,1,,,,,,,,,0,,,68,62
274,note_on,4,0,1,,,,,,,,,0,,,68,0
300,note_on,120,0,2,,,,,,,,,1,,,63,0
300,note_on,26,0,1,,,,,,,,,0,,,68,49
300,note_on,60,0,3,,,,,,,,,2,,,59,0
300,note_on,0,0,3,,,,,,,,,2,,,51,0
300,note_on,0,0,3,,,,,,,,,2,,,51,49
300,note_on,0,0,3,,,,,,,,,2,,,56,0
300,note_on,0,0,3,,,,,,,,,2,,,56,49
300,note_on,0,0,3,,,,,,,,,2,,,59,49
330,note_on,0,0,1,,,,,,,,,0,,,63,49
330,note_on,30,0,1,,,,,,,,,0,,,68,0
334,note_on,4,0,1,,,,,,,,,0,,,63,0
360,note_on,0,0,3,,,,,,,,,2,,,56,0
360,note_on,60,0,3,,,,,,,,,2,,,59,0
360,note_on,0,0,3,,,,,,,,,2,,,51,0
360,note_on,0,0,3,,,,,,,,,2,,,44,49
360,note_on,60,0,2,,,,,,,,,1,,,63,49
390,note_on,56,0,1,,,,,,,,,0,,,75,49
394,note_on,4,0,1,,,,,,,,,0,,,75,0
420,note_on,0,0,3,,,,,,,,,2,,,56,62
420,note_on,26,0,1,,,,,,,,,0,,,75,62
420,note_on,0,0,3,,,,,,,,,2,,,59,62
420,note_on,0,0,3,,,,,,,,,2,,,51,62
420,note_on,0,0,2,,,,,,,,,1,,,63,62
420,note_on,60,0,3,,,,,,,,,2,,,44,0
420,note_on,60,0,2,,,,,,,,,1,,,63,0
450,note_on,30,0,1,,,,,,,,,0,,,75,0
450,note_on,0,0,1,,,,,,,,,0,,,73,62
454,note_on,4,0,1,,,,,,,,,0,,,73,0
480,note_on,0,0,2,,,,,,,,,1,,,63,75
480,note_on,26,0,1,,,,,,,,,0,,,73,75
480,note_on,0,0,3,,,,,,,,,2,,,51,62
480,note_on,0,0,3,,,,,,,,,2,,,56,0
480,note_on,60,0,3,,,,,,,,,2,,,59,0
480,note_on,0,0,3,,,,,,,,,2,,,56,62
480,note_on,0,0,3,,,,,,,,,2,,,51,0
480,note_on,0,0,3,,,,,,,,,2,,,59,62
480,note_on,60,0,2,,,,,,,,,1,,,63,0
510,note_on,30,0,1,,,,,,,,,0,,,73,0
510,note_on,0,0,1,,,,,,,,,0,,,71,75
514,note_on,4,0,1,,,,,,,,,0,,,71,0
540,note_on,60,0,3,,,,,,,,,2,,,59,0
540,note_on,0,0,3,,,,,,,,,2,,,56,0
540,note_on,0,0,3,,,,,,,,,2,,,56,62
540,note_on,60,0,2,,,,,,,,,1,,,63,0
540,note_on,0,0,3,,,,,,,,,2,,,59,62
540,note_on,0,0,3,,,,,,,,,2,,,51,62
540,note_on,0,0,2,,,,,,,,,1,,,63,75
540,note_on,0,0,3,,,,,,,,,2,,,51,0
540,note_on,26,0,1,,,,,,,,,0,,,71,75
570,note_on,30,0,1,,,,,,,,,0,,,71,0
570,note_on,0,0,1,,,,,,,,,0,,,70,75
574,note_on,4,0,1,,,,,,,,,0,,,70,0
600,note_on,0,0,3,,,,,,,,,2,,,59,62
600,note_on,60,0,3,,,,,,,,,2,,,59,0
600,note_on,0,0,3,,,,,,,,,2,,,51,62
600,note_on,0,0,3,,,,,,,,,2,,,56,0
600,note_on,0,0,3,,,,,,,,,2,,,56,62
600,note_on,26,0,1,,,,,,,,,0,,,70,62
600,note_on,0,0,3,,,,,,,,,2,,,51,0
630,note_on,0,0,1,,,,,,,,,0,,,68,62
630,note_on,30,0,1,,,,,,,,,0,,,70,0
634,note_on,4,0,1,,,,,,,,,0,,,68,0
660,note_on,120,0,2,,,,,,,,,1,,,63,0
660,control_change,0,0,2,,,,,,,,,1,64,0,,
660,note_on,0,0,3,,,,,,,,,2,,,56,49
660,note_on,0,0,3,,,,,,,,,2,,,56,0
660,note_on,0,0,3,,,,,,,,,2,,,51,49
660,note_on,0,0,3,,,,,,,,,2,,,51,0
660,note_on,26,0,1,,,,,,,,,0,,,68,49
660,control_change,0,0,3,,,,,,,,,2,64,0,,
660,note_on,0,0,3,,,,,,,,,2,,,59,49
660,note_on,60,0,3,,,,,,,,,2,,,59,0
690,note_on,30,0,1,,,,,,,,,0,,,68,0
690,control_change,0,0,1,,,,,,,,,0,64,0,,
690,note_on,0,0,1,,,,,,,,,0,,,63,49
694,note_on,4,0,1,,,,,,,,,0,,,63,0
720,control_change,60,0,2,,,,,,,,,1,64,127,,
720,note_on,0,0,2,,,,,,,,,1,,,63,49
720,note_on,0,0,3,,,,,,,,,2,,,39,49
