tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,control_change,0,0,2,,,,,,,,,1,64,127,,
0,control_change,0,0,3,,,,,,,,,2,7,127,,
0,control_change,0,0,3,,,,,,,,,2,10,30,,
0,control_change,0,0,3,,,,,,,,,2,64,127,,
0,control_change,0,0,4,,,,,,,,,3,7,127,,
0,control_change,0,0,4,,,,,,,,,3,10,30,,
0,control_change,0,0,4,,,,,,,,,3,64,127,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,Bb,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,control_change,0,0,2,,,,,,,,,1,10,97,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,note_on,0,0,4,,,,,,,,,3,,,46,36
0,track_name,0,1,3,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,program_change,0,0,3,,,,,,,,0,2,,,,
0,program_change,0,0,4,,,,,,,,0,3,,,,
0,set_tempo,0,1,0,,,,,,2068966,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,note_on,0,0,4,,,,,,,,,3,,,34,36
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,10,97,,
0,control_change,0,0,1,,,,,,,,,0,64,127,,
20,note_on,20,0,3,,,,,,,,,2,,,53,36
20,note_on,0,0,1,,,,,,,,,0,,,65,49
20,note_on,20,0,1,,,,,,,,,0,,,62,49
20,note_on,0,0,3,,,,,,,,,2,,,58,36
24,note_on,4,0,3,,,,,,,,,2,,,58,0
24,note_on,0,0,3,,,,,,,,,2,,,53,0
24,note_on,4,0,1,,,,,,,,,0,,,65,0
24,note_on,0,0,1,,,,,,,,,0,,,62,0
39,note_on,0,0,1,,,,,,,,,0,,,70,49
39,note_on,15,0,3,,,,,,,,,2,,,50,36
39,note_on,15,0,1,,,,,,,,,0,,,65,49
39,note_on,0,0,3,,,,,,,,,2,,,53,36
43,note_on,4,0,3,,,,,,,,,2,,,53,0
43,note_on,0,0,1,,,,,,,,,0,,,65,0
43,note_on,0,0,3,,,,,,,,,2,,,50,0
43,note_on,4,0,1,,,,,,,,,0,,,70,0
60,note_on,0,0,1,,,,,,,,,0,,,74,49
60,note_on,0,0,4,,,,,,,,,3,,,53,36
60,note_on,60,0,2,,,,,,,,,1,,,62,75
60,note_on,17,0,3,,,,,,,,,2,,,58,36
60,note_on,60,0,4,,,,,,,,,3,,,46,0
60,note_on,0,0,4,,,,,,,,,3,,,34,0
60,note_on,17,0,1,,,,,,,,,0,,,65,49
64,note_on,4,0,1,,,,,,,,,0,,,74,0
64,note_on,4,0,3,,,,,,,,,2,,,58,0
64,note_on,0,0,1,,,,,,,,,0,,,65,0
80,note_on,0,0,3,,,,,,,,,2,,,62,36
80,note_on,16,0,3,,,,,,,,,2,,,58,36
80,note_on,16,0,1,,,,,,,,,0,,,65,49
80,note_on,0,0,1,,,,,,,,,0,,,70,49
84,note_on,4,0,3,,,,,,,,,2,,,62,0
84,note_on,0,0,3,,,,,,,,,2,,,58,0
84,note_on,4,0,1,,,,,,,,,0,,,70,0
84,note_on,0,0,1,,,,,,,,,0,,,65,0
99,note_on,15,0,1,,,,,,,,,0,,,62,49
99,note_on,15,0,3,,,,,,,,,2,,,53,36
99,note_on,0,0,1,,,,,,,,,0,,,65,49
99,note_on,0,0,3,,,,,,,,,2,,,58,36
103,note_on,4,0,3,,,,,,,,,2,,,58,0
103,note_on,0,0,3,,,,,,,,,2,,,53,0
103,note_on,4,0,1,,,,,,,,,0,,,65,0
103,note_on,0,0,1,,,,,,,,,0,,,62,0
120,note_on,60,0,2,,,,,,,,,1,,,62,0
120,note_on,60,0,4,,,,,,,,,3,,,53,0
120,note_on,0,0,4,,,,,,,,,3,,,34,49
120,note_on,0,0,4,,,,,,,,,3,,,46,49
140,note_on,0,0,3,,,,,,,,,2,,,58,49
140,note_on,37,0,3,,,,,,,,,2,,,53,49
140,note_on,0,0,1,,,,,,,,,0,,,65,62
140,note_on,37,0,1,,,,,,,,,0,,,62,62
144,note_on,4,0,1,,,,,,,,,0,,,65,0
144,note_on,4,0,3,,,,,,,,,2,,,58,0
144,note_on,0,0,1,,,,,,,,,0,,,62,0
144,note_on,0,0,3,,,,,,,,,2,,,53,0
159,note_on,15,0,3,,,,,,,,,2,,,50,49
159,note_on,0,0,1,,,,,,,,,0,,,70,62
159,note_on,0,0,3,,,,,,,,,2,,,53,49
159,note_on,15,0,1,,,,,,,,,0,,,65,62
163,note_on,4,0,1,,,,,,,,,0,,,70,0
163,note_on,4,0,3,,,,,,,,,2,,,53,0
163,note_on,0,0,1,,,,,,,,,0,,,65,0
163,note_on,0,0,3,,,,,,,,,2,,,50,0
180,note_on,60,0,4,,,,,,,,,3,,,46,0
180,note_on,0,0,1,,,,,,,,,0,,,74,62
180,note_on,0,0,4,,,,,,,,,3,,,53,49
180,note_on,17,0,1,,,,,,,,,0,,,65,62
180,note_on,17,0,3,,,,,,,,,2,,,58,49
180,note_on,0,0,4,,,,,,,,,3,,,34,0
180,note_on,60,0,2,,,,,,,,,1,,,62,88
184,note_on,4,0,1,,,,,,,,,0,,,74,0
184,note_on,0,0,1,,,,,,,,,0,,,65,0
184,note_on,4,0,3,,,,,,,,,2,,,58,0
200,note_on,16,0,1,,,,,,,,,0,,,65,62
200,note_on,0,0,1,,,,,,,,,0,,,70,62
200,note_on,16,0,3,,,,,,,,,2,,,58,49
200,note_on,0,0,3,,,,,,,,,2,,,62,49
204,note_on,0,0,3,,,,,,,,,2,,,58,0
204,note_on,4,0,1,,,,,,,,,0,,,70,0
204,note_on,4,0,3,,,,,,,,,2,,,62,0
204,note_on,0,0,1,,,,,,,,,0,,,65,0
219,note_on,0,0,3,,,,,,,,,2,,,58,49
219,note_on,15,0,1,,,,,,,,,0,,,62,62
219,note_on,0,0,1,,,,,,,,,0,,,65,62
219,note_on,15,0,3,,,,,,,,,2,,,53,49
223,note_on,4,0,1,,,,,,,,,0,,,65,0
223,note_on,0,0,3,,,,,,,,,2,,,53,0
223,note_on,0,0,1,,,,,,,,,0,,,62,0
223,note_on,4,0,3,,,,,,,,,2,,,58,0
240,note_on,0,0,4,,,,,,,,,3,,,34,62
240,note_on,0,0,4,,,,,,,,,3,,,46,62
240,note_on,60,0,2,,,,,,,,,1,,,62,0
240,note_on,60,0,4,,,,,,,,,3,,,53,0
260,note_on,0,0,1,,,,,,,,,0,,,70,75
260,note_on,37,0,3,,,,,,,,,2,,,58,62
260,note_on,0,0,3,,,,,,,,,2,,,62,62
260,note_on,37,0,1,,,,,,,,,0,,,65,75
264,note_on,0,0,3,,,,,,,,,2,,,58,0
264,note_on,0,0,1,,,,,,,,,0,,,65,0
264,note_on,4,0,3,,,,,,,,,2,,,62,0
264,note_on,4,0,1,,,,,,,,,0,,,70,0
279,note_on,0,0,1,,,,,,,,,0,,,74,75
279,note_on,15,0,3,,,,,,,,,2,,,53,62
279,note_on,15,0,1,,,,,,,,,0,,,70,75
279,note_on,0,0,3,,,,,,,,,2,,,58,62
283,note_on,0,0,1,,,,,,,,,0,,,70,0
283,note_on,0,0,3,,,,,,,,,2,,,53,0
283,note_on,4,0,1,,,,,,,,,0,,,74,0
283,note_on,4,0,3,,,,,,,,,2,,,58,0
300,note_on,0,0,1,,,,,,,,,0,,,77,75
300,note_on,17,0,3,,,,,,,,,2,,,62,62
300,note_on,60,0,2,,,,,,,,,1,,,65,101
300,note_on,60,0,4,,,,,,,,,3,,,46,0
300,note_on,17,0,1,,,,,,,,,0,,,70,75
300,note_on,0,0,4,,,,,,,,,3,,,58,62
300,note_on,0,0,4,,,,,,,,,3,,,34,0
304,note_on,0,0,1,,,,,,,,,0,,,70,0
304,note_on,4,0,3,,,,,,,,,2,,,62,0
304,note_on,4,0,1,,,,,,,,,0,,,77,0
320,note_on,16,0,1,,,,,,,,,0,,,70,75
320,note_on,16,0,3,,,,,,,,,2,,,62,62
320,note_on,0,0,1,,,,,,,,,0,,,74,75
320,note_on,0,0,3,,,,,,,,,2,,,65,62
324,note_on,0,0,3,,,,,,,,,2,,,62,0
324,note_on,4,0,3,,,,,,,,,2,,,65,0
