tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,control_change,0,0,1,,,,,,,,0,7,127,,
0,note_on,0,0,3,,,,,,,,2,,,40,90
0,note_on,0,0,4,,,,,,,,3,,,43,90
0,track_name,0,1,3,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,0,0,,,,
0,program_change,0,0,2,,,,,,,0,1,,,,
0,program_change,0,0,3,,,,,,,0,2,,,,
0,program_change,0,0,4,,,,,,,0,3,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,
0,set_tempo,0,1,0,,,,,,300000,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,time_signature,0,1,0,3,8,12,8,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,0,10,110,,
0,control_change,0,0,2,,,,,,,,1,7,127,,
0,control_change,0,0,2,,,,,,,,1,10,80,,
0,control_change,0,0,3,,,,,,,,2,7,127,,
0,control_change,0,0,3,,,,,,,,2,10,32,,
0,control_change,0,0,4,,,,,,,,3,7,127,,
0,control_change,0,0,4,,,,,,,,3,10,20,,
40,note_on,40,0,4,,,,,,,,3,,,45,73
80,note_on,40,0,4,,,,,,,,3,,,49,84
108,note_on,108,0,3,,,,,,,,2,,,40,0
114,note_on,34,0,4,,,,,,,,3,,,43,0
120,note_on,6,0,4,,,,,,,,3,,,52,93
134,note_on,14,0,4,,,,,,,,3,,,45,0
154,note_on,20,0,4,,,,,,,,3,,,49,0
174,note_on,20,0,4,,,,,,,,3,,,52,0
240,note_on,132,0,3,,,,,,,,2,,,42,90
240,note_on,66,0,4,,,,,,,,3,,,54,90
348,note_on,108,0,4,,,,,,,,3,,,54,0
348,note_on,108,0,3,,,,,,,,2,,,42,0
480,note_on,132,0,3,,,,,,,,2,,,43,90
480,note_on,132,0,4,,,,,,,,3,,,55,90
588,note_on,108,0,4,,,,,,,,3,,,55,0
588,note_on,108,0,3,,,,,,,,2,,,43,0
720,note_on,132,0,4,,,,,,,,3,,,45,73
720,time_signature,720,1,0,6,8,12,8,,,,,,,,
720,note_on,132,0,3,,,,,,,,2,,,43,90
760,note_on,40,0,4,,,,,,,,3,,,48,85
800,note_on,40,0,4,,,,,,,,3,,,55,94
828,note_on,108,0,3,,,,,,,,2,,,43,0
834,note_on,34,0,4,,,,,,,,3,,,45,0
854,note_on,20,0,4,,,,,,,,3,,,48,0
874,note_on,20,0,4,,,,,,,,3,,,55,0
960,note_on,86,0,4,,,,,,,,3,,,54,90
960,note_on,132,0,3,,,,,,,,2,,,42,90
1068,note_on,108,0,3,,,,,,,,2,,,42,0
1068,note_on,108,0,4,,,,,,,,3,,,54,0
1200,note_on,132,0,3,,,,,,,,2,,,40,90
1200,note_on,132,0,4,,,,,,,,3,,,52,90
1308,note_on,108,0,4,,,,,,,,3,,,52,0
1308,note_on,108,0,3,,,,,,,,2,,,40,0
1440,note_on,132,0,4,,,,,,,,3,,,43,82
1440,note_on,132,0,3,,,,,,,,2,,,40,90
1480,note_on,40,0,4,,,,,,,,3,,,46,87
1520,note_on,40,0,4,,,,,,,,3,,,49,94
1538,note_on,18,0,4,,,,,,,,3,,,49,0
1548,note_on,108,0,3,,,,,,,,2,,,40,0
1554,note_on,16,0,4,,,,,,,,3,,,43,0
1560,note_on,6,0,4,,,,,,,,3,,,49,99
1560,note_on,0,0,4,,,,,,,,3,,,52,99
1574,note_on,14,0,4,,,,,,,,3,,,46,0
1614,note_on,40,0,4,,,,,,,,3,,,52,0
1614,note_on,0,0,4,,,,,,,,3,,,49,0
1680,note_on,132,0,3,,,,,,,,2,,,42,90
1680,note_on,66,0,4,,,,,,,,3,,,54,90
1788,note_on,108,0,3,,,,,,,,2,,,42,0
1788,note_on,108,0,4,,,,,,,,3,,,54,0
1920,note_on,132,0,4,,,,,,,,3,,,55,90
1920,note_on,132,0,3,,,,,,,,2,,,43,90
2028,note_on,108,0,3,,,,,,,,2,,,43,0
2028,note_on,108,0,4,,,,,,,,3,,,55,0
2160,note_on,132,0,3,,,,,,,,2,,,43,90
2160,note_on,132,0,4,,,,,,,,3,,,45,87
2200,note_on,40,0,4,,,,,,,,3,,,48,94
2240,note_on,40,0,4,,,,,,,,3,,,55,100
2268,note_on,108,0,3,,,,,,,,2,,,43,0
2274,note_on,34,0,4,,,,,,,,3,,,45,0
2294,note_on,20,0,4,,,,,,,,3,,,48,0
2314,note_on,20,0,4,,,,,,,,3,,,55,0
2400,note_on,86,0,4,,,,,,,,3,,,54,90
2400,note_on,132,0,3,,,,,,,,2,,,42,90
2508,note_on,108,0,4,,,,,,,,3,,,54,0
2508,note_on,108,0,3,,,,,,,,2,,,42,0
2640,note_on,132,0,4,,,,,,,,3,,,52,90
2640,note_on,132,0,3,,,,,,,,2,,,40,90
2748,note_on,108,0,3,,,,,,,,2,,,40,0
2748,note_on,108,0,4,,,,,,,,3,,,52,0
2880,note_on,132,0,3,,,,,,,,2,,,40,90
2880,note_on,132,0,4,,,,,,,,3,,,43,75
2920,note_on,40,0,4,,,,,,,,3,,,46,81
2960,note_on,40,0,4,,,,,,,,3,,,49,89
2978,note_on,18,0,4,,,,,,,,3,,,49,0
2988,note_on,108,0,3,,,,,,,,2,,,40,0
2994,note_on,16,0,4,,,,,,,,3,,,43,0
3000,note_on,6,0,4,,,,,,,,3,,,49,96
3000,note_on,0,0,4,,,,,,,,3,,,52,96
3014,note_on,14,0,4,,,,,,,,3,,,46,0
3054,note_on,40,0,4,,,,,,,,3,,,52,0
3054,note_on,0,0,4,,,,,,,,3,,,49,0
3120,note_on,132,0,3,,,,,,,,2,,,42,90
3120,note_on,66,0,4,,,,,,,,3,,,54,90
3228,note_on,108,0,3,,,,,,,,2,,,42,0
3228,note_on,108,0,4,,,,,,,,3,,,54,0
3360,note_on,132,0,3,,,,,,,,2,,,43,90
3360,note_on,132,0,4,,,,,,,,3,,,55,90
3468,note_on,108,0,3,,,,,,,,2,,,43,0
3468,note_on,108,0,4,,,,,,,,3,,,55,0
3600,note_on,132,0,3,,,,,,,,2,,,43,90
3600,note_on,132,0,4,,,,,,,,3,,,47,73
3640,note_on,40,0,4,,,,,,,,3,,,50,79
3680,note_on,40,0,4,,,,,,,,3,,,53,85
3708,note_on,108,0,3,,,,,,,,2,,,43,0
3714,note_on,34,0,4,,,,,,,,3,,,47,0
3720,note_on,6,0,4,,,,,,,,3,,,55,92
3734,note_on,14,0,4,,,,,,,,3,,,50,0
3754,note_on,20,0,4,,,,,,,,3,,,53,0
3774,note_on,20,0,4,,,,,,,,3,,,55,0
3840,note_on,132,0,3,,,,,,,,2,,,45,90
3840,note_on,66,0,4,,,,,,,,3,,,57,99
3948,note_on,108,0,4,,,,,,,,3,,,57,0
3948,note_on,108,0,3,,,,,,,,2,,,45,0
4080,note_on,132,0,3,,,,,,,,2,,,47,90
4080,set_tempo,3360,1,0,,,,,,298924,,,,,,
4080,note_on,132,0,4,,,,,,,,3,,,59,90
4128,set_tempo,48,1,0,,,,,,299880,,,,,,
4176,set_tempo,48,1,0,,,,,,300842,,,,,,
4188,note_on,108,0,4,,,,,,,,3,,,59,0
4188,note_on,108,0,3,,,,,,,,2,,,47,0
4224,set_tempo,48,1,0,,,,,,301811,,,,,,
4272,set_tempo,48,1,0,,,,,,302786,,,,,,
4320,set_tempo,48,1,0,,,,,,303767,,,,,,
4320,note_on,132,0,4,,,,,,,,3,,,51,89
4320,note_on,132,0,3,,,,,,,,2,,,48,90
4360,note_on,40,0,4,,,,,,,,3,,,55,93
4368,set_tempo,48,1,0,,,,,,304754,,,,,,
4400,note_on,40,0,4,,,,,,,,3,,,60,98
4416,set_tempo,48,1,0,,,,,,306748,,,,,,
4428,note_on,108,0,3,,,,,,,,2,,,48,0
4434,note_on,34,0,4,,,,,,,,3,,,51,0
4454,note_on,20,0,4,,,,,,,,3,,,55,0
4464,set_tempo,48,1,0,,,,,,307755,,,,,,
4474,note_on,20,0,4,,,,,,,,3,,,60,0
4512,set_tempo,48,1,0,,,,,,308769,,,,,,
4560,set_tempo,48,1,0,,,,,,309789,,,,,,
