tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,control_change,0,0,1,,,,,,,,0,7,127,,
0,track_name,0,1,3,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,0,0,,,,
0,program_change,0,0,2,,,,,,,0,1,,,,
0,program_change,0,0,3,,,,,,,0,2,,,,
0,program_change,0,0,4,,,,,,,0,3,,,,
0,set_tempo,0,1,0,,,,,,428571,,,,,,
0,note_on,0,0,1,,,,,,,,0,,,60,76
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,time_signature,0,1,0,9,8,12,8,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,0,10,110,,
0,control_change,0,0,2,,,,,,,,1,7,127,,
0,control_change,0,0,2,,,,,,,,1,10,90,,
0,control_change,0,0,3,,,,,,,,2,7,127,,
0,control_change,0,0,3,,,,,,,,2,10,50,,
0,control_change,0,0,4,,,,,,,,3,7,127,,
0,control_change,0,0,4,,,,,,,,3,10,20,,
120,note_on,120,0,1,,,,,,,,0,,,60,0
240,note_on,120,0,1,,,,,,,,0,,,62,76
360,note_on,120,0,1,,,,,,,,0,,,62,0
480,note_on,120,0,1,,,,,,,,0,,,64,76
540,note_on,60,0,1,,,,,,,,0,,,64,0
720,note_on,180,0,1,,,,,,,,0,,,64,76
840,note_on,120,0,1,,,,,,,,0,,,64,0
960,note_on,120,0,1,,,,,,,,0,,,65,76
1080,note_on,120,0,1,,,,,,,,0,,,65,0
1200,note_on,120,0,1,,,,,,,,0,,,67,76
1260,note_on,60,0,1,,,,,,,,0,,,67,0
1440,note_on,180,0,1,,,,,,,,0,,,67,76
1560,note_on,120,0,1,,,,,,,,0,,,67,0
1680,note_on,120,0,1,,,,,,,,0,,,69,76
1800,note_on,120,0,1,,,,,,,,0,,,69,0
1920,note_on,120,0,1,,,,,,,,0,,,71,76
2028,note_on,108,0,1,,,,,,,,0,,,71,0
2160,note_on,2160,0,3,,,,,,,,2,,,48,74
2160,control_change,132,0,1,,,,,,,,0,64,127,,
2160,note_on,0,0,1,,,,,,,,0,,,72,76
2280,note_on,120,0,3,,,,,,,,2,,,48,0
2400,note_on,120,0,3,,,,,,,,2,,,50,76
2520,note_on,120,0,3,,,,,,,,2,,,50,0
2639,note_on,479,0,1,,,,,,,,0,,,72,0
2640,note_on,120,0,3,,,,,,,,2,,,52,78
2640,note_on,1,0,1,,,,,,,,0,,,67,76
2700,note_on,60,0,3,,,,,,,,2,,,52,0
2879,note_on,239,0,1,,,,,,,,0,,,67,0
2880,note_on,1,0,1,,,,,,,,0,,,72,79
2880,note_on,180,0,3,,,,,,,,2,,,52,80
2910,note_on,30,0,1,,,,,,,,0,,,72,0
2940,note_on,30,0,1,,,,,,,,0,,,74,82
2970,note_on,30,0,1,,,,,,,,0,,,74,0
3000,note_on,120,0,3,,,,,,,,2,,,52,0
3000,note_on,30,0,1,,,,,,,,0,,,72,86
3030,note_on,30,0,1,,,,,,,,0,,,72,0
3060,note_on,30,0,1,,,,,,,,0,,,71,85
3119,note_on,59,0,1,,,,,,,,0,,,71,0
3120,note_on,120,0,3,,,,,,,,2,,,53,81
3120,note_on,0,0,1,,,,,,,,0,,,72,81
3120,control_change,1,0,1,,,,,,,,0,64,0,,
3240,note_on,120,0,3,,,,,,,,2,,,53,0
3359,note_on,239,0,1,,,,,,,,0,,,72,0
3360,note_on,120,0,3,,,,,,,,2,,,55,84
3360,note_on,1,0,1,,,,,,,,0,,,67,76
3420,note_on,60,0,3,,,,,,,,2,,,55,0
3510,control_change,150,0,1,,,,,,,,0,64,127,,
3599,note_on,89,0,1,,,,,,,,0,,,67,0
3600,note_on,1,0,1,,,,,,,,0,,,74,82
3600,note_on,180,0,3,,,,,,,,2,,,55,86
3630,note_on,30,0,1,,,,,,,,0,,,74,0
3660,note_on,30,0,1,,,,,,,,0,,,76,87
3690,note_on,30,0,1,,,,,,,,0,,,76,0
3720,note_on,120,0,3,,,,,,,,2,,,55,0
3720,note_on,30,0,1,,,,,,,,0,,,74,92
3750,note_on,30,0,1,,,,,,,,0,,,74,0
3780,note_on,30,0,1,,,,,,,,0,,,72,90
3839,note_on,59,0,1,,,,,,,,0,,,72,0
3840,note_on,1,0,1,,,,,,,,0,,,74,85
3840,note_on,120,0,3,,,,,,,,2,,,57,87
3960,note_on,120,0,3,,,,,,,,2,,,57,0
4020,control_change,180,0,1,,,,,,,,0,64,0,,
4079,note_on,59,0,1,,,,,,,,0,,,74,0
4080,note_on,120,0,3,,,,,,,,2,,,59,90
4080,note_on,1,0,1,,,,,,,,0,,,67,76
4188,note_on,108,0,3,,,,,,,,2,,,59,0
4296,note_on,216,0,1,,,,,,,,0,,,67,0
4320,note_on,24,0,1,,,,,,,,0,,,76,76
4320,note_on,132,0,3,,,,,,,,2,,,60,91
4559,note_on,239,0,1,,,,,,,,0,,,76,0
4560,note_on,1,0,1,,,,,,,,0,,,72,72
4679,note_on,119,0,1,,,,,,,,0,,,72,0
4680,note_on,1,0,1,,,,,,,,0,,,74,75
4799,note_on,479,0,3,,,,,,,,2,,,60,0
4799,note_on,119,0,1,,,,,,,,0,,,74,0
4800,note_on,1,0,3,,,,,,,,2,,,55,76
4800,note_on,1,0,1,,,,,,,,0,,,76,79
4919,note_on,119,0,1,,,,,,,,0,,,76,0
4920,note_on,1,0,1,,,,,,,,0,,,77,82
4995,control_change,195,0,3,,,,,,,,2,64,127,,
5039,note_on,44,0,3,,,,,,,,2,,,55,0
