tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,channel,control,value,program,note,velocity
0,channel_prefix,,0,1,5,,,,,,,1,,,,,
0,midi_port,,0,1,7,,,,,,0,,,,,,
0,track_name,,0,1,6,,,,,,,,,,,,
0,note_on,,0,0,5,,,,,,,1,,,,56,92
0,note_on,,0,0,5,,,,,,,1,,,,85,42
0,note_on,,0,0,6,,,,,,,2,,,,56,92
0,note_on,,0,0,6,,,,,,,2,,,,85,42
0,program_change,,0,0,5,,,,,,,1,,,0,,
0,program_change,,0,0,6,,,,,,,2,,,1,,
0,set_tempo,342857,0,1,0,,,,,,,,,,,,
0,time_signature,,0,1,0,2,4,24,8,,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,
0,track_name,,0,1,4,,,,,,,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,
0,midi_port,,0,1,6,,,,,,0,,,,,,
0,midi_port,,0,1,5,,,,,,0,,,,,,
0,track_name,,0,1,7,,,,,,,,,,,,
0,midi_port,,0,1,3,,,,,,0,,,,,,
0,end_of_track,,0,1,7,,,,,,,,,,,,
0,key_signature,,0,1,0,,,,,C,,,,,,,
0,end_of_track,,0,1,3,,,,,,,,,,,,
0,midi_port,,0,1,4,,,,,,0,,,,,,
0,end_of_track,,0,1,1,,,,,,,,,,,,
0,end_of_track,,0,1,0,,,,,,,,,,,,
0,end_of_track,,0,1,2,,,,,,,,,,,,
0,control_change,,0,0,6,,,,,,,2,7,127,,,
0,control_change,,0,0,5,,,,,,,1,10,104,,,
0,control_change,,0,0,5,,,,,,,1,7,127,,,
0,channel_prefix,,0,1,6,,,,,,,2,,,,,
0,midi_port,,0,1,1,,,,,,0,,,,,,
0,midi_port,,0,1,2,,,,,,0,,,,,,
0,control_change,,0,0,6,,,,,,,2,10,24,,,
0,end_of_track,,0,1,4,,,,,,,,,,,,
35,note_off,,35,0,5,,,,,,,1,,,,85,0
35,note_off,,35,0,6,,,,,,,2,,,,85,0
105,note_on,,70,0,6,,,,,,,2,,,,73,54
105,note_on,,70,0,5,,,,,,,1,,,,73,54
160,note_off,,55,0,5,,,,,,,1,,,,73,0
160,note_off,,55,0,6,,,,,,,2,,,,73,0
225,note_on,,65,0,6,,,,,,,2,,,,73,72
225,note_on,,65,0,5,,,,,,,1,,,,73,72
285,note_off,,60,0,5,,,,,,,1,,,,73,0
285,note_off,,60,0,6,,,,,,,2,,,,73,0
335,note_on,,50,0,6,,,,,,,2,,,,73,80
335,note_on,,50,0,5,,,,,,,1,,,,73,80
380,note_off,,45,0,5,,,,,,,1,,,,56,0
380,note_off,,45,0,6,,,,,,,2,,,,56,0
400,note_off,,20,0,6,,,,,,,2,,,,73,0
400,note_off,,20,0,5,,,,,,,1,,,,73,0
455,note_on,,55,0,5,,,,,,,1,,,,85,80
455,note_on,,55,0,6,,,,,,,2,,,,85,80
470,note_on,,15,0,6,,,,,,,2,,,,71,80
470,note_on,,15,0,5,,,,,,,1,,,,71,80
480,note_on,,0,0,5,,,,,,,1,,,,65,78
480,note_on,,10,0,6,,,,,,,2,,,,61,78
480,note_on,,10,0,5,,,,,,,1,,,,61,78
480,note_on,,0,0,6,,,,,,,2,,,,65,78
510,note_off,,30,0,5,,,,,,,1,,,,85,0
510,note_off,,30,0,6,,,,,,,2,,,,85,0
555,note_on,,45,0,6,,,,,,,2,,,,73,72
555,note_on,,45,0,5,,,,,,,1,,,,73,72
625,note_off,,70,0,6,,,,,,,2,,,,73,0
625,note_off,,70,0,5,,,,,,,1,,,,73,0
685,note_on,,60,0,5,,,,,,,1,,,,73,64
685,note_on,,60,0,6,,,,,,,2,,,,73,64
730,note_off,,45,0,5,,,,,,,1,,,,73,0
730,note_off,,45,0,6,,,,,,,2,,,,73,0
800,note_on,,70,0,5,,,,,,,1,,,,73,80
800,note_on,,70,0,6,,,,,,,2,,,,73,80
865,note_off,,65,0,6,,,,,,,2,,,,73,0
865,note_off,,65,0,5,,,,,,,1,,,,73,0
870,note_off,,5,0,5,,,,,,,1,,,,71,0
870,note_off,,5,0,6,,,,,,,2,,,,71,0
890,note_off,,20,0,5,,,,,,,1,,,,65,0
890,note_off,,20,0,6,,,,,,,2,,,,65,0
900,note_off,,10,0,5,,,,,,,1,,,,61,0
900,note_off,,10,0,6,,,,,,,2,,,,61,0
925,note_on,,25,0,6,,,,,,,2,,,,49,92
925,note_on,,25,0,5,,,,,,,1,,,,49,92
940,note_on,,15,0,6,,,,,,,2,,,,85,62
940,note_on,,15,0,5,,,,,,,1,,,,85,62
1000,note_off,,60,0,5,,,,,,,1,,,,85,0
1000,note_off,,60,0,6,,,,,,,2,,,,85,0
1045,note_off,,45,0,5,,,,,,,1,,,,49,0
1045,note_off,,45,0,6,,,,,,,2,,,,49,0
1060,note_on,,15,0,6,,,,,,,2,,,,73,80
1060,note_on,,15,0,5,,,,,,,1,,,,73,80
1120,note_off,,60,0,5,,,,,,,1,,,,73,0
1120,note_off,,60,0,6,,,,,,,2,,,,73,0
1175,note_on,,55,0,5,,,,,,,1,,,,69,76
1175,note_on,,55,0,6,,,,,,,2,,,,69,76
1180,note_on,,5,0,5,,,,,,,1,,,,61,72
1180,note_on,,0,0,6,,,,,,,2,,,,65,72
1180,note_on,,5,0,6,,,,,,,2,,,,61,72
1180,note_on,,0,0,5,,,,,,,1,,,,65,72
1190,note_on,,10,0,5,,,,,,,1,,,,73,64
1190,note_on,,10,0,6,,,,,,,2,,,,73,64
1225,note_off,,35,0,5,,,,,,,1,,,,73,0
1225,note_off,,35,0,6,,,,,,,2,,,,73,0
1295,note_on,,70,0,5,,,,,,,1,,,,73,91
1295,note_on,,70,0,6,,,,,,,2,,,,73,91
1305,note_off,,10,0,5,,,,,,,1,,,,65,0
1305,note_off,,10,0,6,,,,,,,2,,,,65,0
1305,note_off,,0,0,6,,,,,,,2,,,,61,0
1305,note_off,,0,0,5,,,,,,,1,,,,61,0
1310,note_off,,5,0,5,,,,,,,1,,,,69,0
1310,note_off,,5,0,6,,,,,,,2,,,,69,0
1365,note_off,,55,0,5,,,,,,,1,,,,73,0
1365,note_off,,55,0,6,,,,,,,2,,,,73,0
1425,note_on,,60,0,6,,,,,,,2,,,,85,61
1425,note_on,,60,0,5,,,,,,,1,,,,85,61
1430,note_on,,5,0,6,,,,,,,2,,,,59,92
1430,note_on,,5,0,5,,,,,,,1,,,,59,92
1460,note_off,,30,0,5,,,,,,,1,,,,85,0
1460,note_off,,30,0,6,,,,,,,2,,,,85,0
1520,note_off,,60,0,6,,,,,,,2,,,,59,0
1520,note_off,,60,0,5,,,,,,,1,,,,59,0
1540,note_on,,20,0,6,,,,,,,2,,,,73,71
1540,note_on,,20,0,5,,,,,,,1,,,,73,71
1620,note_off,,80,0,5,,,,,,,1,,,,73,0
1620,note_off,,80,0,6,,,,,,,2,,,,73,0
1660,note_on,,0,0,5,,,,,,,1,,,,65,84
1660,note_on,,0,0,5,,,,,,,1,,,,68,88
1660,note_on,,0,0,6,,,,,,,2,,,,65,84
1660,note_on,,0,0,6,,,,,,,2,,,,68,88
1660,note_on,,40,0,5,,,,,,,1,,,,73,71
1660,note_on,,40,0,6,,,,,,,2,,,,73,71
1665,note_on,,5,0,6,,,,,,,2,,,,61,72
1665,note_on,,5,0,5,,,,,,,1,,,,61,72
1725,note_off,,60,0,5,,,,,,,1,,,,73,0
1725,note_off,,60,0,6,,,,,,,2,,,,73,0
1740,note_off,,15,0,5,,,,,,,1,,,,65,0
1740,note_off,,15,0,6,,,,,,,2,,,,65,0
1745,note_off,,5,0,5,,,,,,,1,,,,68,0
1745,note_off,,0,0,5,,,,,,,1,,,,61,0
1745,note_off,,5,0,6,,,,,,,2,,,,68,0
1745,note_off,,0,0,6,,,,,,,2,,,,61,0
1770,note_on,,25,0,5,,,,,,,1,,,,73,80
1770,note_on,,25,0,6,,,,,,,2,,,,73,80
1830,note_off,,60,0,5,,,,,,,1,,,,73,0
1830,note_off,,60,0,6,,,,,,,2,,,,73,0
1895,note_on,,65,0,5,,,,,,,1,,,,85,62
1895,note_on,,65,0,6,,,,,,,2,,,,85,62
1910,note_on,,15,0,6,,,,,,,2,,,,54,92
1910,note_on,,15,0,5,,,,,,,1,,,,54,92
1950,note_off,,40,0,5,,,,,,,1,,,,85,0
1950,note_off,,40,0,6,,,,,,,2,,,,85,0
2020,note_on,,70,0,6,,,,,,,2,,,,73,71
2020,note_on,,70,0,5,,,,,,,1,,,,73,71
2085,note_off,,65,0,5,,,,,,,1,,,,73,0
2085,note_off,,65,0,6,,,,,,,2,,,,73,0
2140,note_on,,55,0,6,,,,,,,2,,,,73,59
2140,note_on,,55,0,5,,,,,,,1,,,,73,59
2175,note_off,,35,0,6,,,,,,,2,,,,73,0
2175,note_off,,35,0,5,,,,,,,1,,,,73,0
2250,note_on,,75,0,5,,,,,,,1,,,,73,80
2250,note_on,,75,0,6,,,,,,,2,,,,73,80
2320,note_off,,70,0,6,,,,,,,2,,,,73,0
2320,note_off,,70,0,5,,,,,,,1,,,,73,0
2390,note_on,,0,0,5,,,,,,,1,,,,85,61
2390,note_on,,70,0,6,,,,,,,2,,,,69,88
2390,note_on,,0,0,6,,,,,,,2,,,,85,61
2390,note_on,,0,0,6,,,,,,,2,,,,66,72
2390,note_on,,70,0,5,,,,,,,1,,,,69,88
2390,note_on,,0,0,6,,,,,,,2,,,,61,80
2390,note_on,,0,0,5,,,,,,,1,,,,66,72
2390,note_on,,0,0,5,,,,,,,1,,,,61,80
2425,note_off,,35,0,5,,,,,,,1,,,,54,0
2425,note_off,,35,0,6,,,,,,,2,,,,54,0
2435,note_off,,10,0,5,,,,,,,1,,,,85,0
2435,note_off,,10,0,6,,,,,,,2,,,,85,0
2510,note_on,,75,0,5,,,,,,,1,,,,73,71
2510,note_on,,75,0,6,,,,,,,2,,,,73,71
2580,note_off,,70,0,5,,,,,,,1,,,,73,0
2580,note_off,,70,0,6,,,,,,,2,,,,73,0
2635,note_on,,55,0,5,,,,,,,1,,,,73,72
