tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,note,velocity,control,value
0,time_signature,4,4,24,8,0,1,0,,,,,,,
0,program_change,,,,,0,0,1,,0,0,,,,
0,end_of_track,,,,,0,1,0,,,,,,,
0,set_tempo,,,,,0,1,0,500000,,,,,,
0,note_on,,,,,0,0,1,,,0,83,80,,
1,note_on,,,,,0,0,1,,,0,73,35,,
1,note_on,,,,,1,0,1,,,0,80,38,,
1,note_on,,,,,0,0,1,,,0,88,45,,
3,note_on,,,,,2,0,1,,,0,76,34,,
23,note_off,,,,,20,0,1,,,0,83,64,,
29,note_off,,,,,6,0,1,,,0,80,64,,
32,note_off,,,,,3,0,1,,,0,88,64,,
33,note_off,,,,,0,0,1,,,0,73,64,,
33,note_off,,,,,1,0,1,,,0,76,64,,
105,note_on,,,,,72,0,1,,,0,74,69,,
107,note_on,,,,,2,0,1,,,0,77,64,,
108,note_on,,,,,1,0,1,,,0,80,66,,
111,note_on,,,,,3,0,1,,,0,83,83,,
113,note_on,,,,,2,0,1,,,0,89,72,,
130,note_off,,,,,17,0,1,,,0,74,64,,
131,note_off,,,,,1,0,1,,,0,77,64,,
141,note_off,,,,,10,0,1,,,0,89,64,,
144,note_off,,,,,3,0,1,,,0,80,64,,
145,note_off,,,,,1,0,1,,,0,83,64,,
297,note_on,,,,,0,0,1,,,0,73,43,,
297,note_on,,,,,152,0,1,,,0,80,61,,
298,note_on,,,,,0,0,1,,,0,83,87,,
298,note_on,,,,,0,0,1,,,0,76,44,,
298,note_on,,,,,1,0,1,,,0,88,63,,
320,note_off,,,,,22,0,1,,,0,80,64,,
322,note_off,,,,,2,0,1,,,0,83,64,,
326,note_off,,,,,4,0,1,,,0,88,64,,
326,note_off,,,,,0,0,1,,,0,73,64,,
327,note_off,,,,,1,0,1,,,0,76,64,,
408,note_on,,,,,81,0,1,,,0,89,75,,
409,note_on,,,,,1,0,1,,,0,77,64,,
413,note_on,,,,,4,0,1,,,0,80,61,,
415,note_on,,,,,2,0,1,,,0,83,80,,
417,note_on,,,,,2,0,1,,,0,74,58,,
432,note_off,,,,,15,0,1,,,0,77,64,,
437,note_off,,,,,5,0,1,,,0,83,64,,
438,note_off,,,,,1,0,1,,,0,74,64,,
446,note_off,,,,,8,0,1,,,0,80,64,,
450,note_off,,,,,4,0,1,,,0,89,64,,
598,note_on,,,,,148,0,1,,,0,80,62,,
599,note_on,,,,,1,0,1,,,0,73,47,,
599,note_on,,,,,0,0,1,,,0,85,61,,
602,note_on,,,,,3,0,1,,,0,70,51,,
604,note_on,,,,,2,0,1,,,0,77,57,,
624,note_off,,,,,20,0,1,,,0,80,64,,
627,note_off,,,,,3,0,1,,,0,77,64,,
