tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,key,note,velocity,channel,control,value
0,time_signature,4,4,96,8,0,1,0,,,,,,,,
0,end_of_track,,,,,0,1,7,,,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,,,
0,key_signature,,,,,0,1,4,,,C,,,,,
0,key_signature,,,,,0,1,5,,,C,,,,,
0,end_of_track,,,,,0,1,5,,,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,,,
0,end_of_track,,,,,0,1,3,,,,,,,,
0,end_of_track,,,,,0,1,2,,,,,,,,
0,end_of_track,,,,,0,1,10,,,,,,,,
0,key_signature,,,,,0,1,3,,,C,,,,,
0,key_signature,,,,,0,1,6,,,C,,,,,
0,end_of_track,,,,,0,1,8,,,,,,,,
0,key_signature,,,,,0,1,7,,,C,,,,,
0,key_signature,,,,,0,1,1,,,C,,,,,
0,key_signature,,,,,0,1,8,,,C,,,,,
0,key_signature,,,,,0,1,9,,,C,,,,,
0,key_signature,,,,,0,1,10,,,C,,,,,
0,key_signature,,,,,0,1,2,,,C,,,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 65)",,,,,,,
0,set_tempo,,,,,0,1,0,,416666,,,,,,
0,end_of_track,,,,,0,1,9,,,,,,,,
972,note_on,,,,,972,0,1,,,,39,54,0,,
1024,note_off,,,,,52,0,1,,,,39,0,0,,
1212,note_on,,,,,188,0,1,,,,46,52,0,,
1232,note_off,,,,,20,0,1,,,,46,0,0,,
1440,note_on,,,,,208,0,1,,,,49,60,0,,
1524,note_off,,,,,84,0,1,,,,49,0,0,,
1548,note_on,,,,,24,0,1,,,,53,66,0,,
1588,note_off,,,,,40,0,1,,,,53,0,0,,
1792,note_on,,,,,204,0,1,,,,48,66,0,,
1816,note_off,,,,,24,0,1,,,,48,0,0,,
1904,note_on,,,,,88,0,1,,,,51,54,0,,
1948,note_off,,,,,44,0,1,,,,51,0,0,,
2116,note_on,,,,,168,0,1,,,,46,57,0,,
2204,note_off,,,,,88,0,1,,,,46,0,0,,
2220,note_on,,,,,16,0,1,,,,49,55,0,,
2268,note_off,,,,,48,0,1,,,,49,0,0,,
2468,note_on,,,,,200,0,1,,,,45,58,0,,
2508,note_off,,,,,40,0,1,,,,45,0,0,,
2580,note_on,,,,,72,0,1,,,,48,61,0,,
2600,note_off,,,,,20,0,1,,,,48,0,0,,
2792,note_on,,,,,192,0,1,,,,46,54,0,,
2888,note_off,,,,,96,0,1,,,,46,0,0,,
2896,note_on,,,,,8,0,1,,,,49,55,0,,
2944,note_off,,,,,48,0,1,,,,49,0,0,,
3128,note_on,,,,,184,0,1,,,,45,63,0,,
3200,note_off,,,,,72,0,1,,,,45,0,0,,
3236,note_on,,,,,36,0,1,,,,48,64,0,,
3268,note_off,,,,,32,0,1,,,,48,0,0,,
