tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,control,value,channel,program,note,velocity
0,control_change,,,,,0,0,1,,,,0,0,0,,,
0,track_name,,,,,0,1,2,,,,,,,,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,time_signature,4,4,24,8,0,1,0,,,,,,,,,
0,set_tempo,,,,,0,1,0,,504202,,,,,,,
0,program_change,,,,,0,0,1,,,,,,0,0,,
0,track_name,,,,,0,1,3,,,,,,,,,
0,midi_port,,,,,0,1,4,,,0,,,,,,
0,midi_port,,,,,0,1,3,,,0,,,,,,
0,midi_port,,,,,0,1,2,,,0,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,,,
0,key_signature,,,,,0,1,0,C,,,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,,,,
0,end_of_track,,,,,0,1,3,,,,,,,,,
0,end_of_track,,,,,0,1,2,,,,,,,,,
0,track_name,,,,,0,1,4,,,,,,,,,
0,control_change,,,,,0,0,1,,,,7,125,0,,,
6,set_tempo,,,,,6,1,0,,508475,,,,,,,
10,set_tempo,,,,,4,1,0,,512821,,,,,,,
14,set_tempo,,,,,4,1,0,,517241,,,,,,,
100,note_on,,,,,0,0,1,,,,,,0,,77,48
100,control_change,,,,,100,0,1,,,,67,127,0,,,
101,note_on,,,,,1,0,1,,,,,,0,,80,53
118,control_change,,,,,17,0,1,,,,64,127,0,,,
133,note_on,,,,,15,0,1,,,,,,0,,75,53
153,note_on,,,,,20,0,1,,,,,,0,,80,0
156,note_on,,,,,3,0,1,,,,,,0,,77,0
164,note_on,,,,,8,0,1,,,,,,0,,72,44
170,note_on,,,,,6,0,1,,,,,,0,,75,0
180,note_on,,,,,10,0,1,,,,,,0,,72,0
187,note_on,,,,,7,0,1,,,,,,0,,68,50
211,note_on,,,,,24,0,1,,,,,,0,,75,59
220,note_on,,,,,9,0,1,,,,,,0,,68,0
232,note_on,,,,,12,0,1,,,,,,0,,72,49
248,note_on,,,,,16,0,1,,,,,,0,,72,0
254,note_on,,,,,6,0,1,,,,,,0,,75,0
256,note_on,,,,,2,0,1,,,,,,0,,77,54
258,note_on,,,,,2,0,1,,,,,,0,,80,65
280,note_on,,,,,22,0,1,,,,,,0,,75,47
310,note_on,,,,,30,0,1,,,,,,0,,75,0
311,note_on,,,,,1,0,1,,,,,,0,,77,0
312,note_on,,,,,1,0,1,,,,,,0,,72,47
324,note_on,,,,,12,0,1,,,,,,0,,68,53
328,note_on,,,,,4,0,1,,,,,,0,,72,0
