tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,program_change,0,0,3,,,,,,,,0,2,,,,
0,program_change,0,0,4,,,,,,,,0,3,,,,
0,set_tempo,0,1,0,,,,,,869565,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,1,4,24,8,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,3,10,30,,
0,control_change,0,0,4,,,,,,,,,3,7,127,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,2,10,30,,
0,control_change,0,0,1,,,,,,,,,0,10,97,,
0,control_change,0,0,3,,,,,,,,,2,7,127,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,control_change,0,0,2,,,,,,,,,1,10,97,,
105,note_on,105,0,3,,,,,,,,,2,,,51,36
120,note_on,15,0,3,,,,,,,,,2,,,51,0
120,note_on,0,0,3,,,,,,,,,2,,,52,36
120,time_signature,120,1,0,3,4,24,8,,,,,,,,,
120,note_on,0,0,3,,,,,,,,,2,,,45,36
465,note_on,345,0,3,,,,,,,,,2,,,51,36
480,note_on,0,0,3,,,,,,,,,2,,,52,36
480,note_on,0,0,3,,,,,,,,,2,,,45,36
480,note_on,0,0,3,,,,,,,,,2,,,52,0
480,note_on,0,0,3,,,,,,,,,2,,,45,0
480,note_on,15,0,3,,,,,,,,,2,,,51,0
825,note_on,345,0,3,,,,,,,,,2,,,51,36
840,note_on,0,0,3,,,,,,,,,2,,,45,0
840,note_on,840,0,1,,,,,,,,,0,,,69,49
840,note_on,0,0,3,,,,,,,,,2,,,52,36
840,note_on,0,0,3,,,,,,,,,2,,,52,0
840,note_on,0,0,3,,,,,,,,,2,,,45,36
840,note_on,15,0,3,,,,,,,,,2,,,51,0
870,note_on,30,0,1,,,,,,,,,0,,,69,0
870,note_on,0,0,1,,,,,,,,,0,,,72,49
900,note_on,30,0,1,,,,,,,,,0,,,72,0
900,note_on,0,0,1,,,,,,,,,0,,,71,49
930,note_on,30,0,1,,,,,,,,,0,,,71,0
930,note_on,0,0,1,,,,,,,,,0,,,74,49
960,note_on,0,0,1,,,,,,,,,0,,,72,49
960,note_on,30,0,1,,,,,,,,,0,,,74,0
1020,note_on,60,0,1,,,,,,,,,0,,,72,0
1020,note_on,0,0,1,,,,,,,,,0,,,69,49
1080,note_on,0,0,1,,,,,,,,,0,,,71,49
1080,note_on,60,0,1,,,,,,,,,0,,,69,0
1140,note_on,0,0,1,,,,,,,,,0,,,68,49
1140,note_on,60,0,1,,,,,,,,,0,,,71,0
1185,note_on,345,0,3,,,,,,,,,2,,,51,36
1200,note_on,0,0,3,,,,,,,,,2,,,45,36
1200,note_on,0,0,3,,,,,,,,,2,,,45,0
1200,note_on,0,0,1,,,,,,,,,0,,,69,49
1200,note_on,15,0,3,,,,,,,,,2,,,51,0
1200,note_on,60,0,1,,,,,,,,,0,,,68,0
1200,note_on,0,0,3,,,,,,,,,2,,,52,36
1200,note_on,0,0,3,,,,,,,,,2,,,52,0
1260,note_on,0,0,1,,,,,,,,,0,,,72,75
1260,note_on,60,0,1,,,,,,,,,0,,,69,0
1264,note_on,4,0,1,,,,,,,,,0,,,72,0
1320,note_on,0,0,1,,,,,,,,,0,,,71,75
1320,note_on,0,0,1,,,,,,,,,0,,,68,70
1320,note_on,56,0,1,,,,,,,,,0,,,64,65
1545,note_on,345,0,3,,,,,,,,,2,,,51,36
1560,note_on,0,0,1,,,,,,,,,0,,,68,0
1560,note_on,0,0,3,,,,,,,,,2,,,52,0
1560,note_on,0,0,3,,,,,,,,,2,,,52,36
1560,note_on,15,0,3,,,,,,,,,2,,,51,0
1560,note_on,0,0,1,,,,,,,,,0,,,64,0
1560,note_on,0,0,3,,,,,,,,,2,,,45,36
1560,note_on,0,0,1,,,,,,,,,0,,,69,49
1560,note_on,0,0,3,,,,,,,,,2,,,45,0
1560,note_on,240,0,1,,,,,,,,,0,,,71,0
1620,note_on,0,0,1,,,,,,,,,0,,,72,75
1620,note_on,60,0,1,,,,,,,,,0,,,69,0
1624,note_on,4,0,1,,,,,,,,,0,,,72,0
1680,note_on,0,0,1,,,,,,,,,0,,,71,75
1680,note_on,0,0,1,,,,,,,,,0,,,68,70
1680,note_on,56,0,1,,,,,,,,,0,,,64,65
1905,note_on,345,0,3,,,,,,,,,2,,,51,36
1920,note_on,240,0,1,,,,,,,,,0,,,71,0
1920,note_on,0,0,3,,,,,,,,,2,,,52,36
1920,note_on,0,0,3,,,,,,,,,2,,,52,0
1920,note_on,15,0,3,,,,,,,,,2,,,51,0
1920,note_on,0,0,1,,,,,,,,,0,,,64,0
1920,note_on,0,0,3,,,,,,,,,2,,,45,36
1920,note_on,0,0,1,,,,,,,,,0,,,68,0
1920,note_on,0,0,1,,,,,,,,,0,,,69,49
1920,note_on,0,0,3,,,,,,,,,2,,,45,0
1950,note_on,0,0,1,,,,,,,,,0,,,76,49
1950,note_on,30,0,1,,,,,,,,,0,,,69,0
1980,note_on,30,0,1,,,,,,,,,0,,,76,0
1980,note_on,0,0,1,,,,,,,,,0,,,74,49
2010,note_on,0,0,1,,,,,,,,,0,,,77,49
2010,note_on,30,0,1,,,,,,,,,0,,,74,0
2040,note_on,0,0,1,,,,,,,,,0,,,76,49
2040,note_on,30,0,1,,,,,,,,,0,,,77,0
2100,note_on,60,0,1,,,,,,,,,0,,,76,0
2100,note_on,0,0,1,,,,,,,,,0,,,69,49
2160,note_on,0,0,1,,,,,,,,,0,,,71,49
2160,note_on,60,0,1,,,,,,,,,0,,,69,0
2220,note_on,0,0,1,,,,,,,,,0,,,72,49
2220,note_on,60,0,1,,,,,,,,,0,,,71,0
2280,note_on,360,0,3,,,,,,,,,2,,,52,0
2280,note_on,2280,0,2,,,,,,,,,1,,,62,36
2280,note_on,0,0,1,,,,,,,,,0,,,68,49
2280,note_on,2280,0,4,,,,,,,,,3,,,45,36
2280,note_on,0,0,4,,,,,,,,,3,,,52,36
