tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,control,value,note,velocity
0,control_change,,,,,0,0,1,,,,,0,7,120,,
0,set_tempo,,,,,0,1,0,,857142,,,,,,,
0,program_change,,,,,0,0,3,,,,0,2,,,,
0,program_change,,,,,0,0,2,,,,0,1,,,,
0,program_change,,,,,0,0,1,,,,42,0,,,,
0,midi_port,,,,,0,1,3,,,0,,,,,,
0,midi_port,,,,,0,1,2,,,0,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,,,
0,key_signature,,,,,0,1,0,F,,,,,,,,
0,control_change,,,,,0,0,3,,,,,2,10,64,,
0,control_change,,,,,0,0,3,,,,,2,7,105,,
0,time_signature,3,4,24,8,0,1,0,,,,,,,,,
0,control_change,,,,,0,0,2,,,,,1,7,127,,
0,control_change,,,,,0,0,2,,,,,1,10,64,,
0,control_change,,,,,0,0,1,,,,,0,10,64,,
120,text,,,,,0,1,1,,,,,,,,,
120,text,,,,,120,1,1,,,,,,,,,
120,control_change,,,,,0,0,3,,,,,2,91,88,,
120,control_change,,,,,0,0,3,,,,,2,11,75,,
120,control_change,,,,,0,0,2,,,,,1,11,75,,
120,control_change,,,,,0,0,2,,,,,1,91,88,,
120,text,,,,,0,1,1,,,,,,,,,
120,control_change,,,,,0,0,1,,,,,0,91,88,,
120,text,,,,,0,1,1,,,,,,,,,
120,control_change,,,,,0,0,1,,,,,0,11,75,,
120,control_change,,,,,120,0,2,,,,,1,64,127,,
120,note_on,,,,,0,0,3,,,,,2,,,50,101
120,note_on,,,,,0,0,3,,,,,2,,,38,101
120,control_change,,,,,120,0,3,,,,,2,64,127,,
180,note_on,,,,,0,0,2,,,,,1,,,62,101
180,note_on,,,,,60,0,2,,,,,1,,,57,101
203,note_on,,,,,23,0,2,,,,,1,,,62,0
203,note_on,,,,,0,0,2,,,,,1,,,57,0
240,note_on,,,,,0,0,2,,,,,1,,,65,101
