file,average_tempo,average_bpm,note_count,tick_count,note_density,tempo_deviation,unique_note_count,total_duration,overlapping_notes,chord_density,duration_per_note,tempo_complexity,notes_per_second,hand_independence,odd_time_signature_count,consecutive_note_std,pitch_range,average_polyphony,tempo_change_count,max_polyphony
Chopin - Etude Op 25 No.1.csv,413197.9215475551,145.2088620757851,3656,155036,0.0235816197528316,97297.98526559019,65,155036,283,0.0774070021881838,0.0004192574627828375,0.23547549537804763,23.5816197528316,0.0,1,43.313047206340116,67.0,1.0845446455057846,20,4
Chopin - Etude Op.10 No.11.csv,600000.0,100.0,3926,28352,0.13847347629796838,0.0,57,28352,227,0.05781966377992868,0.0020104401805869075,0.0,138.4734762979684,0.0,0,7.385266670006874,65.0,1.061367937280346,1,3
Chopin - Etude op10 n01.csv,350818.28081961704,171.02871566390996,2674,151680,0.0176292194092827,11112.029407455788,73,452520,1347,0.5037397157816006,0.00016131883673649783,0.031674601966279366,5.909131088128702,0.08922829581993569,0,70.80610358240502,77.0,2.14951768488746,134,6
Chopin - Etude No.7 in C Major Opus.10 No.7.csv,441740.06484375,135.82648434033914,3570,22816,0.15646914446002805,7352.818211203474,63,43392,1541,0.4316526610644258,0.0014518805309734514,0.01664512412702315,82.27323008849557,0.0,0,15.330321149176319,71.0,1.7673267326732673,71,4
Chopin - Etude op10 n02.csv,410981.24202516826,145.99206451452991,2916,24952,0.11686437960884899,21411.56094464654,60,48828,511,0.1752400548696845,0.001228803145736053,0.05209863311312711,59.719832882772174,0.0,0,16.34639720964936,68.0,1.214493960849646,345,6
Chopin - Etude op10 n03.csv,400000.0,150.0,3768,245760,0.01533203125,0.0,65,245760,239,0.06342887473460722,0.0002644856770833333,0.0,15.33203125,0.0,0,141.6683876215184,67.0,1.0683300255174368,1,4
Chopin - Etude op10 n04 Drchew.csv,479324.22962962964,125.17622997352244,4408,38879,0.11337740168214203,6904.817785322133,67,76321,1021,0.23162431941923775,0.0008778710970768202,0.014405317650345854,57.756056655442144,0.0,0,11.404695857037721,75.0,1.301446708001181,8,6
Chopin - Etude op10 n05 Black Key.csv,538210.6628257887,111.48051152494754,3262,81600,0.039975490196078434,66148.96700221895,53,244800,2048,0.627835683629675,0.0002165032679738562,0.12290534463757076,13.32516339869281,0.27197802197802196,0,42.80139726218347,74.0,2.9871794871794872,200,12
Chopin - Etude op10 n06.csv,574673.030683403,104.40719643420157,1896,40102,0.04727943743454192,22517.37943662654,47,70332,280,0.14767932489451477,0.0006682591139168515,0.039182940967055296,26.957857020986182,0.0,0,29.214757559723427,48.0,1.175449473031618,20,5
Chopin - Etude op10 n08.csv,342729.1878641752,175.06533474405518,4606,47410,0.09715249947268509,10667.813117508096,71,93546,776,0.16847590099869736,0.0007589848844418789,0.031126071240059627,49.237808137173154,0.0,0,10.862991173732079,76.0,1.203239289446186,49,3
Chopin - Etude op10 n09.csv,675581.9109809663,88.81232464154954,2468,24799,0.09952014194120731,95859.71090737006,64,48199,205,0.08306320907617504,0.00132782837818212,0.1418920627525073,51.204381833648,0.0,0,10.067000417518361,70.0,1.0930026572187777,666,3
Chopin - Etude op10 n10.csv,533652.1411018629,112.43279166108934,4462,29255,0.15252093659203556,108307.50028923656,63,57857,1826,0.40923352756611386,0.001088891577510068,0.20295524358921846,77.1211780769829,0.0,0,11.897152246546579,69.0,1.7168141592920354,282,5
Chopin - Etude op10 n11.csv,849777.6448368351,70.60670560652433,3968,20987,0.18906942392909898,71457.36716556863,57,41630,396,0.09979838709677419,0.0013692049003122748,0.08408948811461037,95.3158779726159,0.0,1,9.503110130920174,65.0,1.1117960212944802,182,3
