file,difficulty,average_tempo,average_bpm,note_count,tick_count,note_density,tempo_deviation,unique_note_count,total_duration,overlapping_notes,chord_density,duration_per_note,tempo_complexity,notes_per_second,hand_independence,odd_time_signature_count,consecutive_note_std,pitch_range,average_polyphony,tempo_change_count,max_polyphony,note_transitions
Chopin - Etude Op 25 No.1.csv,3.5,413197.9215475551,145.2088620757851,3656,155036,0.0235816197528316,97297.9852655902,65,155036,283,0.0774070021881838,0.0004192574627828,0.2354754953780476,23.5816197528316,0.0,1,43.31304720634012,67.0,1.0845446455057846,20,4,60227.16666666666
Chopin - Etude Op.10 No.11.csv,4.5,600000.0,100.0,3926,28352,0.1384734762979683,0.0,57,28352,227,0.0578196637799286,0.0020104401805869,0.0,138.4734762979684,0.0,0,7.385266670006874,65.0,1.061367937280346,1,3,37010.0
Chopin - Etude Op.10 No.11.csv,4.5,600000.0,100.0,3926,28352,0.1384734762979683,0.0,57,28352,227,0.0578196637799286,0.0020104401805869,0.0,138.4734762979684,0.0,0,7.385266670006874,65.0,1.061367937280346,1,3,37010.0
Chopin - Etude op10 n01.csv,4.5,350818.28081961704,171.02871566390996,2674,151680,0.0176292194092827,11112.029407455788,73,452520,1347,0.5037397157816006,0.0001613188367364,0.0316746019662793,5.909131088128702,0.0892282958199356,0,70.80610358240502,77.0,2.14951768488746,134,6,13276.0
Chopin - Etude No.7 in C Major Opus.10 No.7.csv,4.5,441740.06484375,135.82648434033914,3570,22816,0.156469144460028,7352.818211203474,63,43392,1541,0.4316526610644258,0.0014518805309734,0.0166451241270231,82.27323008849557,0.0,0,15.33032114917632,71.0,1.7673267326732671,71,4,38566.16666666666
Chopin - Etude op10 n02.csv,5.0,410981.24202516826,145.99206451452991,2916,24952,0.1168643796088489,21411.56094464654,60,48828,511,0.1752400548696845,0.001228803145736,0.0520986331131271,59.719832882772174,0.0,0,16.34639720964936,68.0,1.214493960849646,345,6,23552.066666666666
Chopin - Etude op10 n03.csv,4.0,400000.0,150.0,3768,245760,0.01533203125,0.0,65,245760,239,0.0634288747346072,0.0002644856770833,0.0,15.33203125,0.0,0,141.6683876215184,67.0,1.0683300255174368,1,4,28244.666666666664
Chopin - Etude op10 n04 Drchew.csv,4.5,479324.2296296296,125.17622997352244,4408,38879,0.113377401682142,6904.817785322133,67,76321,1021,0.2316243194192377,0.0008778710970768,0.0144053176503458,57.756056655442144,0.0,0,11.40469585703772,75.0,1.301446708001181,8,6,33215.899999999994
Chopin - Etude op10 n05 Black Key.csv,4.0,538210.6628257887,111.48051152494754,3262,81600,0.0399754901960784,66148.96700221895,53,244800,2048,0.627835683629675,0.0002165032679738,0.1229053446375707,13.32516339869281,0.2719780219780219,0,42.80139726218347,74.0,2.9871794871794872,200,12,29828.56190476188
Chopin - Etude op10 n06.csv,3.0,574673.030683403,104.40719643420157,1896,40102,0.0472794374345419,22517.37943662654,47,70332,280,0.1476793248945147,0.0006682591139168,0.0391829409670552,26.957857020986182,0.0,0,29.214757559723427,48.0,1.175449473031618,20,5,7445.3
Chopin - Etude op10 n08.csv,4.5,342729.1878641752,175.06533474405518,4606,47410,0.097152499472685,10667.813117508096,71,93546,776,0.1684759009986973,0.0007589848844418,0.0311260712400596,49.237808137173154,0.0,0,10.86299117373208,76.0,1.203239289446186,49,3,22085.0
Chopin - Etude op10 n09.csv,3.5,675581.9109809663,88.81232464154954,2468,24799,0.0995201419412073,95859.71090737006,64,48199,205,0.083063209076175,0.0013278283781821,0.1418920627525073,51.204381833648,0.0,0,10.06700041751836,70.0,1.0930026572187777,666,3,23023.33333333333
Chopin - Etude op10 n10.csv,4.5,533652.1411018629,112.43279166108934,4462,29255,0.1525209365920355,108307.50028923656,63,57857,1826,0.4092335275661138,0.00108889157751,0.2029552435892184,77.1211780769829,0.0,0,11.89715224654658,69.0,1.7168141592920354,282,5,39598.50000000004
Chopin - Etude op10 n11.csv,4.5,849777.6448368351,70.60670560652433,3968,20987,0.1890694239290989,71457.36716556863,57,41630,396,0.0997983870967741,0.0013692049003122,0.0840894881146103,95.3158779726159,0.0,1,9.503110130920174,65.0,1.1117960212944802,182,3,39178.0
Chopin - Etude op10 n12 Revolutionary.csv,4.0,424243.6695099819,141.42815629824804,4176,160320,0.0260479041916167,63823.407621003134,64,480674,860,0.2059386973180076,0.0001331463736336,0.1504404478085004,8.687800879598232,0.0200381679389312,0,51.425144681192776,68.0,1.3282442748091603,982,10,36810.16666666666
Chopin - Fantasie Impromptu op66.csv,3.5,460743.8541214131,130.22420041698282,6092,268187,0.0227154932938583,156115.5476552938,60,797147,3068,0.5036112934996717,7.52684260243092e-05,0.3388337061011669,7.642254189001526,0.1842818428184282,0,80.08904603942942,69.0,2.3584978706929927,2142,7,53661.06666666666
Chopin - Impromptu n3 op51.csv,4.0,586641.4593854579,102.27712180938182,4868,66423,0.0732878671544495,3714.2852153114136,59,83992,387,0.0794987674609696,0.0007024478521763,0.0063314400233531,57.95790075245261,0.0,0,17.21439790027399,74.0,1.087335269153451,6,4,31026.0
Chopin - Mazurka op30 n2 Drchew.csv,3.0,338737.36573311366,177.12837752677436,1574,23249,0.0677018366381349,9451.31598611868,44,46289,294,0.1867852604828462,0.0009505498066495,0.0279016044352344,34.003758992417204,0.0,1,21.284453402906628,55.0,1.2306489444878812,16,5,10121.966666666667
Chopin - Mazurka op33 n2 Drchew.csv,3.0,323289.6572171652,185.5920802306888,3360,48976,0.0686050310356092,42606.56345374177,55,97576,559,0.1663690476190476,0.0005636631958678,0.1317906790476796,34.43469705665328,0.0,1,21.217593732100376,66.0,1.2008577555396711,122,5,26029.2
Chopin - Mazurka op67 n3 Drchew.csv,2.5,384260.90095238097,156.14391121056426,1416,20879,0.0678193400067053,18367.167395450397,35,41399,283,0.1998587570621469,0.0008454310490591,0.0477986892497462,34.203724727650425,0.0,1,26.19637132891357,45.0,1.2497793468667255,25,7,10311.066666666666
